id,rr_id,material_id,plant,origin,status,statement,declared_by,declared_at,chain_snapshot,created_at
1,16,187,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,22,2026-05-08T16:18:35.097269+00:00,,2026-05-08T16:18:35.097269+00:00
2,27,43,BMM,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,5,2026-02-28T20:18:35.097269+00:00,,2026-02-25T20:18:35.097269+00:00
3,36,157,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,2,2026-02-26T22:18:35.097269+00:00,,2026-02-26T22:18:35.097269+00:00
4,37,38,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,10,2026-08-24T22:18:35.097269+00:00,"{""detected_at"": ""2026-08-24T22:18:35.097269+00:00"", ""plant"": ""BMM"", ""chain_count"": 1, ""materials"": [{""material_id"": 38, ""material_code"": ""80-10038"", ""material_description"": ""Mechanical Seal, shaft 50mm, tungsten carbide faces"", ""plant"": ""BMM"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 1.0, ""earliest_expected_return"": ""2026-09-15"", ""chains"": [{""material_id"": 38, ""material_code"": ""80-10038"", ""material_description"": ""Mechanical Seal, shaft 50mm, tungsten carbide faces"", ""material_group"": ""Mechanical Seals"", ""plant"": ""BMM"", ""repair_pr_number"": ""RPR-2010"", ""repair_pr_id"": 10, ""repair_po_number"": ""RPO-3009"", ""repair_po_id"": 9, ""supplier_id"": 4, ""vendor"": ""Postmasburg Electromechanical Ltd (Pty) Ltd"", ""quantity_under_repair"": 1.0, ""repair_value"": 21792.84, ""opened_at"": ""2026-08-06"", ""expected_return"": ""2026-09-15"", ""days_open"": 20, ""days_overdue"": 0, ""overdue"": false, ""stage"": ""AT_VENDOR""}]}]}",2026-08-24T22:18:35.097269+00:00
5,42,37,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,10,2026-07-08T00:18:35.097269+00:00,,2026-07-08T00:18:35.097269+00:00
6,47,184,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,8,2026-04-17T16:18:35.097269+00:00,,2026-04-17T16:18:35.097269+00:00
7,48,37,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,3,2026-03-14T22:18:35.097269+00:00,,2026-03-14T22:18:35.097269+00:00
8,50,34,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,23,2026-08-18T02:18:35.097269+00:00,"{""detected_at"": ""2026-08-18T02:18:35.097269+00:00"", ""plant"": ""BMM"", ""chain_count"": 1, ""materials"": [{""material_id"": 34, ""material_code"": ""80-10034"", ""material_description"": ""Knife Gate Valve, 40mm (1.5\""), rubber lined"", ""plant"": ""BMM"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 1.0, ""earliest_expected_return"": ""2026-08-07"", ""chains"": [{""material_id"": 34, ""material_code"": ""80-10034"", ""material_description"": ""Knife Gate Valve, 40mm (1.5\""), rubber lined"", ""material_group"": ""Valves"", ""plant"": ""BMM"", ""repair_pr_number"": ""RPR-2036"", ""repair_pr_id"": 36, ""repair_po_number"": ""RPO-3032"", ""repair_po_id"": 32, ""supplier_id"": 23, ""vendor"": ""Karoo Pump Solutions (Pty) Ltd"", ""quantity_under_repair"": 1.0, ""repair_value"": 14358.4, ""opened_at"": ""2026-06-24"", ""expected_return"": ""2026-08-07"", ""days_open"": 63, ""days_overdue"": 19, ""overdue"": true, ""stage"": ""AT_VENDOR""}]}]}",2026-08-18T02:18:35.097269+00:00
9,52,37,Gamsberg,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,12,2026-04-21T04:18:35.097269+00:00,,2026-04-19T04:18:35.097269+00:00
10,54,188,BMM,MRP,PENDING,,,,"{""detected_at"": ""2026-08-01T04:18:35.097269+00:00"", ""plant"": ""BMM"", ""chain_count"": 1, ""materials"": [{""material_id"": 188, ""material_code"": ""80-10188"", ""material_description"": ""Centrifugal Slurry Pump Casing Liner, Low-flow metering"", ""plant"": ""BMM"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 2.0, ""earliest_expected_return"": ""2026-09-20"", ""chains"": [{""material_id"": 188, ""material_code"": ""80-10188"", ""material_description"": ""Centrifugal Slurry Pump Casing Liner, Low-flow metering"", ""material_group"": ""Pumps"", ""plant"": ""BMM"", ""repair_pr_number"": ""RPR-2013"", ""repair_pr_id"": 13, ""repair_po_number"": ""RPO-3012"", ""repair_po_id"": 12, ""supplier_id"": 34, ""vendor"": ""Namaqua Spares & Components (Pty) Ltd"", ""quantity_under_repair"": 2.0, ""repair_value"": 42924.58, ""opened_at"": ""2026-07-28"", ""expected_return"": ""2026-09-20"", ""days_open"": 29, ""days_overdue"": 0, ""overdue"": false, ""stage"": ""AT_VENDOR""}]}]}",2026-08-01T04:18:35.097269+00:00
11,64,176,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,3,2026-01-14T16:18:35.097269+00:00,,2026-01-14T16:18:35.097269+00:00
12,65,37,Gamsberg,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,24,2026-04-29T17:18:35.097269+00:00,,2026-04-28T17:18:35.097269+00:00
13,67,30,Gamsberg,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,15,2026-04-08T04:18:35.097269+00:00,,2026-04-08T04:18:35.097269+00:00
14,74,187,Gamsberg,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,1,2026-08-02T17:18:35.097269+00:00,"{""detected_at"": ""2026-08-02T17:18:35.097269+00:00"", ""plant"": ""Gamsberg"", ""chain_count"": 1, ""materials"": [{""material_id"": 187, ""material_code"": ""80-10187"", ""material_description"": ""Ball Mill Grinding Media, 40mm, forged steel balls"", ""plant"": ""Gamsberg"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 2.0, ""earliest_expected_return"": ""2026-07-22"", ""chains"": [{""material_id"": 187, ""material_code"": ""80-10187"", ""material_description"": ""Ball Mill Grinding Media, 40mm, forged steel balls"", ""material_group"": ""Milling Components"", ""plant"": ""Gamsberg"", ""repair_pr_number"": ""RPR-2017"", ""repair_pr_id"": 17, ""repair_po_number"": ""RPO-3015"", ""repair_po_id"": 15, ""supplier_id"": 13, ""vendor"": ""Namaqua Seals & Sealing Systems (Pty) Ltd"", ""quantity_under_repair"": 2.0, ""repair_value"": 18282.74, ""opened_at"": ""2026-06-03"", ""expected_return"": ""2026-07-22"", ""days_open"": 84, ""days_overdue"": 35, ""overdue"": true, ""stage"": ""AT_VENDOR""}]}]}",2026-08-02T17:18:35.097269+00:00
15,77,188,BMM,MRP,PENDING,,,,"{""detected_at"": ""2026-07-31T13:18:35.097269+00:00"", ""plant"": ""BMM"", ""chain_count"": 1, ""materials"": [{""material_id"": 188, ""material_code"": ""80-10188"", ""material_description"": ""Centrifugal Slurry Pump Casing Liner, Low-flow metering"", ""plant"": ""BMM"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 2.0, ""earliest_expected_return"": ""2026-09-20"", ""chains"": [{""material_id"": 188, ""material_code"": ""80-10188"", ""material_description"": ""Centrifugal Slurry Pump Casing Liner, Low-flow metering"", ""material_group"": ""Pumps"", ""plant"": ""BMM"", ""repair_pr_number"": ""RPR-2013"", ""repair_pr_id"": 13, ""repair_po_number"": ""RPO-3012"", ""repair_po_id"": 12, ""supplier_id"": 34, ""vendor"": ""Namaqua Spares & Components (Pty) Ltd"", ""quantity_under_repair"": 2.0, ""repair_value"": 42924.58, ""opened_at"": ""2026-07-28"", ""expected_return"": ""2026-09-20"", ""days_open"": 29, ""days_overdue"": 0, ""overdue"": false, ""stage"": ""AT_VENDOR""}]}]}",2026-07-31T13:18:35.097269+00:00
16,84,142,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,22,2026-08-17T07:18:35.097269+00:00,"{""detected_at"": ""2026-08-17T07:18:35.097269+00:00"", ""plant"": ""BMM"", ""chain_count"": 1, ""materials"": [{""material_id"": 142, ""material_code"": ""80-10142"", ""material_description"": ""Seal Support System, API Plan 32, shaft 100mm"", ""plant"": ""BMM"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 1.0, ""earliest_expected_return"": ""2026-09-22"", ""chains"": [{""material_id"": 142, ""material_code"": ""80-10142"", ""material_description"": ""Seal Support System, API Plan 32, shaft 100mm"", ""material_group"": ""Mechanical Seals"", ""plant"": ""BMM"", ""repair_pr_number"": ""RPR-2035"", ""repair_pr_id"": 35, ""repair_po_number"": ""RPO-3031"", ""repair_po_id"": 31, ""supplier_id"": 8, ""vendor"": ""Waterberg Mining Equipment Traders (Pty) Ltd"", ""quantity_under_repair"": 1.0, ""repair_value"": 19745.97, ""opened_at"": ""2026-08-06"", ""expected_return"": ""2026-09-22"", ""days_open"": 20, ""days_overdue"": 0, ""overdue"": false, ""stage"": ""AT_VENDOR""}]}]}",2026-08-17T07:18:35.097269+00:00
17,86,176,Gamsberg,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,13,2026-05-12T18:18:35.097269+00:00,,2026-05-11T18:18:35.097269+00:00
18,89,43,Gamsberg,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,13,2026-04-20T12:18:35.097269+00:00,,2026-04-19T12:18:35.097269+00:00
19,90,102,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,23,2026-06-11T15:18:35.097269+00:00,,2026-06-11T15:18:35.097269+00:00
20,91,83,Gamsberg,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,5,2026-06-24T06:18:35.097269+00:00,,2026-06-21T06:18:35.097269+00:00
21,94,82,Gamsberg,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,12,2026-01-13T01:18:35.097269+00:00,,2026-01-11T01:18:35.097269+00:00
22,95,83,Gamsberg,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,13,2026-02-04T19:18:35.097269+00:00,,2026-02-01T19:18:35.097269+00:00
23,102,142,Gamsberg,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,18,2026-01-27T19:18:35.097269+00:00,,2026-01-27T19:18:35.097269+00:00
