id,user_id,action,entity_type,entity_id,old_value,new_value,timestamp,ip_address,device_metadata
1,20,RR_CREATED,RR,1,,"{""rr_number"": ""RR-1001""}",2026-03-31T05:46:36.003322+00:00,,synthetic-seed
2,3,DOA_APPROVED,RR,1,,,2026-04-01T05:46:36.003322+00:00,,synthetic-seed
3,5,PR_CREATED,PR,1,,"{""pr_number"": ""PR-2001""}",2026-04-04T05:46:36.003322+00:00,,synthetic-seed
4,3,NFA_APPROVED,PR,1,,,2026-04-10T05:46:36.003322+00:00,,synthetic-seed
5,5,PO_CREATED,PO,1,,"{""po_number"": ""PO-3001""}",2026-04-11T05:46:36.003322+00:00,,synthetic-seed
6,1,RR_CREATED,RR,2,,"{""rr_number"": ""RR-1002""}",2026-07-14T00:46:36.003322+00:00,,synthetic-seed
7,3,DOA_APPROVED,RR,2,,,2026-07-18T00:46:36.003322+00:00,,synthetic-seed
8,12,PR_CREATED,PR,2,,"{""pr_number"": ""PR-2002""}",2026-07-21T00:46:36.003322+00:00,,synthetic-seed
9,12,PO_CREATED,PO,2,,"{""po_number"": ""PO-3002""}",2026-07-22T00:46:36.003322+00:00,,synthetic-seed
10,5,RR_CREATED,RR,3,,"{""rr_number"": ""RR-1003""}",2026-03-17T07:46:36.003322+00:00,,synthetic-seed
11,2,DOA_APPROVED,RR,3,,,2026-03-18T07:46:36.003322+00:00,,synthetic-seed
12,12,PR_CREATED,PR,3,,"{""pr_number"": ""PR-2003""}",2026-03-19T07:46:36.003322+00:00,,synthetic-seed
13,3,NFA_APPROVED,PR,3,,,2026-03-22T07:46:36.003322+00:00,,synthetic-seed
14,12,PO_CREATED,PO,3,,"{""po_number"": ""PO-3003""}",2026-03-23T07:46:36.003322+00:00,,synthetic-seed
15,4,RR_CREATED,RR,4,,"{""rr_number"": ""RR-1004""}",2026-07-29T10:46:36.003322+00:00,,synthetic-seed
16,10,RR_CREATED,RR,5,,"{""rr_number"": ""RR-1005""}",2026-05-14T15:46:36.003322+00:00,,synthetic-seed
17,2,DOA_APPROVED,RR,5,,,2026-05-16T15:46:36.003322+00:00,,synthetic-seed
18,5,PR_CREATED,PR,4,,"{""pr_number"": ""PR-2004""}",2026-05-19T15:46:36.003322+00:00,,synthetic-seed
19,15,NFA_APPROVED,PR,4,,,2026-05-22T15:46:36.003322+00:00,,synthetic-seed
20,5,PO_CREATED,PO,4,,"{""po_number"": ""PO-3004""}",2026-05-23T15:46:36.003322+00:00,,synthetic-seed
21,16,RR_CREATED,RR,6,,"{""rr_number"": ""RR-1006""}",2026-04-04T22:46:36.003322+00:00,,synthetic-seed
22,15,DOA_APPROVED,RR,6,,,2026-04-08T22:46:36.003322+00:00,,synthetic-seed
23,5,PR_CREATED,PR,5,,"{""pr_number"": ""PR-2005""}",2026-04-09T22:46:36.003322+00:00,,synthetic-seed
24,5,RFQ_CLOSED,PR,5,,,2026-04-15T22:46:36.003322+00:00,,synthetic-seed
25,3,NFA_APPROVED,PR,5,,,2026-04-19T22:46:36.003322+00:00,,synthetic-seed
26,5,PO_CREATED,PO,5,,"{""po_number"": ""PO-3005""}",2026-04-20T22:46:36.003322+00:00,,synthetic-seed
27,16,RR_CREATED,RR,7,,"{""rr_number"": ""RR-1007""}",2025-12-23T13:46:36.003322+00:00,,synthetic-seed
28,2,DOA_REJECTED,RR,7,,,2025-12-27T13:46:36.003322+00:00,,synthetic-seed
29,4,RR_CREATED,RR,8,,"{""rr_number"": ""RR-1008""}",2026-02-24T06:46:36.003322+00:00,,synthetic-seed
30,2,DOA_APPROVED,RR,8,,,2026-02-26T06:46:36.003322+00:00,,synthetic-seed
31,24,PR_CREATED,PR,6,,"{""pr_number"": ""PR-2006""}",2026-02-28T06:46:36.003322+00:00,,synthetic-seed
32,24,RFQ_CLOSED,PR,6,,,2026-03-10T06:46:36.003322+00:00,,synthetic-seed
33,15,NFA_APPROVED,PR,6,,,2026-03-15T06:46:36.003322+00:00,,synthetic-seed
34,24,PO_CREATED,PO,6,,"{""po_number"": ""PO-3006""}",2026-03-16T06:46:36.003322+00:00,,synthetic-seed
35,19,RR_CREATED,RR,9,,"{""rr_number"": ""RR-1009""}",2026-06-17T04:46:36.003322+00:00,,synthetic-seed
36,2,DOA_REJECTED,RR,9,,,2026-06-19T04:46:36.003322+00:00,,synthetic-seed
37,11,RR_CREATED,RR,10,,"{""rr_number"": ""RR-1010""}",2026-03-27T04:46:36.003322+00:00,,synthetic-seed
38,3,DOA_APPROVED,RR,10,,,2026-03-29T04:46:36.003322+00:00,,synthetic-seed
39,24,PR_CREATED,PR,7,,"{""pr_number"": ""PR-2007""}",2026-04-01T04:46:36.003322+00:00,,synthetic-seed
40,24,PO_CREATED,PO,7,,"{""po_number"": ""PO-3007""}",2026-04-02T04:46:36.003322+00:00,,synthetic-seed
41,14,RR_CREATED,RR,11,,"{""rr_number"": ""RR-1011""}",2026-01-16T22:46:36.003322+00:00,,synthetic-seed
42,3,DOA_APPROVED,RR,11,,,2026-01-17T22:46:36.003322+00:00,,synthetic-seed
43,5,PR_CREATED,PR,8,,"{""pr_number"": ""PR-2008""}",2026-01-18T22:46:36.003322+00:00,,synthetic-seed
44,5,RFQ_CLOSED,PR,8,,,2026-01-24T22:46:36.003322+00:00,,synthetic-seed
45,15,NFA_APPROVED,PR,8,,,2026-01-28T22:46:36.003322+00:00,,synthetic-seed
46,5,PO_CREATED,PO,8,,"{""po_number"": ""PO-3008""}",2026-01-29T22:46:36.003322+00:00,,synthetic-seed
47,3,RR_CREATED,RR,12,,"{""rr_number"": ""RR-1012""}",2026-05-06T16:46:36.003322+00:00,,synthetic-seed
48,15,DOA_APPROVED,RR,12,,,2026-05-10T16:46:36.003322+00:00,,synthetic-seed
49,13,PR_CREATED,PR,9,,"{""pr_number"": ""PR-2009""}",2026-06-03T16:46:36.003322+00:00,,synthetic-seed
50,13,RFQ_CLOSED,PR,9,,,2026-06-14T16:46:36.003322+00:00,,synthetic-seed
51,13,PO_CREATED,PO,9,,"{""po_number"": ""PO-3009""}",2026-06-15T16:46:36.003322+00:00,,synthetic-seed
52,15,RR_CREATED,RR,13,,"{""rr_number"": ""RR-1013""}",2026-08-19T12:46:36.003322+00:00,,synthetic-seed
53,15,APPROVAL_ESCALATED,RR,13,,,2026-08-21T12:46:36.003322+00:00,,synthetic-seed
54,3,RR_CREATED,RR,14,,"{""rr_number"": ""RR-1014""}",2025-12-03T14:46:36.003322+00:00,,synthetic-seed
55,2,APPROVAL_ESCALATED,RR,14,,,2025-12-05T14:46:36.003322+00:00,,synthetic-seed
56,16,RR_CREATED,RR,15,,"{""rr_number"": ""RR-1015""}",2026-04-11T15:46:36.003322+00:00,,synthetic-seed
57,3,DOA_APPROVED,RR,15,,,2026-04-14T15:46:36.003322+00:00,,synthetic-seed
58,5,PR_CREATED,PR,10,,"{""pr_number"": ""PR-2010""}",2026-04-17T15:46:36.003322+00:00,,synthetic-seed
59,5,RFQ_CLOSED,PR,10,,,2026-04-27T15:46:36.003322+00:00,,synthetic-seed
60,5,PO_CREATED,PO,10,,"{""po_number"": ""PO-3010""}",2026-05-06T15:46:36.003322+00:00,,synthetic-seed
61,15,RR_CREATED,RR,16,,"{""rr_number"": ""RR-1016""}",2026-03-21T12:46:36.003322+00:00,,synthetic-seed
62,3,DOA_APPROVED,RR,16,,,2026-03-25T12:46:36.003322+00:00,,synthetic-seed
63,5,PR_CREATED,PR,11,,"{""pr_number"": ""PR-2011""}",2026-03-26T12:46:36.003322+00:00,,synthetic-seed
64,5,RFQ_CLOSED,PR,11,,,2026-04-04T12:46:36.003322+00:00,,synthetic-seed
65,3,NFA_APPROVED,PR,11,,,2026-04-07T12:46:36.003322+00:00,,synthetic-seed
66,5,PO_CREATED,PO,11,,"{""po_number"": ""PO-3011""}",2026-04-08T12:46:36.003322+00:00,,synthetic-seed
67,3,RR_CREATED,RR,17,,"{""rr_number"": ""RR-1017""}",2026-05-11T07:46:36.003322+00:00,,synthetic-seed
68,15,DOA_APPROVED,RR,17,,,2026-05-12T07:46:36.003322+00:00,,synthetic-seed
69,24,PR_CREATED,PR,12,,"{""pr_number"": ""PR-2012""}",2026-05-15T07:46:36.003322+00:00,,synthetic-seed
70,24,RFQ_CLOSED,PR,12,,,2026-05-25T07:46:36.003322+00:00,,synthetic-seed
71,15,NFA_APPROVED,PR,12,,,2026-05-28T07:46:36.003322+00:00,,synthetic-seed
72,24,PO_CREATED,PO,12,,"{""po_number"": ""PO-3012""}",2026-05-29T07:46:36.003322+00:00,,synthetic-seed
73,11,RR_CREATED,RR,18,,"{""rr_number"": ""RR-1018""}",2026-07-25T06:46:36.003322+00:00,,synthetic-seed
74,2,DOA_APPROVED,RR,18,,,2026-07-26T06:46:36.003322+00:00,,synthetic-seed
75,13,PR_CREATED,PR,13,,"{""pr_number"": ""PR-2013""}",2026-07-28T06:46:36.003322+00:00,,synthetic-seed
76,13,PO_CREATED,PO,13,,"{""po_number"": ""PO-3013""}",2026-07-29T06:46:36.003322+00:00,,synthetic-seed
77,1,RR_CREATED,RR,19,,"{""rr_number"": ""RR-1019""}",2026-07-13T03:46:36.003322+00:00,,synthetic-seed
78,3,DOA_APPROVED,RR,19,,,2026-07-17T03:46:36.003322+00:00,,synthetic-seed
79,12,PR_CREATED,PR,14,,"{""pr_number"": ""PR-2014""}",2026-07-18T03:46:36.003322+00:00,,synthetic-seed
80,12,RFQ_CLOSED,PR,14,,,2026-08-09T03:46:36.003322+00:00,,synthetic-seed
