work_order,material_id,equipment_id,planned_date,required_qty,maintenance_type
WO-000001,4,EQ-FILT-0045,2026-12-12,4,Shutdown
WO-000002,5,EQ-MILL-0014,2026-12-18,10,Corrective
WO-000003,6,EQ-MILL-0022,2026-12-16,9,Preventive
WO-000004,8,EQ-FILT-0044,2026-10-19,10,Preventive
WO-000005,9,EQ-CRUS-0004,2026-12-22,1,Preventive
WO-000006,14,EQ-MILL-0021,2026-10-04,10,Preventive
WO-000007,18,EQ-FILT-0048,2026-10-02,7,Preventive
WO-000008,21,EQ-PUMP-0025,2026-12-24,3,Corrective
WO-000009,27,EQ-PUMP-0027,2026-09-25,1,Corrective
WO-000010,28,EQ-MILL-0019,2026-11-17,1,Shutdown
WO-000011,31,EQ-FILT-0037,2026-12-23,5,Corrective
WO-000012,34,EQ-FILT-0043,2026-09-30,7,Corrective
WO-000013,35,EQ-PUMP-0026,2026-11-30,2,Corrective
WO-000014,37,EQ-PUMP-0030,2026-12-13,3,Preventive
WO-000015,39,EQ-FILT-0042,2026-10-09,4,Preventive
WO-000016,44,EQ-MILL-0019,2026-12-22,10,Shutdown
WO-000017,46,EQ-CRUS-0010,2026-09-28,8,Preventive
WO-000018,49,EQ-PUMP-0030,2026-09-26,1,Preventive
WO-000019,50,EQ-MILL-0021,2026-11-12,1,Corrective
WO-000020,52,EQ-CRUS-0009,2026-11-12,6,Corrective
WO-000021,53,EQ-PUMP-0027,2026-11-02,1,Preventive
WO-000022,56,EQ-MILL-0019,2026-12-03,10,Corrective
WO-000023,58,EQ-PUMP-0035,2026-12-03,6,Corrective
WO-000024,62,EQ-PUMP-0031,2026-11-04,2,Corrective
WO-000025,66,EQ-PUMP-0031,2026-10-24,9,Preventive
WO-000026,68,EQ-MILL-0022,2026-12-06,9,Corrective
WO-000027,70,EQ-CRUS-0008,2026-10-10,3,Corrective
WO-000028,74,EQ-PUMP-0031,2026-09-27,10,Shutdown
WO-000029,76,EQ-PUMP-0035,2026-12-02,8,Preventive
WO-000030,80,EQ-MILL-0020,2026-12-03,9,Corrective
WO-000031,84,EQ-MILL-0024,2026-11-05,9,Corrective
WO-000032,86,EQ-PUMP-0032,2026-11-17,5,Shutdown
WO-000033,91,EQ-PUMP-0027,2026-11-19,6,Preventive
WO-000034,94,EQ-CRUS-0011,2026-12-17,3,Preventive
WO-000035,96,EQ-PUMP-0034,2026-12-09,4,Preventive
WO-000036,97,EQ-FILT-0039,2026-12-03,6,Preventive
WO-000037,103,EQ-PUMP-0025,2026-12-17,1,Corrective
WO-000038,105,EQ-FILT-0041,2026-11-09,1,Preventive
WO-000039,109,EQ-FILT-0040,2026-10-31,1,Corrective
WO-000040,111,EQ-CRUS-0003,2026-10-02,7,Shutdown
WO-000041,117,EQ-CRUS-0002,2026-09-27,8,Preventive
WO-000042,125,EQ-FILT-0042,2026-11-25,8,Corrective
WO-000043,126,EQ-CRUS-0008,2026-11-08,6,Shutdown
WO-000044,129,EQ-FILT-0038,2026-12-19,9,Preventive
WO-000045,132,EQ-PUMP-0033,2026-12-21,6,Corrective
WO-000046,135,EQ-FILT-0038,2026-11-30,4,Corrective
WO-000047,136,EQ-PUMP-0033,2026-12-17,2,Shutdown
WO-000048,139,EQ-FILT-0039,2026-11-15,9,Corrective
WO-000049,140,EQ-MILL-0019,2026-11-15,4,Preventive
WO-000050,142,EQ-MILL-0023,2026-11-22,1,Preventive
WO-000051,143,EQ-PUMP-0025,2026-10-20,9,Preventive
WO-000052,147,EQ-CRUS-0005,2026-11-03,10,Corrective
WO-000053,152,EQ-MILL-0024,2026-09-30,8,Shutdown
WO-000054,156,EQ-FILT-0048,2026-11-25,5,Shutdown
WO-000055,161,EQ-FILT-0040,2026-11-05,5,Corrective
WO-000056,162,EQ-CRUS-0009,2026-10-14,7,Corrective
WO-000057,163,EQ-PUMP-0030,2026-11-04,10,Shutdown
WO-000058,165,EQ-FILT-0038,2026-12-04,5,Shutdown
WO-000059,166,EQ-PUMP-0034,2026-10-17,6,Preventive
WO-000060,167,EQ-FILT-0040,2026-12-08,6,Preventive
WO-000061,174,EQ-FILT-0047,2026-11-09,10,Preventive
WO-000062,177,EQ-PUMP-0030,2026-10-15,3,Corrective
WO-000063,179,EQ-CRUS-0001,2026-12-11,4,Preventive
WO-000064,184,EQ-PUMP-0034,2026-10-13,5,Corrective
WO-000065,187,EQ-MILL-0018,2026-10-02,10,Preventive
WO-000066,190,EQ-MILL-0024,2026-12-02,3,Corrective
WO-000067,191,EQ-FILT-0037,2026-10-05,9,Corrective
WO-000068,198,EQ-FILT-0043,2026-11-12,2,Shutdown
WO-000069,199,EQ-MILL-0015,2026-11-27,4,Corrective
WO-000070,201,EQ-CRUS-0003,2026-11-01,5,Preventive
WO-000071,203,EQ-CRUS-0002,2026-11-12,4,Preventive
