id,recipient_id,type,title,message,status,related_entity_type,related_entity_id,created_at,read_at
1,5,APPROVAL_RESULT,RR-1001 approved,Your requisition was approved at DOA.,READ,RR,1,2025-12-31T13:18:35.097269+00:00,2026-01-01T06:18:35.097269+00:00
2,5,PO_CREATED,PO-3042 created,A purchase order has been created for your requisition.,UNREAD,PO,42,2026-01-20T13:18:35.097269+00:00,
3,15,APPROVAL_RESULT,RR-1002 approved,Your requisition was approved at DOA.,READ,RR,2,2026-08-25T08:18:35.097269+00:00,2026-08-25T22:18:35.097269+00:00
4,15,PO_CREATED,PO-3043 created,A purchase order has been created for your requisition.,READ,PO,43,2026-09-05T08:18:35.097269+00:00,2026-09-06T10:18:35.097269+00:00
5,4,APPROVAL_RESULT,RR-1003 approved,Your requisition was approved at DOA.,READ,RR,3,2026-05-19T13:18:35.097269+00:00,2026-05-19T17:18:35.097269+00:00
6,19,APPROVAL_RESULT,RR-1004 approved,Your requisition was approved at DOA.,READ,RR,4,2026-02-16T14:18:35.097269+00:00,2026-02-17T20:18:35.097269+00:00
7,19,PO_CREATED,PO-3044 created,A purchase order has been created for your requisition.,UNREAD,PO,44,2026-03-10T02:18:35.097269+00:00,
8,8,APPROVAL_RESULT,RR-1005 approved,Your requisition was approved at DOA.,READ,RR,5,2026-06-09T00:18:35.097269+00:00,2026-06-09T10:18:35.097269+00:00
9,8,PO_CREATED,PO-3045 created,A purchase order has been created for your requisition.,UNREAD,PO,45,2026-06-13T00:18:35.097269+00:00,
10,15,APPROVAL_RESULT,RR-1006 approved,Your requisition was approved at DOA.,UNREAD,RR,6,2026-07-02T05:18:35.097269+00:00,
11,15,PO_CREATED,PO-3046 created,A purchase order has been created for your requisition.,UNREAD,PO,46,2026-07-12T05:18:35.097269+00:00,
12,17,APPROVAL_RESULT,RR-1007 approved,Your requisition was approved at DOA.,READ,RR,7,2026-06-04T18:18:35.097269+00:00,2026-06-05T13:18:35.097269+00:00
13,17,PO_CREATED,PO-3047 created,A purchase order has been created for your requisition.,READ,PO,47,2026-06-14T18:18:35.097269+00:00,2026-06-14T23:18:35.097269+00:00
14,9,APPROVAL_RESULT,RR-1008 approved,Your requisition was approved at DOA.,READ,RR,8,2026-04-17T10:18:35.097269+00:00,2026-04-18T15:18:35.097269+00:00
15,9,PO_CREATED,PO-3048 created,A purchase order has been created for your requisition.,UNREAD,PO,48,2026-04-27T10:18:35.097269+00:00,
16,17,APPROVAL_RESULT,RR-1009 approved,Your requisition was approved at DOA.,UNREAD,RR,9,2026-06-14T08:18:35.097269+00:00,
17,17,PO_CREATED,PO-3049 created,A purchase order has been created for your requisition.,UNREAD,PO,49,2026-06-27T08:18:35.097269+00:00,
18,6,APPROVAL_RESULT,RR-1010 approved,Your requisition was approved at DOA.,READ,RR,10,2026-07-14T23:18:35.097269+00:00,2026-07-15T06:18:35.097269+00:00
19,6,PO_CREATED,PO-3050 created,A purchase order has been created for your requisition.,READ,PO,50,2026-07-17T23:18:35.097269+00:00,2026-07-19T00:18:35.097269+00:00
20,14,APPROVAL_RESULT,RR-1011 approved,Your requisition was approved at DOA.,READ,RR,11,2026-04-07T04:18:35.097269+00:00,2026-04-08T10:18:35.097269+00:00
21,14,PO_CREATED,PO-3051 created,A purchase order has been created for your requisition.,READ,PO,51,2026-04-13T04:18:35.097269+00:00,2026-04-14T03:18:35.097269+00:00
22,6,APPROVAL_RESULT,RR-1012 approved,Your requisition was approved at DOA.,UNREAD,RR,12,2026-04-06T05:18:35.097269+00:00,
23,6,PO_CREATED,PO-3052 created,A purchase order has been created for your requisition.,READ,PO,52,2026-04-25T05:18:35.097269+00:00,2026-04-25T18:18:35.097269+00:00
24,22,APPROVAL_RESULT,RR-1013 approved,Your requisition was approved at DOA.,READ,RR,13,2026-06-26T21:18:35.097269+00:00,2026-06-27T15:18:35.097269+00:00
25,22,PO_CREATED,PO-3053 created,A purchase order has been created for your requisition.,UNREAD,PO,53,2026-07-18T21:18:35.097269+00:00,
26,23,APPROVAL_RESULT,RR-1014 approved,Your requisition was approved at DOA.,READ,RR,14,2026-07-29T23:18:35.097269+00:00,2026-07-31T00:18:35.097269+00:00
27,23,PO_CREATED,PO-3054 created,A purchase order has been created for your requisition.,READ,PO,54,2026-09-14T23:18:35.097269+00:00,2026-09-16T04:18:35.097269+00:00
28,3,APPROVAL_RESULT,RR-1015 approved,Your requisition was approved at DOA.,READ,RR,15,2025-12-21T20:18:35.097269+00:00,2025-12-22T23:18:35.097269+00:00
29,3,PO_CREATED,PO-3055 created,A purchase order has been created for your requisition.,UNREAD,PO,55,2026-01-15T20:18:35.097269+00:00,
30,22,APPROVAL_RESULT,RR-1016 approved,Your requisition was approved at DOA.,UNREAD,RR,16,2026-05-11T16:18:35.097269+00:00,
31,22,PO_CREATED,PO-3056 created,A purchase order has been created for your requisition.,READ,PO,56,2026-05-22T16:18:35.097269+00:00,2026-05-23T19:18:35.097269+00:00
32,5,APPROVAL_RESULT,RR-1017 approved,Your requisition was approved at DOA.,UNREAD,RR,17,2026-04-29T01:18:35.097269+00:00,
33,5,PO_CREATED,PO-3057 created,A purchase order has been created for your requisition.,READ,PO,57,2026-06-13T22:18:35.097269+00:00,2026-06-14T00:18:35.097269+00:00
34,2,APPROVAL_REQUEST,DOA approval needed: RR-1018,A requisition is waiting on your DOA approval.,UNREAD,RR,18,2026-05-16T06:18:35.097269+00:00,
35,10,APPROVAL_RESULT,RR-1019 approved,Your requisition was approved at DOA.,READ,RR,19,2026-05-31T21:18:35.097269+00:00,2026-06-01T10:18:35.097269+00:00
36,10,PO_CREATED,PO-3058 created,A purchase order has been created for your requisition.,UNREAD,PO,58,2026-06-15T21:18:35.097269+00:00,
37,2,APPROVAL_REQUEST,DOA approval needed: RR-1020,A requisition is waiting on your DOA approval.,UNREAD,RR,20,2026-08-06T05:18:35.097269+00:00,
38,4,APPROVAL_RESULT,RR-1021 approved,Your requisition was approved at DOA.,READ,RR,21,2026-05-22T14:18:35.097269+00:00,2026-05-23T18:18:35.097269+00:00
39,4,PO_CREATED,PO-3059 created,A purchase order has been created for your requisition.,UNREAD,PO,59,2026-06-09T11:18:35.097269+00:00,
40,23,APPROVAL_RESULT,RR-1022 approved,Your requisition was approved at DOA.,UNREAD,RR,22,2026-05-05T03:18:35.097269+00:00,
41,23,PO_CREATED,PO-3060 created,A purchase order has been created for your requisition.,UNREAD,PO,60,2026-05-15T03:18:35.097269+00:00,
42,3,APPROVAL_RESULT,RR-1023 approved,Your requisition was approved at DOA.,READ,RR,23,2026-04-29T17:18:35.097269+00:00,2026-04-30T21:18:35.097269+00:00
43,3,PO_CREATED,PO-3061 created,A purchase order has been created for your requisition.,UNREAD,PO,61,2026-05-05T17:18:35.097269+00:00,
44,23,APPROVAL_RESULT,RR-1024 approved,Your requisition was approved at DOA.,READ,RR,24,2025-12-31T17:18:35.097269+00:00,2026-01-01T21:18:35.097269+00:00
45,23,PO_CREATED,PO-3062 created,A purchase order has been created for your requisition.,UNREAD,PO,62,2026-01-28T17:18:35.097269+00:00,
46,17,APPROVAL_RESULT,RR-1025 approved,Your requisition was approved at DOA.,UNREAD,RR,25,2026-02-20T07:18:35.097269+00:00,
47,17,PO_CREATED,PO-3063 created,A purchase order has been created for your requisition.,UNREAD,PO,63,2026-04-13T13:18:35.097269+00:00,
48,17,APPROVAL_RESULT,RR-1026 approved,Your requisition was approved at DOA.,UNREAD,RR,26,2026-05-09T20:18:35.097269+00:00,
49,17,PO_CREATED,PO-3064 created,A purchase order has been created for your requisition.,READ,PO,64,2026-06-05T18:18:35.097269+00:00,2026-06-06T11:18:35.097269+00:00
50,8,APPROVAL_RESULT,RR-1027 approved,Your requisition was approved at DOA.,UNREAD,RR,27,2026-02-28T20:18:35.097269+00:00,
51,8,PO_CREATED,PO-3065 created,A purchase order has been created for your requisition.,UNREAD,PO,65,2026-03-23T08:18:35.097269+00:00,
52,9,APPROVAL_RESULT,RR-1028 approved,Your requisition was approved at DOA.,UNREAD,RR,28,2026-07-06T01:18:35.097269+00:00,
53,9,PO_CREATED,PO-3066 created,A purchase order has been created for your requisition.,READ,PO,66,2026-07-09T01:18:35.097269+00:00,2026-07-09T14:18:35.097269+00:00
54,2,APPROVAL_REQUEST,DOA approval needed: RR-1029,A requisition is waiting on your DOA approval.,UNREAD,RR,29,2026-04-07T14:18:35.097269+00:00,
55,6,APPROVAL_RESULT,RR-1030 approved,Your requisition was approved at DOA.,READ,RR,30,2026-03-23T22:18:35.097269+00:00,2026-03-24T01:18:35.097269+00:00
56,6,PO_CREATED,PO-3067 created,A purchase order has been created for your requisition.,UNREAD,PO,67,2026-04-14T22:18:35.097269+00:00,
57,16,APPROVAL_RESULT,RR-1031 approved,Your requisition was approved at DOA.,READ,RR,31,2026-05-27T05:18:35.097269+00:00,2026-05-28T02:18:35.097269+00:00
58,24,APPROVAL_RESULT,RR-1032 approved,Your requisition was approved at DOA.,READ,RR,32,2026-07-22T07:18:35.097269+00:00,2026-07-23T13:18:35.097269+00:00
59,24,PO_CREATED,PO-3068 created,A purchase order has been created for your requisition.,READ,PO,68,2026-08-16T03:18:35.097269+00:00,2026-08-16T14:18:35.097269+00:00
60,5,APPROVAL_RESULT,RR-1033 approved,Your requisition was approved at DOA.,READ,RR,33,2026-03-15T01:18:35.097269+00:00,2026-03-15T07:18:35.097269+00:00
61,5,PO_CREATED,PO-3069 created,A purchase order has been created for your requisition.,READ,PO,69,2026-05-10T01:18:35.097269+00:00,2026-05-11T01:18:35.097269+00:00
