id,po_id,material_id,quantity,unit_price,line_total,delivery_date,status
1,1,126,3.0,4361.29,13083.87,2026-05-19,DELIVERED
2,1,115,8.0,21584.13,172673.04,2026-05-29,DELIVERED
3,1,200,2.0,29203.26,58406.52,2026-05-05,OPEN
4,2,68,16.0,2531.55,40504.8,2026-09-20,DELIVERED
5,2,2,8.0,154077.04,1232616.32,2026-08-18,DELIVERED
6,2,94,10.0,7061.96,70619.6,2026-09-11,DELIVERED
7,2,134,16.0,54556.22,872899.52,2026-08-23,DELIVERED
8,2,87,20.0,48074.04,961480.8,2026-07-31,DELIVERED
9,2,141,15.0,8555.29,128329.35,2026-08-19,DELIVERED
10,2,66,7.0,151133.92,1057937.44,2026-09-11,DELIVERED
11,2,34,13.0,36963.44,480524.72,2026-09-08,DELIVERED
12,3,49,7.0,102525.6,717679.2,2026-04-05,DELIVERED
13,3,125,3.0,15359.17,46077.51,2026-05-15,OPEN
14,3,73,4.0,62129.81,248519.24,2026-05-16,DELIVERED
15,3,178,17.0,4147.04,70499.68,2026-04-05,DELIVERED
16,3,151,13.0,22468.09,292085.17,2026-05-11,OPEN
17,3,170,5.0,32250.76,161253.8,2026-05-14,OPEN
18,3,161,10.0,13693.38,136933.8,2026-05-17,OPEN
19,4,135,11.0,41811.16,459922.76,2026-07-17,DELIVERED
20,4,127,11.0,47369.18,521060.98,2026-07-14,DELIVERED
21,4,96,11.0,25496.21,280458.31,2026-06-04,DELIVERED
22,5,24,3.0,49429.36,148288.08,2026-06-15,OPEN
23,5,28,6.0,157274.88,943649.28,2026-06-02,OPEN
24,6,191,10.0,24811.95,248119.5,2026-04-05,DELIVERED
25,6,191,3.0,30555.73,91667.19,2026-04-15,DELIVERED
26,6,75,19.0,20725.8,393790.2,2026-05-09,DELIVERED
27,7,191,20.0,28163.24,563264.8,2026-04-24,OPEN
28,7,175,8.0,2294.47,18355.76,2026-05-14,OPEN
29,7,179,17.0,38620.02,656540.34,2026-05-15,OPEN
30,8,143,18.0,23192.37,417462.66,2026-02-10,OPEN
31,9,62,6.0,2522.49,15134.94,2026-08-10,DELIVERED
32,10,92,1.0,62685.78,62685.78,2026-06-05,DELIVERED
33,11,115,8.0,21756.95,174055.6,2026-05-25,OPEN
34,11,86,14.0,257072.51,3599015.14,2026-06-03,DELIVERED
35,11,91,16.0,198.79,3180.64,2026-05-03,DELIVERED
36,12,121,13.0,42527.9,552862.7,2026-06-26,OPEN
37,12,25,12.0,958.43,11501.16,2026-06-05,DELIVERED
38,12,80,4.0,8286.04,33144.16,2026-06-18,OPEN
39,13,214,19.0,16744.44,318144.36,2026-08-09,DELIVERED
40,13,215,20.0,28548.99,570979.8,2026-09-15,DELIVERED
41,13,214,12.0,15140.04,181680.48,2026-08-24,OPEN
42,14,157,4.0,166458.48,665833.92,2026-09-18,DELIVERED
43,14,8,6.0,14395.99,86375.94,2026-08-20,DELIVERED
44,15,217,13.0,40842.63,530954.19,2026-06-19,DELIVERED
45,15,206,8.0,7193.08,57544.64,2026-07-05,DELIVERED
46,16,193,17.0,2470.53,41999.01,2026-05-03,DELIVERED
47,17,212,5.0,8499.12,42495.6,2026-07-07,DELIVERED
48,17,218,5.0,15442.1,77210.5,2026-07-02,DELIVERED
49,17,213,12.0,32131.55,385578.6,2026-07-07,DELIVERED
50,18,213,11.0,33979.89,373778.79,2026-02-06,DELIVERED
51,18,207,8.0,41526.14,332209.12,2026-02-27,DELIVERED
52,19,218,17.0,18414.23,313041.91,2026-03-28,OPEN
53,19,220,6.0,13329.55,79977.3,2026-04-21,OPEN
54,19,215,8.0,28211.17,225689.36,2026-03-23,OPEN
55,20,66,9.0,162625.37,1463628.33,2026-02-23,DELIVERED
56,20,87,16.0,50383.52,806136.32,2026-02-17,DELIVERED
