id,pr_number,rr_id,creation_date,required_date,status,buyer_id,plant,total_value,source_system,doc_type,duplicate_flag,duplicate_context
1,RPR-2001,,2026-02-13,2026-04-06,PO_CREATED,5,Gamsberg,190413.9,synthetic,REPAIR,false,
2,RPR-2002,,2026-03-11,2026-04-13,PO_CREATED,12,Gamsberg,127894.86,synthetic,REPAIR,false,
3,RPR-2003,,2026-06-01,2026-07-08,PO_CREATED,12,BMM,42924.58,synthetic,REPAIR,false,
4,RPR-2004,,2026-05-02,2026-05-24,PO_CREATED,24,Gamsberg,47692.88,synthetic,REPAIR,false,
5,RPR-2005,,2026-07-21,2026-09-02,PO_CREATED,13,BMM,19504.36,synthetic,REPAIR,false,
6,RPR-2006,,2026-07-31,2026-09-06,AWAITING_PO,24,BMM,68584.05,synthetic,REPAIR,false,
7,RPR-2007,,2026-06-26,2026-08-12,PO_CREATED,24,Gamsberg,47692.88,synthetic,REPAIR,false,
8,RPR-2008,,2026-05-23,2026-06-21,PO_CREATED,24,Gamsberg,91536.3,synthetic,REPAIR,false,
9,RPR-2009,,2026-05-01,2026-05-26,PO_CREATED,5,BMM,3086.79,synthetic,REPAIR,false,
10,RPR-2010,,2026-08-06,2026-09-11,PO_CREATED,24,BMM,21792.84,synthetic,REPAIR,false,
11,RPR-2011,,2026-06-19,2026-07-31,PO_CREATED,24,BMM,6972.8,synthetic,REPAIR,false,
12,RPR-2012,,2026-07-17,2026-09-15,PO_CREATED,5,BMM,1493.79,synthetic,REPAIR,false,
13,RPR-2013,,2026-07-28,2026-09-19,PO_CREATED,24,BMM,42924.58,synthetic,REPAIR,false,
14,RPR-2014,,2026-07-13,2026-09-03,AWAITING_PO,5,BMM,39930.2,synthetic,REPAIR,false,
15,RPR-2015,,2026-08-05,2026-09-03,PO_CREATED,12,Gamsberg,44302.89,synthetic,REPAIR,false,
16,RPR-2016,,2026-08-01,2026-09-18,PO_CREATED,24,Gamsberg,86838.0,synthetic,REPAIR,false,
17,RPR-2017,,2026-06-03,2026-07-17,PO_CREATED,12,Gamsberg,18282.74,synthetic,REPAIR,false,
18,RPR-2018,,2026-04-16,2026-05-10,PO_CREATED,12,Gamsberg,6104.3,synthetic,REPAIR,false,
19,RPR-2019,,2026-08-01,2026-08-30,AWAITING_PO,13,BMM,64386.87,synthetic,REPAIR,false,
20,RPR-2020,,2026-08-05,2026-09-01,AWAITING_PO,5,BMM,43585.68,synthetic,REPAIR,false,
21,RPR-2021,,2026-06-22,2026-08-02,PO_CREATED,5,Gamsberg,17197.38,synthetic,REPAIR,false,
22,RPR-2022,,2026-03-04,2026-05-01,PO_CREATED,5,Gamsberg,29535.26,synthetic,REPAIR,false,
23,RPR-2023,,2026-06-11,2026-07-17,PO_CREATED,5,BMM,36307.74,synthetic,REPAIR,false,
24,RPR-2024,,2026-07-12,2026-08-05,PO_CREATED,5,Gamsberg,30512.1,synthetic,REPAIR,false,
25,RPR-2025,,2026-05-24,2026-07-22,PO_CREATED,24,BMM,38491.68,synthetic,REPAIR,false,
26,RPR-2026,,2026-08-22,2026-09-27,PO_CREATED,24,BMM,6972.8,synthetic,REPAIR,false,
27,RPR-2027,,2026-06-05,2026-08-01,PO_CREATED,24,Gamsberg,9141.37,synthetic,REPAIR,false,
28,RPR-2028,,2026-02-23,2026-04-17,PO_CREATED,24,BMM,497.93,synthetic,REPAIR,false,
29,RPR-2029,,2026-06-04,2026-07-11,PO_CREATED,24,BMM,19965.1,synthetic,REPAIR,false,
30,RPR-2030,,2026-06-10,2026-07-02,PO_CREATED,13,BMM,41230.08,synthetic,REPAIR,false,
31,RPR-2031,,2026-06-03,2026-07-31,PO_CREATED,13,BMM,11471.22,synthetic,REPAIR,false,
32,RPR-2032,,2026-08-07,2026-08-29,PO_CREATED,12,BMM,38491.68,synthetic,REPAIR,false,
33,RPR-2033,,2026-06-28,2026-08-07,PO_CREATED,12,BMM,9260.37,synthetic,REPAIR,false,
34,RPR-2034,,2026-08-02,2026-09-01,PO_CREATED,24,Gamsberg,190413.9,synthetic,REPAIR,false,
35,RPR-2035,,2026-08-06,2026-09-21,PO_CREATED,13,BMM,19745.97,synthetic,REPAIR,false,
36,RPR-2036,,2026-06-24,2026-08-03,PO_CREATED,13,BMM,14358.4,synthetic,REPAIR,false,
37,RPR-2037,,2026-06-06,2026-07-19,PO_CREATED,24,BMM,19745.97,synthetic,REPAIR,false,
38,RPR-2038,,2026-05-26,2026-07-04,PO_CREATED,13,Gamsberg,18312.9,synthetic,REPAIR,false,
39,RPR-2039,,2026-08-16,2026-10-02,PO_CREATED,13,Gamsberg,57892.0,synthetic,REPAIR,false,
40,RPR-2040,,2026-08-14,2026-09-10,AWAITING_PO,24,BMM,19965.1,synthetic,REPAIR,false,
41,RPR-2041,,2026-08-10,2026-09-04,PO_CREATED,13,Gamsberg,18312.9,synthetic,REPAIR,false,
42,RPR-2042,,2026-06-28,2026-07-30,PO_CREATED,12,Gamsberg,17197.38,synthetic,REPAIR,false,
43,RPR-2043,,2026-08-12,2026-09-08,PO_CREATED,12,Gamsberg,5077.14,synthetic,REPAIR,false,
44,RPR-2044,,2026-06-08,2026-07-29,PO_CREATED,5,BMM,26217.84,synthetic,REPAIR,false,
45,RPR-2045,,2026-08-13,2026-09-09,PO_CREATED,24,BMM,78653.52,synthetic,REPAIR,false,
46,RPR-2046,,2026-05-29,2026-07-28,PO_CREATED,5,Gamsberg,126942.6,synthetic,REPAIR,false,
47,PR-2047,1,2026-01-03,2026-02-03,PO_CREATED,13,Gamsberg,262438.86,synthetic,NEW_BUY,false,
48,PR-2048,2,2026-08-26,2026-09-17,PO_CREATED,12,Gamsberg,163277.38,synthetic,NEW_BUY,false,
49,PR-2049,3,2026-05-20,2026-06-18,AWAITING_RFQ,5,Gamsberg,1073719.89,synthetic,NEW_BUY,false,
50,PR-2050,4,2026-02-18,2026-04-01,PO_CREATED,24,BMM,269042.29,synthetic,NEW_BUY,false,
51,PR-2051,5,2026-06-12,2026-06-23,PO_CREATED,5,BMM,11925.64,synthetic,NEW_BUY,false,
52,PR-2052,6,2026-07-05,2026-08-18,PO_CREATED,12,Gamsberg,89713.32,synthetic,NEW_BUY,false,
53,PR-2053,7,2026-06-07,2026-07-16,PO_CREATED,12,Gamsberg,91168.88,synthetic,NEW_BUY,false,
54,PR-2054,8,2026-04-20,2026-05-26,PO_CREATED,12,Gamsberg,446914.53,synthetic,NEW_BUY,false,
55,PR-2055,9,2026-06-15,2026-08-09,PO_CREATED,13,Gamsberg,4191698.22,synthetic,NEW_BUY,false,
56,PR-2056,10,2026-07-16,2026-08-03,PO_CREATED,24,BMM,151587.2,synthetic,NEW_BUY,false,
57,PR-2057,11,2026-04-08,2026-06-02,PO_CREATED,13,Gamsberg,541637.88,synthetic,NEW_BUY,false,
58,PR-2058,12,2026-04-07,2026-05-16,PO_CREATED,13,BMM,773512.8,synthetic,NEW_BUY,false,
59,PR-2059,13,2026-06-29,2026-07-21,PO_CREATED,13,BMM,1664281.62,synthetic,NEW_BUY,false,
60,PR-2060,14,2026-07-30,2026-09-07,PO_CREATED,24,BMM,634644.72,synthetic,NEW_BUY,false,
61,PR-2061,15,2026-01-07,2026-02-08,PO_CREATED,13,BMM,454398.35,synthetic,NEW_BUY,false,
62,PR-2062,16,2026-05-12,2026-06-08,PO_CREATED,13,BMM,4392901.06,synthetic,NEW_BUY,false,
63,PR-2063,17,2026-05-02,2026-06-14,PO_CREATED,5,Gamsberg,2052519.56,synthetic,NEW_BUY,false,
64,PR-2064,19,2026-06-02,2026-07-18,PO_CREATED,24,BMM,616936.46,synthetic,NEW_BUY,false,
65,PR-2065,21,2026-05-23,2026-07-14,PO_CREATED,13,Gamsberg,399956.31,synthetic,NEW_BUY,false,
66,PR-2066,22,2026-05-08,2026-05-20,PO_CREATED,12,BMM,701155.08,synthetic,NEW_BUY,false,
