id,entity_type,entity_id,stage_code,stage_name,started_at,completed_at,status,owner_id,source_system
1,RR,1,RR_CREATED,RR Created,2026-03-31T05:09:36.211764+00:00,2026-03-31T05:09:36.211764+00:00,COMPLETED,20,synthetic
2,RR,1,DOA,DOA Approval,2026-03-31T05:09:36.211764+00:00,2026-04-01T05:09:36.211764+00:00,COMPLETED,3,synthetic
3,RR,1,MRP,MRP Processing,2026-04-01T05:09:36.211764+00:00,2026-04-04T05:09:36.211764+00:00,COMPLETED,,synthetic
4,PR,1,PR_CREATED,PR Created,2026-04-04T05:09:36.211764+00:00,2026-04-04T05:09:36.211764+00:00,COMPLETED,5,synthetic
5,PR,1,NFA,NFA Approval,2026-04-05T05:09:36.211764+00:00,2026-04-10T05:09:36.211764+00:00,COMPLETED,3,synthetic
6,PR,1,PO_CREATED,PO Created,2026-04-11T05:09:36.211764+00:00,2026-04-11T05:09:36.211764+00:00,COMPLETED,5,synthetic
7,RR,2,RR_CREATED,RR Created,2026-07-14T00:09:36.211764+00:00,2026-07-14T00:09:36.211764+00:00,COMPLETED,1,synthetic
8,RR,2,DOA,DOA Approval,2026-07-14T00:09:36.211764+00:00,2026-07-16T00:09:36.211764+00:00,COMPLETED,3,synthetic
9,RR,2,MRP,MRP Processing,2026-07-16T00:09:36.211764+00:00,2026-07-18T00:09:36.211764+00:00,COMPLETED,,synthetic
10,PR,2,PR_CREATED,PR Created,2026-07-18T00:09:36.211764+00:00,2026-07-18T00:09:36.211764+00:00,COMPLETED,5,synthetic
11,PR,2,NFA,NFA Approval,2026-07-19T00:09:36.211764+00:00,2026-07-22T00:09:36.211764+00:00,COMPLETED,3,synthetic
12,PR,2,PO_CREATED,PO Created,2026-07-23T00:09:36.211764+00:00,2026-07-23T00:09:36.211764+00:00,COMPLETED,5,synthetic
13,RR,3,RR_CREATED,RR Created,2026-06-15T23:09:36.211764+00:00,2026-06-15T23:09:36.211764+00:00,COMPLETED,24,synthetic
14,RR,3,DOA,DOA Approval,2026-06-15T23:09:36.211764+00:00,2026-06-19T23:09:36.211764+00:00,COMPLETED,3,synthetic
15,RR,3,MRP,MRP Processing,2026-06-19T23:09:36.211764+00:00,2026-06-21T23:09:36.211764+00:00,COMPLETED,,synthetic
16,PR,3,PR_CREATED,PR Created,2026-06-21T23:09:36.211764+00:00,2026-06-21T23:09:36.211764+00:00,COMPLETED,5,synthetic
17,PR,3,NFA,NFA Approval,2026-06-22T23:09:36.211764+00:00,2026-06-24T23:09:36.211764+00:00,COMPLETED,3,synthetic
18,RR,4,RR_CREATED,RR Created,2026-01-31T02:09:36.211764+00:00,2026-01-31T02:09:36.211764+00:00,COMPLETED,15,synthetic
19,RR,4,DOA,DOA Approval,2026-01-31T02:09:36.211764+00:00,2026-02-01T02:09:36.211764+00:00,COMPLETED,3,synthetic
20,RR,4,MRP,MRP Processing,2026-02-01T02:09:36.211764+00:00,2026-02-04T02:09:36.211764+00:00,COMPLETED,,synthetic
21,PR,4,PR_CREATED,PR Created,2026-02-04T02:09:36.211764+00:00,2026-02-04T02:09:36.211764+00:00,COMPLETED,5,synthetic
22,PR,4,RFQ,RFQ,2026-02-05T02:09:36.211764+00:00,2026-03-08T02:09:36.211764+00:00,COMPLETED,5,synthetic
23,PR,4,PO_CREATED,PO Created,2026-03-09T02:09:36.211764+00:00,2026-03-09T02:09:36.211764+00:00,COMPLETED,5,synthetic
24,RR,5,RR_CREATED,RR Created,2026-07-26T11:09:36.211764+00:00,2026-07-26T11:09:36.211764+00:00,COMPLETED,1,synthetic
25,RR,5,DOA,DOA Approval,2026-07-26T11:09:36.211764+00:00,,IN_PROGRESS,3,synthetic
26,RR,6,RR_CREATED,RR Created,2026-07-20T14:09:36.211764+00:00,2026-07-20T14:09:36.211764+00:00,COMPLETED,19,synthetic
27,RR,6,DOA,DOA Approval,2026-07-20T14:09:36.211764+00:00,2026-07-22T14:09:36.211764+00:00,COMPLETED,2,synthetic
28,RR,6,MRP,MRP Processing,2026-07-22T14:09:36.211764+00:00,2026-07-25T14:09:36.211764+00:00,COMPLETED,,synthetic
29,PR,5,PR_CREATED,PR Created,2026-07-25T14:09:36.211764+00:00,2026-07-25T14:09:36.211764+00:00,COMPLETED,5,synthetic
30,PR,5,NFA,NFA Approval,2026-07-26T14:09:36.211764+00:00,2026-07-28T14:09:36.211764+00:00,COMPLETED,15,synthetic
31,PR,5,PO_CREATED,PO Created,2026-07-29T14:09:36.211764+00:00,2026-07-29T14:09:36.211764+00:00,COMPLETED,5,synthetic
32,RR,7,RR_CREATED,RR Created,2026-04-04T22:09:36.211764+00:00,2026-04-04T22:09:36.211764+00:00,COMPLETED,16,synthetic
33,RR,7,DOA,DOA Approval,2026-04-04T22:09:36.211764+00:00,2026-04-07T22:09:36.211764+00:00,COMPLETED,2,synthetic
34,RR,7,MRP,MRP Processing,2026-04-07T22:09:36.211764+00:00,2026-04-08T22:09:36.211764+00:00,COMPLETED,,synthetic
35,PR,6,PR_CREATED,PR Created,2026-04-08T22:09:36.211764+00:00,2026-04-08T22:09:36.211764+00:00,COMPLETED,5,synthetic
36,PR,6,NFA,NFA Approval,2026-04-09T22:09:36.211764+00:00,2026-04-12T22:09:36.211764+00:00,COMPLETED,3,synthetic
37,PR,6,PO_CREATED,PO Created,2026-04-13T22:09:36.211764+00:00,2026-04-13T22:09:36.211764+00:00,COMPLETED,5,synthetic
38,RR,8,RR_CREATED,RR Created,2025-12-14T18:09:36.211764+00:00,2025-12-14T18:09:36.211764+00:00,COMPLETED,17,synthetic
39,RR,8,DOA,DOA Approval,2025-12-14T18:09:36.211764+00:00,2025-12-17T18:09:36.211764+00:00,COMPLETED,2,synthetic
40,RR,8,MRP,MRP Processing,2025-12-17T18:09:36.211764+00:00,2025-12-20T18:09:36.211764+00:00,COMPLETED,,synthetic
41,PR,7,PR_CREATED,PR Created,2025-12-20T18:09:36.211764+00:00,2025-12-20T18:09:36.211764+00:00,COMPLETED,5,synthetic
42,PR,7,RFQ,RFQ,2025-12-21T18:09:36.211764+00:00,2025-12-29T18:09:36.211764+00:00,COMPLETED,5,synthetic
43,PR,7,PO_CREATED,PO Created,2025-12-30T18:09:36.211764+00:00,2025-12-30T18:09:36.211764+00:00,COMPLETED,5,synthetic
44,RR,9,RR_CREATED,RR Created,2025-12-22T04:09:36.211764+00:00,2025-12-22T04:09:36.211764+00:00,COMPLETED,21,synthetic
45,RR,9,DOA,DOA Approval,2025-12-22T04:09:36.211764+00:00,2025-12-24T04:09:36.211764+00:00,COMPLETED,15,synthetic
46,RR,9,MRP,MRP Processing,2025-12-24T04:09:36.211764+00:00,2025-12-26T04:09:36.211764+00:00,COMPLETED,,synthetic
47,PR,8,PR_CREATED,PR Created,2025-12-26T04:09:36.211764+00:00,2025-12-26T04:09:36.211764+00:00,COMPLETED,13,synthetic
48,PR,8,RFQ,RFQ,2025-12-27T04:09:36.211764+00:00,2026-01-06T04:09:36.211764+00:00,COMPLETED,13,synthetic
49,PR,8,ARIBA,Ariba Event,2026-01-07T04:09:36.211764+00:00,2026-01-23T04:09:36.211764+00:00,COMPLETED,13,synthetic
50,PR,8,PO_CREATED,PO Created,2026-01-24T04:09:36.211764+00:00,2026-01-24T04:09:36.211764+00:00,COMPLETED,13,synthetic
51,RR,10,RR_CREATED,RR Created,2026-06-17T15:09:36.211764+00:00,2026-06-17T15:09:36.211764+00:00,COMPLETED,18,synthetic
52,RR,10,DOA,DOA Approval,2026-06-17T15:09:36.211764+00:00,2026-06-21T15:09:36.211764+00:00,COMPLETED,2,synthetic
53,RR,10,MRP,MRP Processing,2026-06-21T15:09:36.211764+00:00,2026-06-23T15:09:36.211764+00:00,COMPLETED,,synthetic
54,PR,9,PR_CREATED,PR Created,2026-06-23T15:09:36.211764+00:00,2026-06-23T15:09:36.211764+00:00,COMPLETED,12,synthetic
55,PR,9,PO_CREATED,PO Created,2026-06-24T15:09:36.211764+00:00,2026-06-24T15:09:36.211764+00:00,COMPLETED,12,synthetic
56,RR,11,RR_CREATED,RR Created,2026-06-18T12:09:36.211764+00:00,2026-06-18T12:09:36.211764+00:00,COMPLETED,23,synthetic
57,RR,11,DOA,DOA Approval,2026-06-18T12:09:36.211764+00:00,2026-06-20T12:09:36.211764+00:00,COMPLETED,3,synthetic
58,RR,11,MRP,MRP Processing,2026-06-20T12:09:36.211764+00:00,2026-06-21T12:09:36.211764+00:00,COMPLETED,,synthetic
59,PR,10,PR_CREATED,PR Created,2026-06-21T12:09:36.211764+00:00,2026-06-21T12:09:36.211764+00:00,COMPLETED,13,synthetic
60,PR,10,NFA,NFA Approval,2026-06-22T12:09:36.211764+00:00,2026-06-27T12:09:36.211764+00:00,COMPLETED,15,synthetic
61,PR,10,PO_CREATED,PO Created,2026-06-28T12:09:36.211764+00:00,2026-06-28T12:09:36.211764+00:00,COMPLETED,13,synthetic
62,RR,12,RR_CREATED,RR Created,2026-03-22T06:09:36.211764+00:00,2026-03-22T06:09:36.211764+00:00,COMPLETED,15,synthetic
63,RR,12,DOA,DOA Approval,2026-03-22T06:09:36.211764+00:00,,IN_PROGRESS,2,synthetic
64,RR,13,RR_CREATED,RR Created,2026-04-24T09:09:36.211764+00:00,2026-04-24T09:09:36.211764+00:00,COMPLETED,24,synthetic
65,RR,13,DOA,DOA Approval,2026-04-24T09:09:36.211764+00:00,2026-04-28T09:09:36.211764+00:00,COMPLETED,15,synthetic
66,RR,13,MRP,MRP Processing,2026-04-28T09:09:36.211764+00:00,2026-04-29T09:09:36.211764+00:00,COMPLETED,,synthetic
67,PR,11,PR_CREATED,PR Created,2026-04-29T09:09:36.211764+00:00,2026-04-29T09:09:36.211764+00:00,COMPLETED,24,synthetic
68,PR,11,RFQ,RFQ,2026-04-30T09:09:36.211764+00:00,2026-05-08T09:09:36.211764+00:00,COMPLETED,24,synthetic
69,PR,11,PO_CREATED,PO Created,2026-05-09T09:09:36.211764+00:00,2026-05-09T09:09:36.211764+00:00,COMPLETED,24,synthetic
70,RR,14,RR_CREATED,RR Created,2026-07-22T22:09:36.211764+00:00,2026-07-22T22:09:36.211764+00:00,COMPLETED,5,synthetic
71,RR,14,DOA,DOA Approval,2026-07-22T22:09:36.211764+00:00,2026-07-25T22:09:36.211764+00:00,COMPLETED,3,synthetic
72,RR,14,MRP,MRP Processing,2026-07-25T22:09:36.211764+00:00,2026-07-28T22:09:36.211764+00:00,COMPLETED,,synthetic
73,PR,12,PR_CREATED,PR Created,2026-07-28T22:09:36.211764+00:00,2026-07-28T22:09:36.211764+00:00,COMPLETED,5,synthetic
74,PR,12,RFQ,RFQ,2026-07-29T22:09:36.211764+00:00,2026-08-07T22:09:36.211764+00:00,COMPLETED,5,synthetic
75,PR,12,ARIBA,Ariba Event,2026-08-08T22:09:36.211764+00:00,2026-08-15T22:09:36.211764+00:00,COMPLETED,5,synthetic
76,PR,12,PO_CREATED,PO Created,2026-08-16T22:09:36.211764+00:00,2026-08-16T22:09:36.211764+00:00,COMPLETED,5,synthetic
77,RR,15,RR_CREATED,RR Created,2026-07-21T09:09:36.211764+00:00,2026-07-21T09:09:36.211764+00:00,COMPLETED,22,synthetic
78,RR,15,DOA,DOA Approval,2026-07-21T09:09:36.211764+00:00,2026-08-15T09:09:36.211764+00:00,COMPLETED,3,synthetic
79,RR,15,MRP,MRP Processing,2026-08-15T09:09:36.211764+00:00,2026-08-16T09:09:36.211764+00:00,COMPLETED,,synthetic
80,PR,13,PR_CREATED,PR Created,2026-08-16T09:09:36.211764+00:00,2026-08-16T09:09:36.211764+00:00,COMPLETED,5,synthetic
81,PR,13,RFQ,RFQ,2026-08-17T09:09:36.211764+00:00,2026-08-25T09:09:36.211764+00:00,COMPLETED,5,synthetic
82,PR,13,NFA,NFA Approval,2026-08-26T09:09:36.211764+00:00,2026-08-28T09:09:36.211764+00:00,COMPLETED,3,synthetic
83,PR,13,PO_CREATED,PO Created,2026-08-29T09:09:36.211764+00:00,2026-08-29T09:09:36.211764+00:00,COMPLETED,5,synthetic
84,RR,16,RR_CREATED,RR Created,2026-05-11T07:09:36.211764+00:00,2026-05-11T07:09:36.211764+00:00,COMPLETED,3,synthetic
85,RR,16,DOA,DOA Approval,2026-05-11T07:09:36.211764+00:00,2026-05-14T07:09:36.211764+00:00,COMPLETED,2,synthetic
86,RR,16,MRP,MRP Processing,2026-05-14T07:09:36.211764+00:00,2026-05-15T07:09:36.211764+00:00,COMPLETED,,synthetic
87,PR,14,PR_CREATED,PR Created,2026-05-15T07:09:36.211764+00:00,2026-05-15T07:09:36.211764+00:00,COMPLETED,24,synthetic
88,PR,14,RFQ,RFQ,2026-05-16T07:09:36.211764+00:00,2026-05-21T07:09:36.211764+00:00,COMPLETED,24,synthetic
89,PR,14,ARIBA,Ariba Event,2026-05-22T07:09:36.211764+00:00,2026-05-25T07:09:36.211764+00:00,COMPLETED,24,synthetic
90,PR,14,NFA,NFA Approval,2026-05-26T07:09:36.211764+00:00,2026-05-28T07:09:36.211764+00:00,COMPLETED,3,synthetic
91,PR,14,PO_CREATED,PO Created,2026-05-29T07:09:36.211764+00:00,2026-05-29T07:09:36.211764+00:00,COMPLETED,24,synthetic
92,RR,17,RR_CREATED,RR Created,2026-05-07T03:09:36.211764+00:00,2026-05-07T03:09:36.211764+00:00,COMPLETED,1,synthetic
93,RR,17,DOA,DOA Approval,2026-05-07T03:09:36.211764+00:00,,IN_PROGRESS,3,synthetic
94,RR,18,RR_CREATED,RR Created,2026-02-28T21:09:36.211764+00:00,2026-02-28T21:09:36.211764+00:00,COMPLETED,17,synthetic
95,RR,18,DOA,DOA Approval,2026-02-28T21:09:36.211764+00:00,2026-03-03T21:09:36.211764+00:00,COMPLETED,2,synthetic
96,RR,18,MRP,MRP Processing,2026-03-03T21:09:36.211764+00:00,2026-03-17T21:09:36.211764+00:00,COMPLETED,,synthetic
97,PR,15,PR_CREATED,PR Created,2026-03-17T21:09:36.211764+00:00,2026-03-17T21:09:36.211764+00:00,COMPLETED,24,synthetic
98,PR,15,PO_CREATED,PO Created,2026-03-18T21:09:36.211764+00:00,2026-03-18T21:09:36.211764+00:00,COMPLETED,24,synthetic
99,RR,19,RR_CREATED,RR Created,2026-01-06T09:09:36.211764+00:00,2026-01-06T09:09:36.211764+00:00,COMPLETED,8,synthetic
100,RR,19,DOA,DOA Approval,2026-01-06T09:09:36.211764+00:00,2026-01-09T09:09:36.211764+00:00,COMPLETED,15,synthetic
101,RR,19,MRP,MRP Processing,2026-01-09T09:09:36.211764+00:00,2026-01-10T09:09:36.211764+00:00,COMPLETED,,synthetic
102,PR,16,PR_CREATED,PR Created,2026-01-10T09:09:36.211764+00:00,2026-01-10T09:09:36.211764+00:00,COMPLETED,13,synthetic
103,PR,16,RFQ,RFQ,2026-01-11T09:09:36.211764+00:00,2026-01-17T09:09:36.211764+00:00,COMPLETED,13,synthetic
104,PR,16,NFA,NFA Approval,2026-01-18T09:09:36.211764+00:00,2026-01-23T09:09:36.211764+00:00,COMPLETED,3,synthetic
105,PR,16,PO_CREATED,PO Created,2026-01-24T09:09:36.211764+00:00,2026-01-24T09:09:36.211764+00:00,COMPLETED,13,synthetic
106,RR,20,RR_CREATED,RR Created,2026-06-02T14:09:36.211764+00:00,2026-06-02T14:09:36.211764+00:00,COMPLETED,4,synthetic
107,RR,20,DOA,DOA Approval,2026-06-02T14:09:36.211764+00:00,2026-06-15T14:09:36.211764+00:00,COMPLETED,3,synthetic
108,RR,20,MRP,MRP Processing,2026-06-15T14:09:36.211764+00:00,2026-06-16T14:09:36.211764+00:00,COMPLETED,,synthetic
109,PR,17,PR_CREATED,PR Created,2026-06-16T14:09:36.211764+00:00,2026-06-16T14:09:36.211764+00:00,COMPLETED,12,synthetic
110,PR,17,RFQ,RFQ,2026-06-17T14:09:36.211764+00:00,2026-06-25T14:09:36.211764+00:00,COMPLETED,12,synthetic
111,PR,17,NFA,NFA Approval,2026-06-26T14:09:36.211764+00:00,2026-06-30T14:09:36.211764+00:00,COMPLETED,15,synthetic
112,PR,17,PO_CREATED,PO Created,2026-07-01T14:09:36.211764+00:00,2026-07-01T14:09:36.211764+00:00,COMPLETED,12,synthetic
113,RR,21,RR_CREATED,RR Created,2026-03-14T21:09:36.211764+00:00,2026-03-14T21:09:36.211764+00:00,COMPLETED,2,synthetic
114,RR,21,DOA,DOA Approval,2026-03-14T21:09:36.211764+00:00,2026-03-16T21:09:36.211764+00:00,COMPLETED,2,synthetic
115,RR,21,MRP,MRP Processing,2026-03-16T21:09:36.211764+00:00,2026-03-31T21:09:36.211764+00:00,COMPLETED,,synthetic
116,PR,18,PR_CREATED,PR Created,2026-03-31T21:09:36.211764+00:00,2026-03-31T21:09:36.211764+00:00,COMPLETED,13,synthetic
117,RR,22,RR_CREATED,RR Created,2026-08-17T11:09:36.211764+00:00,2026-08-17T11:09:36.211764+00:00,COMPLETED,2,synthetic
118,RR,22,DOA,DOA Approval,2026-08-17T11:09:36.211764+00:00,2026-08-18T11:09:36.211764+00:00,COMPLETED,15,synthetic
119,RR,22,MRP,MRP Processing,2026-08-18T11:09:36.211764+00:00,2026-08-19T11:09:36.211764+00:00,COMPLETED,,synthetic
120,PR,19,PR_CREATED,PR Created,2026-08-19T11:09:36.211764+00:00,2026-08-19T11:09:36.211764+00:00,COMPLETED,24,synthetic
121,PR,19,RFQ,RFQ,2026-08-20T11:09:36.211764+00:00,2026-08-29T11:09:36.211764+00:00,COMPLETED,24,synthetic
122,PR,19,ARIBA,Ariba Event,2026-08-30T11:09:36.211764+00:00,,IN_PROGRESS,24,synthetic
123,RR,23,RR_CREATED,RR Created,2026-08-20T02:09:36.211764+00:00,2026-08-20T02:09:36.211764+00:00,COMPLETED,1,synthetic
124,RR,23,DOA,DOA Approval,2026-08-20T02:09:36.211764+00:00,2026-08-24T02:09:36.211764+00:00,COMPLETED,15,synthetic
125,RR,23,MRP,MRP Processing,2026-08-24T02:09:36.211764+00:00,2026-08-26T02:09:36.211764+00:00,COMPLETED,,synthetic
126,PR,20,PR_CREATED,PR Created,2026-08-26T02:09:36.211764+00:00,2026-08-26T02:09:36.211764+00:00,COMPLETED,12,synthetic
127,PR,20,RFQ,RFQ,2026-08-27T02:09:36.211764+00:00,2026-09-04T02:09:36.211764+00:00,COMPLETED,12,synthetic
128,PR,20,ARIBA,Ariba Event,2026-09-05T02:09:36.211764+00:00,,IN_PROGRESS,12,synthetic
129,RR,24,RR_CREATED,RR Created,2026-07-04T03:09:36.211764+00:00,2026-07-04T03:09:36.211764+00:00,COMPLETED,11,synthetic
130,RR,24,DOA,DOA Approval,2026-07-04T03:09:36.211764+00:00,2026-07-07T03:09:36.211764+00:00,COMPLETED,15,synthetic
131,RR,24,MRP,MRP Processing,2026-07-07T03:09:36.211764+00:00,2026-07-09T03:09:36.211764+00:00,COMPLETED,,synthetic
132,PR,21,PR_CREATED,PR Created,2026-07-09T03:09:36.211764+00:00,2026-07-09T03:09:36.211764+00:00,COMPLETED,24,synthetic
133,PR,21,PO_CREATED,PO Created,2026-07-10T03:09:36.211764+00:00,2026-07-10T03:09:36.211764+00:00,COMPLETED,24,synthetic
134,RR,25,RR_CREATED,RR Created,2026-06-02T12:09:36.211764+00:00,2026-06-02T12:09:36.211764+00:00,COMPLETED,23,synthetic
