service,entity_set,count
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,HTTP 500
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,HTTP 500
ZVZI_KPI02_SHARED_SRV,InfoRecordSet,550
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,585
ZVZI_KPI02_SHARED_SRV,PurchaseOrderSet,3120
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,HTTP 500
ZVZI_KPI02_SHARED_SRV,VendorSet,227
ZVZI_KPI02_SHARED_SRV,MaterialDescriptionSet,2036
ZVZI_KPI02_SHARED_SRV,MaterialSet,2034
ZVZI_KPI02_SHARED_SRV,MaterialPlantSet,2177
ZVZI_KPI02_SHARED_SRV,StorageLocationStockSet,2303
ZVZI_KPI02_SHARED_SRV,MaterialDocumentHeaderSet,40649
ZVZI_KPI02_SHARED_SRV,POScheduleLineSet,3608
ZVZI_KPI02_SHARED_SRV,POHistorySet,3878
