case_id,Matnr,Werks,repair_pr,repair_po,repair_po_item,session_id,attestation_id,stage,removed_on,expected_back_on,returned_on,overdue,vendor_turnaround_days,notes
RPR-000001,000000000080000000,1000,,,,SESS-000730,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008609 while a repairable unit was on hand.
RPR-000002,000000000080000001,4000,2000008660,4500008610,00010,SESS-000731,,BACK_IN_STOCK,2026-03-23,2026-04-21,2026-04-26,false,28,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000003,000000000080000002,1000,2000008661,4500008611,00010,SESS-000732,ATT-000001,IN_REPAIR,2026-08-22,2026-09-28,,false,,Repair vendor Aggeneys Rotating Equipment Service.
RPR-000004,000000000080000002,2000,2000008662,4500008612,00010,SESS-000733,ATT-000002,RETURNED,2025-11-08,2026-01-16,2026-01-20,false,69,Repair vendor Aggeneys Rotating Equipment Service.
RPR-000005,000000000080000003,1000,2000008663,4500008613,00010,SESS-000734,,OVERDUE,2026-04-19,2026-06-25,,true,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000006,000000000080000004,3000,2000008664,4500008614,00010,SESS-000735,,IN_REPAIR,2026-08-14,2026-10-01,,false,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000007,000000000080000005,2000,2000008665,4500008615,00010,SESS-000736,ATT-000003,BACK_IN_STOCK,2026-03-09,2026-05-22,2026-05-29,false,76,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000008,000000000080000006,3000,2000008666,4500008616,00010,SESS-000737,ATT-000004,BACK_IN_STOCK,2025-12-22,2026-02-25,2026-03-13,false,67,Repair vendor Kalahari Rotating Equipment Service.
RPR-000009,000000000080000006,4000,2000008667,4500008617,00010,SESS-000738,ATT-000005,IN_REPAIR,2026-08-23,2026-10-02,,false,,Repair vendor Aggeneys Rotating Equipment Service.
RPR-000010,000000000080000007,3000,2000008668,4500008618,00010,SESS-000739,ATT-000006,IN_REPAIR,2026-08-17,2026-09-19,,false,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000011,000000000080000008,3000,2000008669,4500008619,00010,SESS-000740,ATT-000007,RETURNED,2026-04-25,2026-07-28,2026-08-22,false,115,Repair vendor Orange River Hydraulic Service Cent.
RPR-000012,000000000080000008,2000,2000008670,4500008620,00010,SESS-000741,ATT-000008,BACK_IN_STOCK,2026-03-13,2026-06-09,2026-06-10,false,84,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000013,000000000080000009,3000,,,,SESS-000742,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008621 while a repairable unit was on hand.
RPR-000014,000000000080000010,3000,2000008672,4500008622,00010,SESS-000743,ATT-000009,RETURNED,2026-03-28,2026-05-10,2026-06-01,false,55,Repair vendor Gariep Hydraulic Service Centre (Pt.
RPR-000015,000000000080000011,3000,2000008673,4500008623,00010,SESS-000744,ATT-000010,IN_REPAIR,2026-08-15,2026-10-11,,false,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000016,000000000080000012,3000,2000008674,4500008624,00010,SESS-000745,,RETURNED,2026-03-17,2026-04-19,2026-04-25,false,29,Repair vendor Orange River Gearbox Refurbishment .
RPR-000017,000000000080000013,4000,2000008675,4500008625,00010,SESS-000746,ATT-000011,BACK_IN_STOCK,2026-05-11,2026-06-18,2026-06-26,false,34,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000018,000000000080000014,3000,,,,SESS-000747,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008626 while a repairable unit was on hand.
RPR-000019,000000000080000014,1000,2000008677,4500008627,00010,SESS-000748,ATT-000012,RETURNED,2026-05-24,2026-07-24,2026-08-13,false,75,Repair vendor Gariep Hydraulic Service Centre (Pt.
RPR-000020,000000000080000015,1000,2000008678,4500008628,00010,SESS-000749,,EXPECTED_BACK,2026-08-02,2026-09-10,,false,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000021,000000000080000016,3000,2000008679,4500008629,00010,SESS-000750,ATT-000013,EXPECTED_BACK,2026-06-11,2026-09-07,,false,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000022,000000000080000017,2000,2000008680,4500008630,00010,SESS-000751,ATT-000014,EXPECTED_BACK,2026-06-13,2026-09-09,,false,,Repair vendor Gariep Hydraulic Service Centre (Pt.
RPR-000023,000000000080000018,2000,2000008681,4500008631,00010,SESS-000752,ATT-000015,RETURNED,2025-12-27,2026-02-24,2026-03-02,false,62,Repair vendor Orange River Gearbox Refurbishment .
RPR-000024,000000000080000019,3000,2000008682,4500008632,00010,SESS-000753,,OVERDUE,2026-04-11,2026-06-19,,true,,Repair vendor Springbok Mechanical Repair Works (.
RPR-000025,000000000080000019,1000,2000008683,4500008633,00010,SESS-000754,ATT-000016,IN_REPAIR,2026-07-27,2026-09-25,,false,,Repair vendor Springbok Hydraulic Service Centre .
RPR-000026,000000000080000020,1000,2000008684,4500008634,00010,SESS-000755,,BACK_IN_STOCK,2025-11-18,2026-01-30,2026-01-30,false,66,Repair vendor Aggeneys Rotating Equipment Service.
RPR-000027,000000000080000021,4000,2000008685,4500008635,00010,SESS-000756,ATT-000017,EXPECTED_BACK,2026-08-01,2026-09-09,,false,,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000028,000000000080000021,2000,2000008686,4500008636,00010,SESS-000757,ATT-000018,OVERDUE,2026-04-18,2026-06-14,,true,,Repair vendor Gariep Hydraulic Service Centre (Pt.
RPR-000029,000000000080000022,3000,2000008687,4500008637,00010,SESS-000758,ATT-000019,OVERDUE,2026-03-11,2026-06-12,,true,,Repair vendor Aggeneys Rotating Equipment Service.
RPR-000030,000000000080000022,1000,2000008688,4500008638,00010,SESS-000759,ATT-000020,BACK_IN_STOCK,2026-03-30,2026-05-02,2026-05-12,false,37,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000031,000000000080000023,3000,2000008689,4500008639,00010,SESS-000760,ATT-000021,RETURNED,2026-02-28,2026-05-01,2026-05-13,false,68,Repair vendor Kalahari Rotating Equipment Service.
RPR-000032,000000000080000024,1000,2000008690,4500008640,00010,SESS-000761,ATT-000022,RETURNED,2026-01-15,2026-04-27,2026-05-07,false,105,Repair vendor Kalahari Rotating Equipment Service.
RPR-000033,000000000080000025,2000,,,,SESS-000762,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008641 while a repairable unit was on hand.
