Objectclas,Objectid,Changenr,Username,Udate,Utime,Tcode
MATERIAL,000000000010000000,0001000000,VZIINV02,2026-06-04T00:00:00,13:10:00,MM02
MATERIAL,000000000010000001,0001000001,VZIINV02,2026-08-06T00:00:00,13:26:00,MM02
MATERIAL,000000000030000001,0001000002,VZIINV01,2026-08-26T00:00:00,07:53:00,MM02
MATERIAL,000000000010000005,0001000003,VZIINV02,2026-06-01T00:00:00,15:29:00,MM02
MATERIAL,000000000080000002,0001000004,VZIINV02,2026-08-11T00:00:00,08:56:00,MM02
MATERIAL,000000000010000008,0001000005,VZIINV02,2026-07-15T00:00:00,09:43:00,MM02
MATERIAL,000000000010000012,0001000006,VZIINV01,2026-05-30T00:00:00,07:46:00,MM02
MATERIAL,000000000010000014,0001000007,VZIINV01,2026-08-01T00:00:00,08:06:00,MM02
MATERIAL,000000000080000003,0001000008,VZIINV01,2026-06-19T00:00:00,14:51:00,MM02
MATERIAL,000000000010000015,0001000009,VZIINV01,2026-09-07T00:00:00,16:12:00,MM02
MATERIAL,000000000010000018,0001000010,VZIINV02,2026-08-01T00:00:00,15:41:00,MM02
MATERIAL,000000000010000019,0001000011,VZIINV01,2026-08-18T00:00:00,10:50:00,MM02
MATERIAL,000000000010000023,0001000012,VZIINV02,2026-09-01T00:00:00,13:38:00,MM02
MATERIAL,000000000010000024,0001000013,VZIINV02,2026-06-18T00:00:00,08:59:00,MM02
MATERIAL,000000000080000008,0001000014,VZIINV01,2026-08-23T00:00:00,15:35:00,MM02
MATERIAL,000000000010000032,0001000015,VZIINV02,2026-06-07T00:00:00,14:17:00,MM02
MATERIAL,000000000010000037,0001000016,VZIINV02,2026-08-26T00:00:00,12:06:00,MM02
MATERIAL,000000000080000012,0001000017,VZIINV01,2026-08-05T00:00:00,09:12:00,MM02
MATERIAL,000000000010000038,0001000018,VZIINV02,2026-06-16T00:00:00,14:41:00,MM02
MATERIAL,000000000010000042,0001000019,VZIINV01,2026-06-02T00:00:00,09:52:00,MM02
MATERIAL,000000000030000004,0001000020,VZIINV02,2026-05-21T00:00:00,15:04:00,MM02
MATERIAL,000000000080000014,0001000021,VZIINV01,2026-08-03T00:00:00,12:55:00,MM02
MATERIAL,000000000030000007,0001000022,VZIINV02,2026-07-19T00:00:00,10:29:00,MM02
MATERIAL,000000000010000050,0001000023,VZIINV01,2026-08-30T00:00:00,13:54:00,MM02
MATERIAL,000000000080000017,0001000024,VZIINV01,2026-08-14T00:00:00,10:01:00,MM02
MATERIAL,000000000010000051,0001000025,VZIINV01,2026-09-07T00:00:00,12:47:00,MM02
MATERIAL,000000000080000018,0001000026,VZIINV01,2026-07-18T00:00:00,16:07:00,MM02
MATERIAL,000000000010000055,0001000027,VZIINV02,2026-08-11T00:00:00,09:17:00,MM02
MATERIAL,000000000010000055,0001000028,VZIINV01,2026-05-21T00:00:00,14:32:00,MM02
MATERIAL,000000000010000058,0001000029,VZIINV01,2026-06-21T00:00:00,10:28:00,MM02
MATERIAL,000000000010000068,0001000030,VZIINV02,2026-08-11T00:00:00,10:10:00,MM02
MATERIAL,000000000010000068,0001000031,VZIINV02,2026-08-04T00:00:00,16:29:00,MM02
MATERIAL,000000000010000070,0001000032,VZIINV01,2026-06-29T00:00:00,16:58:00,MM02
MATERIAL,000000000010000071,0001000033,VZIINV01,2026-08-31T00:00:00,14:12:00,MM02
MATERIAL,000000000010000072,0001000034,VZIINV02,2026-05-31T00:00:00,13:52:00,MM02
MATERIAL,000000000080000021,0001000035,VZIINV01,2026-09-07T00:00:00,16:30:00,MM02
MATERIAL,000000000010000076,0001000036,VZIINV02,2026-07-07T00:00:00,09:03:00,MM02
MATERIAL,000000000080000022,0001000037,VZIINV02,2026-07-27T00:00:00,16:15:00,MM02
MATERIAL,000000000080000022,0001000038,VZIINV01,2026-08-16T00:00:00,16:04:00,MM02
MATERIAL,000000000030000014,0001000039,VZIINV02,2026-07-09T00:00:00,09:59:00,MM02
MATERIAL,000000000010000090,0001000040,VZIINV02,2026-06-02T00:00:00,14:11:00,MM02
MATERIAL,000000000010000095,0001000041,VZIINV01,2026-09-07T00:00:00,16:53:00,MM02
MATERIAL,000000000010000095,0001000042,VZIINV01,2026-06-20T00:00:00,09:24:00,MM02
MATERIAL,000000000010000105,0001000043,VZIINV02,2026-09-07T00:00:00,13:57:00,MM02
MATERIAL,000000000010000107,0001000044,VZIINV02,2026-08-01T00:00:00,11:55:00,MM02
MATERIAL,000000000080000032,0001000045,VZIINV02,2026-08-02T00:00:00,11:03:00,MM02
MATERIAL,000000000010000110,0001000046,VZIINV02,2026-07-08T00:00:00,11:40:00,MM02
MATERIAL,000000000010000115,0001000047,VZIINV02,2026-06-07T00:00:00,13:17:00,MM02
MATERIAL,000000000030000026,0001000048,VZIINV02,2026-07-28T00:00:00,17:42:00,MM02
MATERIAL,000000000080000036,0001000049,VZIINV01,2026-05-19T00:00:00,14:00:00,MM02
MATERIAL,000000000010000121,0001000050,VZIINV01,2026-05-27T00:00:00,12:51:00,MM02
MATERIAL,000000000010000123,0001000051,VZIINV02,2026-08-23T00:00:00,17:39:00,MM02
MATERIAL,000000000010000129,0001000052,VZIINV02,2026-07-29T00:00:00,14:09:00,MM02
MATERIAL,000000000010000134,0001000053,VZIINV01,2026-07-10T00:00:00,07:08:00,MM02
MATERIAL,000000000010000135,0001000054,VZIINV02,2026-09-07T00:00:00,11:42:00,MM02
MATERIAL,000000000010000138,0001000055,VZIINV02,2026-07-11T00:00:00,16:22:00,MM02
MATERIAL,000000000030000032,0001000056,VZIINV02,2026-08-20T00:00:00,11:23:00,MM02
MATERIAL,000000000080000042,0001000057,VZIINV01,2026-08-25T00:00:00,17:39:00,MM02
MATERIAL,000000000080000043,0001000058,VZIINV02,2026-06-18T00:00:00,16:48:00,MM02
MATERIAL,000000000010000150,0001000059,VZIINV02,2026-06-01T00:00:00,12:08:00,MM02
MATERIAL,000000000010000151,0001000060,VZIINV02,2026-09-01T00:00:00,09:27:00,MM02
MATERIAL,000000000010000153,0001000061,VZIINV01,2026-05-28T00:00:00,08:52:00,MM02
MATERIAL,000000000010000155,0001000062,VZIINV01,2026-07-26T00:00:00,10:53:00,MM02
MATERIAL,000000000010000157,0001000063,VZIINV02,2026-07-25T00:00:00,12:46:00,MM02
MATERIAL,000000000080000044,0001000064,VZIINV02,2026-07-21T00:00:00,10:08:00,MM02
MATERIAL,000000000080000047,0001000065,VZIINV01,2026-06-02T00:00:00,15:37:00,MM02
MATERIAL,000000000010000168,0001000066,VZIINV01,2026-06-14T00:00:00,10:14:00,MM02
MATERIAL,000000000080000050,0001000067,VZIINV01,2026-06-23T00:00:00,15:42:00,MM02
MATERIAL,000000000030000039,0001000068,VZIINV02,2026-06-27T00:00:00,11:01:00,MM02
MATERIAL,000000000010000187,0001000069,VZIINV01,2026-06-28T00:00:00,12:20:00,MM02
MATERIAL,000000000010000188,0001000070,VZIINV01,2026-08-07T00:00:00,08:42:00,MM02
MATERIAL,000000000010000189,0001000071,VZIINV02,2026-06-09T00:00:00,13:53:00,MM02
MATERIAL,000000000010000194,0001000072,VZIINV02,2026-06-17T00:00:00,13:28:00,MM02
MATERIAL,000000000010000195,0001000073,VZIINV02,2026-06-13T00:00:00,12:12:00,MM02
MATERIAL,000000000010000203,0001000074,VZIINV02,2026-09-02T00:00:00,12:58:00,MM02
MATERIAL,000000000010000204,0001000075,VZIINV02,2026-08-27T00:00:00,16:42:00,MM02
MATERIAL,000000000010000206,0001000076,VZIINV01,2026-05-29T00:00:00,14:40:00,MM02
MATERIAL,000000000010000208,0001000077,VZIINV02,2026-07-28T00:00:00,09:30:00,MM02
MATERIAL,000000000010000212,0001000078,VZIINV01,2026-08-06T00:00:00,10:37:00,MM02
MATERIAL,000000000010000213,0001000079,VZIINV01,2026-06-12T00:00:00,13:32:00,MM02
MATERIAL,000000000010000214,0001000080,VZIINV01,2026-08-30T00:00:00,16:38:00,MM02
MATERIAL,000000000010000215,0001000081,VZIINV02,2026-06-13T00:00:00,17:05:00,MM02
MATERIAL,000000000010000216,0001000082,VZIINV02,2026-08-23T00:00:00,07:47:00,MM02
MATERIAL,000000000010000217,0001000083,VZIINV01,2026-05-24T00:00:00,16:15:00,MM02
MATERIAL,000000000010000228,0001000084,VZIINV01,2026-07-09T00:00:00,17:43:00,MM02
MATERIAL,000000000010000235,0001000085,VZIINV01,2026-08-10T00:00:00,13:44:00,MM02
MATERIAL,000000000010000244,0001000086,VZIINV02,2026-09-03T00:00:00,09:55:00,MM02
MATERIAL,000000000010000245,0001000087,VZIINV02,2026-07-07T00:00:00,09:55:00,MM02
MATERIAL,000000000080000059,0001000088,VZIINV01,2026-09-07T00:00:00,07:54:00,MM02
MATERIAL,000000000010000251,0001000089,VZIINV01,2026-07-08T00:00:00,09:10:00,MM02
MATERIAL,000000000010000254,0001000090,VZIINV02,2026-08-23T00:00:00,13:19:00,MM02
MATERIAL,000000000010000256,0001000091,VZIINV01,2026-05-29T00:00:00,12:45:00,MM02
MATERIAL,000000000010000263,0001000092,VZIINV01,2026-05-26T00:00:00,09:54:00,MM02
MATERIAL,000000000010000265,0001000093,VZIINV01,2026-07-10T00:00:00,11:41:00,MM02
MATERIAL,000000000010000268,0001000094,VZIINV01,2026-08-26T00:00:00,13:29:00,MM02
MATERIAL,000000000010000269,0001000095,VZIINV01,2026-06-24T00:00:00,13:28:00,MM02
MATERIAL,000000000080000065,0001000096,VZIINV01,2026-06-10T00:00:00,09:18:00,MM02
MATERIAL,000000000010000275,0001000097,VZIINV02,2026-09-04T00:00:00,14:20:00,MM02
MATERIAL,000000000030000060,0001000098,VZIINV02,2026-07-15T00:00:00,13:21:00,MM02
MATERIAL,000000000080000066,0001000099,VZIINV01,2026-08-25T00:00:00,15:02:00,MM02
MATERIAL,000000000010000276,0001000100,VZIINV02,2026-06-10T00:00:00,15:40:00,MM02
MATERIAL,000000000010000284,0001000101,VZIINV02,2026-07-01T00:00:00,14:45:00,MM02
MATERIAL,000000000080000069,0001000102,VZIINV02,2026-08-07T00:00:00,13:34:00,MM02
MATERIAL,000000000080000069,0001000103,VZIINV01,2026-07-20T00:00:00,12:31:00,MM02
MATERIAL,000000000010000287,0001000104,VZIINV01,2026-09-07T00:00:00,16:18:00,MM02
MATERIAL,000000000010000288,0001000105,VZIINV01,2026-07-03T00:00:00,14:35:00,MM02
MATERIAL,000000000010000288,0001000106,VZIINV01,2026-06-18T00:00:00,17:32:00,MM02
MATERIAL,000000000010000289,0001000107,VZIINV01,2026-07-20T00:00:00,12:37:00,MM02
MATERIAL,000000000010000290,0001000108,VZIINV01,2026-07-24T00:00:00,12:24:00,MM02
MATERIAL,000000000080000072,0001000109,VZIINV02,2026-06-05T00:00:00,12:48:00,MM02
MATERIAL,000000000010000295,0001000110,VZIINV01,2026-06-16T00:00:00,12:15:00,MM02
MATERIAL,000000000010000296,0001000111,VZIINV02,2026-06-22T00:00:00,10:27:00,MM02
MATERIAL,000000000010000296,0001000112,VZIINV01,2026-07-14T00:00:00,17:21:00,MM02
MATERIAL,000000000010000297,0001000113,VZIINV02,2026-06-05T00:00:00,11:36:00,MM02
MATERIAL,000000000010000298,0001000114,VZIINV01,2026-08-07T00:00:00,15:01:00,MM02
MATERIAL,000000000010000302,0001000115,VZIINV02,2026-09-01T00:00:00,09:59:00,MM02
MATERIAL,000000000080000074,0001000116,VZIINV02,2026-07-13T00:00:00,16:24:00,MM02
MATERIAL,000000000010000306,0001000117,VZIINV01,2026-07-26T00:00:00,12:24:00,MM02
MATERIAL,000000000010000309,0001000118,VZIINV01,2026-09-07T00:00:00,13:05:00,MM02
MATERIAL,000000000010000311,0001000119,VZIINV01,2026-07-22T00:00:00,08:02:00,MM02
MATERIAL,000000000010000313,0001000120,VZIINV02,2026-08-27T00:00:00,13:11:00,MM02
MATERIAL,000000000010000315,0001000121,VZIINV01,2026-09-06T00:00:00,09:57:00,MM02
MATERIAL,000000000010000316,0001000122,VZIINV02,2026-06-13T00:00:00,12:50:00,MM02
MATERIAL,000000000010000316,0001000123,VZIINV02,2026-07-09T00:00:00,17:01:00,MM02
MATERIAL,000000000010000318,0001000124,VZIINV01,2026-08-04T00:00:00,08:47:00,MM02
MATERIAL,000000000010000319,0001000125,VZIINV02,2026-09-07T00:00:00,07:53:00,MM02
MATERIAL,000000000010000320,0001000126,VZIINV01,2026-08-01T00:00:00,10:17:00,MM02
MATERIAL,000000000010000322,0001000127,VZIINV01,2026-06-25T00:00:00,12:20:00,MM02
MATERIAL,000000000010000325,0001000128,VZIINV02,2026-05-31T00:00:00,17:05:00,MM02
MATERIAL,000000000010000334,0001000129,VZIINV02,2026-07-26T00:00:00,08:32:00,MM02
MATERIAL,000000000010000336,0001000130,VZIINV01,2026-07-21T00:00:00,11:08:00,MM02
MATERIAL,000000000010000343,0001000131,VZIINV01,2026-05-13T00:00:00,10:19:00,MM02
MATERIAL,000000000010000344,0001000132,VZIINV01,2026-08-08T00:00:00,11:39:00,MM02
MATERIAL,000000000010000352,0001000133,VZIINV02,2026-07-14T00:00:00,11:52:00,MM02
MATERIAL,000000000010000354,0001000134,VZIINV01,2026-07-06T00:00:00,15:07:00,MM02
MATERIAL,000000000010000355,0001000135,VZIINV01,2026-09-01T00:00:00,11:45:00,MM02
MATERIAL,000000000080000084,0001000136,VZIINV01,2026-06-05T00:00:00,08:05:00,MM02
MATERIAL,000000000010000359,0001000137,VZIINV02,2026-06-15T00:00:00,07:34:00,MM02
MATERIAL,000000000010000362,0001000138,VZIINV01,2026-06-07T00:00:00,07:49:00,MM02
MATERIAL,000000000010000364,0001000139,VZIINV02,2026-08-04T00:00:00,16:22:00,MM02
MATERIAL,000000000080000085,0001000140,VZIINV01,2026-07-16T00:00:00,09:38:00,MM02
MATERIAL,000000000010000370,0001000141,VZIINV02,2026-09-02T00:00:00,10:00:00,MM02
MATERIAL,000000000010000371,0001000142,VZIINV02,2026-07-15T00:00:00,12:07:00,MM02
MATERIAL,000000000080000088,0001000143,VZIINV01,2026-08-24T00:00:00,08:00:00,MM02
MATERIAL,000000000010000374,0001000144,VZIINV01,2026-07-15T00:00:00,13:13:00,MM02
MATERIAL,000000000010000376,0001000145,VZIINV01,2026-05-18T00:00:00,09:50:00,MM02
MATERIAL,000000000010000378,0001000146,VZIINV01,2026-08-12T00:00:00,12:29:00,MM02
MATERIAL,000000000010000380,0001000147,VZIINV01,2026-06-24T00:00:00,08:42:00,MM02
MATERIAL,000000000010000381,0001000148,VZIINV01,2026-05-20T00:00:00,15:03:00,MM02
MATERIAL,000000000010000382,0001000149,VZIINV01,2026-06-03T00:00:00,07:16:00,MM02
MATERIAL,000000000080000089,0001000150,VZIINV01,2026-08-28T00:00:00,17:18:00,MM02
MATERIAL,000000000080000091,0001000151,VZIINV01,2026-05-29T00:00:00,14:20:00,MM02
MATERIAL,000000000010000393,0001000152,VZIINV02,2026-08-29T00:00:00,16:02:00,MM02
MATERIAL,000000000010000394,0001000153,VZIINV02,2026-08-05T00:00:00,13:56:00,MM02
MATERIAL,000000000010000395,0001000154,VZIINV02,2026-07-21T00:00:00,13:17:00,MM02
MATERIAL,000000000080000093,0001000155,VZIINV01,2026-06-24T00:00:00,17:35:00,MM02
MATERIAL,000000000010000402,0001000156,VZIINV02,2026-06-18T00:00:00,10:33:00,MM02
MATERIAL,000000000080000094,0001000157,VZIINV01,2026-06-25T00:00:00,16:05:00,MM02
MATERIAL,000000000080000095,0001000158,VZIINV01,2026-06-07T00:00:00,13:31:00,MM02
MATERIAL,000000000080000096,0001000159,VZIINV02,2026-08-06T00:00:00,14:39:00,MM02
MATERIAL,000000000010000409,0001000160,VZIINV02,2026-09-05T00:00:00,12:17:00,MM02
MATERIAL,000000000010000410,0001000161,VZIINV02,2026-05-29T00:00:00,10:47:00,MM02
MATERIAL,000000000080000099,0001000162,VZIINV01,2026-07-12T00:00:00,13:39:00,MM02
MATERIAL,000000000010000421,0001000163,VZIINV02,2026-07-24T00:00:00,11:48:00,MM02
MATERIAL,000000000080000100,0001000164,VZIINV02,2026-09-04T00:00:00,10:54:00,MM02
MATERIAL,000000000010000429,0001000165,VZIINV01,2026-09-07T00:00:00,14:23:00,MM02
MATERIAL,000000000030000096,0001000166,VZIINV01,2026-08-03T00:00:00,14:14:00,MM02
MATERIAL,000000000010000430,0001000167,VZIINV02,2026-06-11T00:00:00,15:56:00,MM02
MATERIAL,000000000010000433,0001000168,VZIINV01,2026-08-19T00:00:00,14:43:00,MM02
MATERIAL,000000000010000435,0001000169,VZIINV02,2026-09-07T00:00:00,11:29:00,MM02
MATERIAL,000000000010000436,0001000170,VZIINV02,2026-08-06T00:00:00,12:47:00,MM02
MATERIAL,000000000010000441,0001000171,VZIINV01,2026-06-26T00:00:00,10:27:00,MM02
MATERIAL,000000000080000102,0001000172,VZIINV01,2026-08-25T00:00:00,08:35:00,MM02
MATERIAL,000000000080000105,0001000173,VZIINV02,2026-07-10T00:00:00,16:16:00,MM02
MATERIAL,000000000010000449,0001000174,VZIINV02,2026-07-14T00:00:00,13:56:00,MM02
MATERIAL,000000000010000450,0001000175,VZIINV01,2026-08-25T00:00:00,15:56:00,MM02
MATERIAL,000000000010000454,0001000176,VZIINV02,2026-08-28T00:00:00,12:22:00,MM02
MATERIAL,000000000010000456,0001000177,VZIINV02,2026-07-16T00:00:00,15:59:00,MM02
MATERIAL,000000000010000458,0001000178,VZIINV02,2026-07-21T00:00:00,16:51:00,MM02
MATERIAL,000000000010000462,0001000179,VZIINV01,2026-06-13T00:00:00,10:59:00,MM02
