Objectclas,Objectid,Changenr,Tabname,Tabkey,Fname,Chngind,Value_new,Value_old
MATERIAL,000000000010000000,0001000000,MARC,0000000000100000002000,MINBE,U,65.900,49.407
MATERIAL,000000000010000000,0001000000,MARC,0000000000100000002000,MABST,U,154.200,264.458
MATERIAL,000000000010000001,0001000001,MARC,0000000000100000012000,MINBE,U,73.500,98.127
MATERIAL,000000000010000001,0001000001,MARC,0000000000100000012000,MABST,U,163.500,214.199
MATERIAL,000000000030000001,0001000002,MARC,0000000000300000012000,MINBE,U,4.000,0.000
MATERIAL,000000000030000001,0001000002,MARC,0000000000300000012000,MABST,U,7.500,0.000
MATERIAL,000000000010000005,0001000003,MARC,0000000000100000051000,MINBE,U,4.200,7.095
MATERIAL,000000000010000005,0001000003,MARC,0000000000100000051000,MABST,U,7.000,7.095
MATERIAL,000000000080000002,0001000004,MARC,0000000000800000022000,MINBE,U,5.500,3.953
MATERIAL,000000000080000002,0001000004,MARC,0000000000800000022000,MABST,U,13.400,19.344
MATERIAL,000000000010000008,0001000005,MARC,0000000000100000084000,MINBE,U,49.100,78.667
MATERIAL,000000000010000008,0001000005,MARC,0000000000100000084000,MABST,U,129.000,110.821
MATERIAL,000000000010000012,0001000006,MARC,0000000000100000123000,MINBE,U,5.600,10.010
MATERIAL,000000000010000012,0001000006,MARC,0000000000100000123000,MABST,U,8.300,10.010
MATERIAL,000000000010000014,0001000007,MARC,0000000000100000143000,MINBE,U,7.600,8.009
MATERIAL,000000000010000014,0001000007,MARC,0000000000100000143000,MABST,U,15.000,15.179
MATERIAL,000000000080000003,0001000008,MARC,0000000000800000031000,MINBE,U,18.400,10.224
MATERIAL,000000000080000003,0001000008,MARC,0000000000800000031000,MABST,U,24.300,41.188
MATERIAL,000000000010000015,0001000009,MARC,0000000000100000151000,MINBE,U,4.300,5.034
MATERIAL,000000000010000015,0001000009,MARC,0000000000100000151000,MABST,U,6.200,6.081
MATERIAL,000000000010000018,0001000010,MARC,0000000000100000183000,MINBE,U,18.100,20.711
MATERIAL,000000000010000018,0001000010,MARC,0000000000100000183000,MABST,U,25.500,37.670
MATERIAL,000000000010000019,0001000011,MARC,0000000000100000191000,MINBE,U,46.500,49.843
MATERIAL,000000000010000019,0001000011,MARC,0000000000100000191000,MABST,U,131.800,173.463
MATERIAL,000000000010000023,0001000012,MARC,0000000000100000233000,MINBE,U,5.800,8.166
MATERIAL,000000000010000023,0001000012,MARC,0000000000100000233000,MABST,U,7.400,8.166
MATERIAL,000000000010000024,0001000013,MARC,0000000000100000241000,MINBE,U,7.000,8.337
MATERIAL,000000000010000024,0001000013,MARC,0000000000100000241000,MABST,U,8.900,8.337
MATERIAL,000000000080000008,0001000014,MARC,0000000000800000082000,MINBE,U,12.400,15.944
MATERIAL,000000000080000008,0001000014,MARC,0000000000800000082000,MABST,U,15.200,15.944
MATERIAL,000000000010000032,0001000015,MARC,0000000000100000323000,MINBE,U,2.200,1.330
MATERIAL,000000000010000032,0001000015,MARC,0000000000100000323000,MABST,U,5.800,5.889
MATERIAL,000000000010000037,0001000016,MARC,0000000000100000373000,MINBE,U,57.700,78.030
MATERIAL,000000000010000037,0001000016,MARC,0000000000100000373000,MABST,U,126.000,143.783
MATERIAL,000000000080000012,0001000017,MARC,0000000000800000123000,MINBE,U,2.100,1.374
MATERIAL,000000000080000012,0001000017,MARC,0000000000800000123000,MABST,U,4.100,6.826
MATERIAL,000000000010000038,0001000018,MARC,0000000000100000384000,MINBE,U,5.200,8.875
MATERIAL,000000000010000038,0001000018,MARC,0000000000100000384000,MABST,U,8.800,8.875
MATERIAL,000000000010000042,0001000019,MARC,0000000000100000424000,MINBE,U,48.500,69.992
MATERIAL,000000000010000042,0001000019,MARC,0000000000100000424000,MABST,U,87.800,69.992
MATERIAL,000000000030000004,0001000020,MARC,0000000000300000044000,MINBE,U,11.500,0.000
MATERIAL,000000000030000004,0001000020,MARC,0000000000300000044000,MABST,U,16.800,0.000
MATERIAL,000000000080000014,0001000021,MARC,0000000000800000143000,MINBE,U,1.900,1.889
MATERIAL,000000000080000014,0001000021,MARC,0000000000800000143000,MABST,U,4.700,3.273
MATERIAL,000000000030000007,0001000022,MARC,0000000000300000072000,MINBE,U,6.500,0.000
MATERIAL,000000000030000007,0001000022,MARC,0000000000300000072000,MABST,U,8.900,0.000
MATERIAL,000000000010000050,0001000023,MARC,0000000000100000504000,MINBE,U,8.500,3.781
MATERIAL,000000000010000050,0001000023,MARC,0000000000100000504000,MABST,U,11.900,14.283
MATERIAL,000000000080000017,0001000024,MARC,0000000000800000172000,MINBE,U,5.800,9.493
MATERIAL,000000000080000017,0001000024,MARC,0000000000800000172000,MABST,U,8.600,10.457
MATERIAL,000000000010000051,0001000025,MARC,0000000000100000514000,MINBE,U,7.000,4.888
MATERIAL,000000000010000051,0001000025,MARC,0000000000100000514000,MABST,U,9.100,11.396
MATERIAL,000000000080000018,0001000026,MARC,0000000000800000182000,MINBE,U,3.000,4.722
MATERIAL,000000000080000018,0001000026,MARC,0000000000800000182000,MABST,U,3.400,4.722
MATERIAL,000000000010000055,0001000027,MARC,0000000000100000552000,MINBE,U,3.100,5.507
MATERIAL,000000000010000055,0001000027,MARC,0000000000100000552000,MABST,U,7.100,9.402
MATERIAL,000000000010000055,0001000028,MARC,0000000000100000551000,MINBE,U,2.400,3.986
MATERIAL,000000000010000055,0001000028,MARC,0000000000100000551000,MABST,U,5.800,6.088
MATERIAL,000000000010000058,0001000029,MARC,0000000000100000581000,MINBE,U,4.400,6.040
MATERIAL,000000000010000058,0001000029,MARC,0000000000100000581000,MABST,U,6.000,8.268
MATERIAL,000000000010000068,0001000030,MARC,0000000000100000683000,MINBE,U,11.100,8.745
MATERIAL,000000000010000068,0001000030,MARC,0000000000100000683000,MABST,U,16.000,13.077
