Mblnr,Mjahr,Zeile,Bwart,Matnr,Werks,Lgort,Lifnr,Shkzg,Dmbtr,Menge,Meins,Ebeln,Ebelp,Sgtxt,Wempf,Kostl,Aufnr,Rsnum,Rspos,Umwrk,Umlgo,Grund,BudatMkpf,CpudtMkpf
4900000000,2024,0001,201,000000000010000000,2000,SP02,,H,1661793.90,30.000,EA,,,CHANGEOUT ML-201,VZIREQ01,2000-MECH,,,,,,,2024-09-28T00:00:00,2024-09-28T00:00:00
4900000001,2024,0001,261,000000000010000000,2000,SP02,,H,1827973.29,33.000,EA,,,CHANGEOUT ML-202,VZIREQ02,,424417490,,,,,,2024-10-18T00:00:00,2024-10-18T00:00:00
4900000002,2024,0001,261,000000000010000000,2000,SP02,,H,2104938.94,38.000,EA,,,BREAKDOWN REPL CV-502,VZIREQ05,,423712135,,,,,,2024-11-08T00:00:00,2024-11-08T00:00:00
4900000003,2024,0001,201,000000000010000000,2000,SP02,,H,332358.78,6.000,EA,,,BREAKDOWN REPL CR-101,VZIREQ05,2000-MECH,,,,,,,2024-12-24T00:00:00,2024-12-24T00:00:00
4900000004,2024,0001,101,000000000010000000,2000,SP02,0001000005,S,12186488.60,220.000,EA,4500000000,00010,GR AGAINST PO,,,,,,,,,2024-12-25T00:00:00,2024-12-25T00:00:00
4900000005,2025,0001,261,000000000010000000,2000,SP02,,H,941683.21,17.000,EA,,,ISSUED TO SC-701,VZIREQ01,,421115809,,,,,,2025-01-01T00:00:00,2025-01-01T00:00:00
4900000006,2025,0001,261,000000000010000000,2000,SP02,,H,1772580.16,32.000,EA,,,BREAKDOWN REPL PU-611,VZIREQ05,,421675599,,,,,,2025-02-08T00:00:00,2025-02-08T00:00:00
4900000007,2025,0001,261,000000000010000000,2000,SP02,,H,1717187.03,31.000,EA,,,CHANGEOUT CR-101,VZIREQ01,,421368018,,,,,,2025-03-03T00:00:00,2025-03-03T00:00:00
4900000008,2025,0001,261,000000000010000000,2000,SP02,,H,1384828.25,25.000,EA,,,ISSUED TO CV-501,VZIREQ02,,425164586,,,,,,2025-04-10T00:00:00,2025-04-10T00:00:00
4900000009,2025,0001,261,000000000010000000,2000,SP02,,H,1994152.68,36.000,EA,,,CHANGEOUT CV-502,VZIREQ03,,422954899,,,,,,2025-05-09T00:00:00,2025-05-09T00:00:00
4900000010,2025,0001,261,000000000010000000,2000,SP02,,H,1883366.42,34.000,EA,,,CHANGEOUT TH-401,VZIREQ04,,423007418,,,,,,2025-06-11T00:00:00,2025-06-11T00:00:00
4900000011,2025,0001,261,000000000010000000,2000,SP02,,H,1218648.86,22.000,EA,,,BREAKDOWN REPL ML-201,VZIREQ04,,421284546,,,,,,2025-07-05T00:00:00,2025-07-05T00:00:00
4900000012,2025,0001,201,000000000010000000,2000,SP02,,H,1274041.99,23.000,EA,,,ISSUED TO TH-401,VZIREQ01,2000-MECH,,,,,,,2025-08-06T00:00:00,2025-08-06T00:00:00
4900000013,2025,0001,101,000000000010000000,2000,SP02,0001000005,S,12131095.47,219.000,EA,4500000001,00010,GR AGAINST PO,,,,,,,,,2025-08-07T00:00:00,2025-08-07T00:00:00
4900000014,2025,0001,201,000000000010000000,2000,SP02,,H,1551007.64,28.000,EA,,,CHANGEOUT FL-310,VZIREQ02,2000-MECH,,,,,,,2025-09-22T00:00:00,2025-09-22T00:00:00
4900000015,2025,0001,261,000000000010000000,2000,SP02,,H,1052469.47,19.000,EA,,,BREAKDOWN REPL ML-202,VZIREQ04,,422732830,,,,,,2025-10-05T00:00:00,2025-10-05T00:00:00
4900000016,2025,0001,201,000000000010000000,2000,SP02,,H,1827973.29,33.000,EA,,,BREAKDOWN REPL CR-102,VZIREQ03,2000-MECH,,,,,,,2025-11-09T00:00:00,2025-11-09T00:00:00
4900000017,2025,0001,261,000000000010000000,2000,SP02,,H,1606400.77,29.000,EA,,,ISSUED TO CR-102,VZIREQ01,,423906942,,,,,,2025-12-08T00:00:00,2025-12-08T00:00:00
4900000018,2026,0001,261,000000000010000000,2000,SP02,,H,1329435.12,24.000,EA,,,CHANGEOUT CR-101,VZIREQ05,,423738208,,,,,,2026-01-25T00:00:00,2026-01-25T00:00:00
