Infnr,Ekorg,Esokz,Werks,Loekz,Waers,Aplfz,Netpr,Peinh,Effpr
5300000000,Z100,0,2000,false,ZAR,58.000,56544.78,1.000,58241.12
5300000001,Z100,0,2000,false,ZAR,61.000,464159.32,1.000,478084.10
5300000002,Z100,0,2000,false,ZAR,32.000,131796.09,1.000,135749.97
5300000003,Z100,0,4000,false,ZAR,10.000,263624.72,1.000,271533.46
5300000004,Z100,0,3000,false,ZAR,28.000,77766.45,1.000,80099.44
5300000005,Z100,0,4000,false,ZAR,83.000,139088.65,1.000,143261.31
5300000006,Z100,0,1000,false,ZAR,121.000,385101.31,1.000,396654.35
5300000007,Z100,0,2000,false,ZAR,14.000,454029.88,1.000,467650.78
5300000008,Z100,0,3000,false,ZAR,9.000,141609.25,1.000,145857.53
5300000009,Z100,0,3000,false,ZAR,50.000,396385.09,1.000,408276.64
5300000010,Z100,0,3000,false,ZAR,57.000,110849.00,1.000,114174.47
5300000011,Z100,0,3000,false,ZAR,18.000,42769.30,1.000,44052.38
5300000012,Z100,0,1000,false,ZAR,22.000,17831.56,1.000,18366.51
5300000013,Z100,0,1000,false,ZAR,77.000,5235.68,1.000,5392.75
5300000014,Z100,0,3000,false,ZAR,63.000,282691.82,1.000,291172.57
5300000015,Z100,0,4000,false,ZAR,96.000,559030.77,1.000,575801.69
5300000016,Z100,0,4000,false,ZAR,118.000,107711.92,1.000,110943.28
5300000017,Z100,0,1000,false,ZAR,35.000,91994.29,1.000,94754.12
5300000018,Z100,0,2000,false,ZAR,116.000,90154.69,1.000,92859.33
5300000019,Z100,0,1000,false,ZAR,232.000,144352.21,1.000,148682.78
5300000020,Z100,0,2000,false,ZAR,123.000,47987.62,1.000,49427.25
5300000021,Z100,0,2000,false,ZAR,28.000,131796.25,1.000,135750.14
5300000022,Z100,0,1000,false,ZAR,127.000,119634.43,1.000,123223.46
5300000023,Z100,0,3000,false,ZAR,108.000,425542.67,1.000,438308.95
5300000024,Z100,0,1000,false,ZAR,111.000,202920.12,1.000,209007.72
5300000025,Z100,0,4000,false,ZAR,8.000,135879.66,1.000,139956.05
5300000026,Z100,0,4000,false,ZAR,17.000,132072.92,1.000,136035.11
5300000027,Z100,0,3000,false,ZAR,119.000,177395.04,1.000,182716.89
5300000028,Z100,0,3000,false,ZAR,42.000,17955.64,1.000,18494.31
5300000029,Z100,0,1000,false,ZAR,105.000,5482.10,1.000,5646.56
5300000030,Z100,0,3000,false,ZAR,133.000,111794.85,1.000,115148.70
5300000031,Z100,0,4000,false,ZAR,62.000,157789.09,1.000,162522.76
5300000032,Z100,0,1000,false,ZAR,59.000,30170.17,1.000,31075.28
5300000033,Z100,0,3000,false,ZAR,23.000,339077.25,1.000,349249.57
5300000034,Z100,0,1000,false,ZAR,92.000,85223.91,1.000,87780.63
5300000035,Z100,0,2000,false,ZAR,28.000,53009.42,1.000,54599.70
5300000036,Z100,0,1000,false,ZAR,110.000,296660.71,1.000,305560.53
5300000037,Z100,0,4000,false,ZAR,93.000,67813.12,1.000,69847.51
5300000038,Z100,0,4000,false,ZAR,47.000,41968.04,1.000,43227.08
5300000039,Z100,0,4000,false,ZAR,55.000,59223.59,1.000,61000.30
5300000040,Z100,0,4000,false,ZAR,57.000,16400.60,1.000,16892.62
5300000041,Z100,0,2000,false,ZAR,120.000,397166.85,1.000,409081.86
5300000042,Z100,0,1000,false,ZAR,92.000,53146.09,1.000,54740.47
5300000043,Z100,0,3000,false,ZAR,40.000,292098.07,1.000,300861.01
5300000044,Z100,0,3000,false,ZAR,31.000,168879.99,1.000,173946.39
5300000045,Z100,0,3000,false,ZAR,39.000,169225.18,1.000,174301.94
5300000046,Z100,0,1000,false,ZAR,42.000,317449.73,1.000,326973.22
5300000047,Z100,0,1000,false,ZAR,32.000,54648.23,1.000,56287.68
5300000048,Z100,0,1000,false,ZAR,50.000,390243.13,1.000,401950.42
5300000049,Z100,0,4000,false,ZAR,16.000,111586.64,1.000,114934.24
5300000050,Z100,0,1000,false,ZAR,99.000,123357.61,1.000,127058.34
5300000051,Z100,0,3000,false,ZAR,36.000,157933.08,1.000,162671.07
5300000052,Z100,0,1000,false,ZAR,28.000,164378.41,1.000,169309.76
5300000053,Z100,0,3000,false,ZAR,105.000,318450.11,1.000,328003.61
5300000054,Z100,0,3000,false,ZAR,42.000,159329.47,1.000,164109.35
5300000055,Z100,0,3000,false,ZAR,8.000,120694.71,1.000,124315.55
5300000056,Z100,0,4000,false,ZAR,141.000,104102.32,1.000,107225.39
5300000057,Z100,0,4000,false,ZAR,121.000,332071.05,1.000,342033.18
5300000058,Z100,0,2000,false,ZAR,11.000,136606.74,1.000,140704.94
5300000059,Z100,0,3000,false,ZAR,55.000,164339.10,1.000,169269.27
5300000060,Z100,0,3000,false,ZAR,51.000,15420.94,1.000,15883.57
5300000061,Z100,0,4000,false,ZAR,10.000,438487.20,1.000,451641.82
