Infnr,Matnr,Lifnr,Loekz
5300000000,000000000010000000,0001000005,false
5300000001,000000000010000001,0001000007,false
5300000002,000000000030000001,0001000017,false
5300000003,000000000080000001,0001000048,false
5300000004,000000000010000006,0001000057,false
5300000005,000000000010000010,0001000027,false
5300000006,000000000080000003,0001000048,false
5300000007,000000000080000005,0001000028,false
5300000008,000000000080000006,0001000028,false
5300000009,000000000080000007,0001000008,false
5300000010,000000000080000009,0001000032,false
5300000011,000000000010000032,0001000003,false
5300000012,000000000010000035,0001000047,false
5300000013,000000000010000036,0001000038,false
5300000014,000000000010000037,0001000006,false
5300000015,000000000010000042,0001000037,false
5300000016,000000000010000043,0001000011,false
5300000017,000000000080000015,0001000052,false
5300000018,000000000030000007,0001000014,false
5300000019,000000000010000045,0001000010,false
5300000020,000000000080000018,0001000032,false
5300000021,000000000010000055,0001000038,false
5300000022,000000000010000058,0001000003,false
5300000023,000000000080000019,0001000000,false
5300000024,000000000080000020,0001000044,false
5300000025,000000000010000065,0001000042,false
5300000026,000000000010000069,0001000050,false
5300000027,000000000010000070,0001000018,false
5300000028,000000000010000075,0001000042,false
5300000029,000000000010000078,0001000049,false
5300000030,000000000010000079,0001000037,false
5300000031,000000000010000081,0001000046,false
5300000032,000000000010000082,0001000006,false
5300000033,000000000080000022,0001000024,false
5300000034,000000000010000087,0001000050,false
5300000035,000000000090000003,0001000023,false
5300000036,000000000030000016,0001000019,false
5300000037,000000000010000090,0001000019,false
5300000038,000000000010000091,0001000053,false
5300000039,000000000080000027,0001000036,false
5300000040,000000000010000092,0001000037,false
5300000041,000000000080000028,0001000028,false
5300000042,000000000010000096,0001000006,false
5300000043,000000000080000030,0001000032,false
5300000044,000000000030000019,0001000009,false
5300000045,000000000030000021,0001000033,false
5300000046,000000000010000104,0001000001,false
5300000047,000000000010000113,0001000042,false
5300000048,000000000080000034,0001000016,false
5300000049,000000000030000025,0001000009,false
5300000050,000000000010000118,0001000041,false
5300000051,000000000080000036,0001000028,false
5300000052,000000000010000120,0001000050,false
5300000053,000000000030000027,0001000033,false
5300000054,000000000010000124,0001000043,false
5300000055,000000000010000129,0001000053,false
5300000056,000000000010000131,0001000007,false
5300000057,000000000080000038,0001000000,false
5300000058,000000000010000135,0001000009,false
5300000059,000000000010000136,0001000035,false
5300000060,000000000010000139,0001000033,false
5300000061,000000000080000039,0001000056,false
5300000062,000000000010000143,0001000029,false
5300000063,000000000010000145,0001000002,false
5300000064,000000000030000033,0001000059,false
5300000065,000000000010000146,0001000019,false
5300000066,000000000080000042,0001000032,false
5300000067,000000000010000149,0001000058,false
5300000068,000000000010000154,0001000007,false
5300000069,000000000010000156,0001000051,false
5300000070,000000000010000157,0001000003,false
5300000071,000000000010000158,0001000038,false
5300000072,000000000010000161,0001000009,false
5300000073,000000000090000009,0001000017,false
5300000074,000000000080000046,0001000016,false
5300000075,000000000010000164,0001000047,false
5300000076,000000000080000047,0001000004,false
5300000077,000000000010000172,0001000050,false
5300000078,000000000080000050,0001000036,false
5300000079,000000000080000051,0001000024,false
5300000080,000000000010000181,0001000019,false
5300000081,000000000030000039,0001000026,false
5300000082,000000000030000040,0001000029,false
5300000083,000000000010000192,0001000057,false
5300000084,000000000010000195,0001000002,false
5300000085,000000000010000197,0001000001,false
5300000086,000000000010000199,0001000023,false
5300000087,000000000030000043,0001000033,false
5300000088,000000000010000201,0001000031,false
5300000089,000000000010000204,0001000041,false
5300000090,000000000080000055,0001000004,false
5300000091,000000000010000211,0001000055,false
5300000092,000000000030000046,0001000023,false
5300000093,000000000010000214,0001000005,false
5300000094,000000000010000215,0001000013,false
5300000095,000000000010000216,0001000013,false
5300000096,000000000010000218,0001000026,false
5300000097,000000000010000219,0001000037,false
5300000098,000000000080000056,0001000008,false
5300000099,000000000010000226,0001000037,false
5300000100,000000000030000048,0001000018,false
5300000101,000000000010000229,0001000046,false
5300000102,000000000080000057,0001000012,false
5300000103,000000000010000231,0001000019,false
5300000104,000000000010000238,0001000022,false
5300000105,000000000010000239,0001000022,false
5300000106,000000000010000242,0001000023,false
5300000107,000000000010000243,0001000030,false
5300000108,000000000080000058,0001000016,false
5300000109,000000000010000244,0001000025,false
5300000110,000000000030000055,0001000023,false
5300000111,000000000090000012,0001000053,false
5300000112,000000000010000254,0001000041,false
5300000113,000000000090000013,0001000025,false
5300000114,000000000030000056,0001000045,false
5300000115,000000000010000256,0001000021,false
5300000116,000000000030000057,0001000002,false
5300000117,000000000010000257,0001000033,false
5300000118,000000000010000260,0001000025,false
5300000119,000000000030000059,0001000001,false
5300000120,000000000010000265,0001000031,false
5300000121,000000000010000271,0001000026,false
5300000122,000000000010000272,0001000018,false
5300000123,000000000030000060,0001000033,false
5300000124,000000000010000277,0001000050,false
5300000125,000000000010000283,0001000022,false
5300000126,000000000030000065,0001000035,false
5300000127,000000000010000286,0001000033,false
5300000128,000000000010000293,0001000043,false
5300000129,000000000080000073,0001000012,false
5300000130,000000000010000295,0001000014,false
5300000131,000000000010000296,0001000046,false
5300000132,000000000030000066,0001000011,false
5300000133,000000000010000298,0001000035,false
5300000134,000000000010000299,0001000010,false
5300000135,000000000010000300,0001000022,false
5300000136,000000000010000301,0001000017,false
5300000137,000000000010000302,0001000023,false
5300000138,000000000010000303,0001000010,false
5300000139,000000000010000304,0001000022,false
5300000140,000000000010000306,0001000031,false
5300000141,000000000080000076,0001000040,false
5300000142,000000000030000067,0001000045,false
5300000143,000000000010000308,0001000055,false
5300000144,000000000080000078,0001000056,false
5300000145,000000000030000070,0001000003,false
5300000146,000000000010000318,0001000054,false
5300000147,000000000010000320,0001000009,false
5300000148,000000000080000080,0001000000,false
5300000149,000000000010000322,0001000038,false
5300000150,000000000030000071,0001000019,false
5300000151,000000000030000072,0001000005,false
5300000152,000000000010000327,0001000027,false
5300000153,000000000010000332,0001000027,false
5300000154,000000000010000333,0001000025,false
5300000155,000000000010000336,0001000054,false
5300000156,000000000030000076,0001000037,false
5300000157,000000000090000018,0001000050,false
5300000158,000000000030000077,0001000019,false
5300000159,000000000010000342,0001000053,false
5300000160,000000000010000343,0001000025,false
5300000161,000000000010000344,0001000043,false
5300000162,000000000090000020,0001000046,false
5300000163,000000000010000353,0001000035,false
5300000164,000000000010000361,0001000015,false
5300000165,000000000010000365,0001000058,false
5300000166,000000000030000081,0001000006,false
5300000167,000000000010000369,0001000033,false
5300000168,000000000010000370,0001000011,false
5300000169,000000000030000082,0001000025,false
5300000170,000000000080000086,0001000008,false
5300000171,000000000010000373,0001000030,false
5300000172,000000000030000083,0001000022,false
5300000173,000000000030000084,0001000042,false
5300000174,000000000010000383,0001000043,false
5300000175,000000000010000384,0001000001,false
5300000176,000000000030000085,0001000027,false
5300000177,000000000080000089,0001000012,false
5300000178,000000000080000090,0001000016,false
5300000179,000000000030000086,0001000058,false
5300000180,000000000090000021,0001000045,false
5300000181,000000000030000088,0001000057,false
5300000182,000000000010000392,0001000009,false
5300000183,000000000010000394,0001000011,false
5300000184,000000000010000396,0001000001,false
5300000185,000000000090000022,0001000005,false
5300000186,000000000010000399,0001000057,false
5300000187,000000000010000403,0001000014,false
5300000188,000000000010000405,0001000025,false
5300000189,000000000010000407,0001000045,false
5300000190,000000000080000096,0001000016,false
5300000191,000000000080000097,0001000036,false
5300000192,000000000010000410,0001000051,false
5300000193,000000000010000411,0001000009,false
5300000194,000000000030000094,0001000017,false
5300000195,000000000010000414,0001000010,false
5300000196,000000000010000415,0001000006,false
5300000197,000000000010000416,0001000022,false
5300000198,000000000010000418,0001000005,false
5300000199,000000000010000425,0001000029,false
5300000200,000000000010000427,0001000049,false
5300000201,000000000010000428,0001000037,false
5300000202,000000000030000097,0001000021,false
5300000203,000000000010000432,0001000046,false
5300000204,000000000010000435,0001000014,false
5300000205,000000000010000440,0001000039,false
5300000206,000000000080000103,0001000020,false
5300000207,000000000030000101,0001000054,false
5300000208,000000000080000104,0001000020,false
5300000209,000000000010000443,0001000050,false
5300000210,000000000030000102,0001000015,false
5300000211,000000000010000444,0001000049,false
5300000212,000000000030000103,0001000023,false
5300000213,000000000010000445,0001000041,false
5300000214,000000000010000448,0001000054,false
5300000215,000000000010000452,0001000030,false
5300000216,000000000030000105,0001000001,false
5300000217,000000000010000460,0001000057,false
5300000218,000000000010000462,0001000055,false
5300000219,000000000010000464,0001000051,false
5300000220,000000000010000466,0001000006,false
5300000221,000000000010000468,0001000030,false
5300000222,000000000080000108,0001000048,false
5300000223,000000000080000111,0001000056,false
5300000224,000000000010000482,0001000003,false
5300000225,000000000010000486,0001000042,false
5300000226,000000000010000492,0001000005,false
5300000227,000000000080000112,0001000020,false
5300000228,000000000010000497,0001000050,false
5300000229,000000000010000498,0001000025,false
5300000230,000000000010000499,0001000007,false
5300000231,000000000010000500,0001000003,false
5300000232,000000000010000501,0001000030,false
5300000233,000000000010000507,0001000026,false
5300000234,000000000090000026,0001000058,false
5300000235,000000000010000512,0001000007,false
5300000236,000000000010000515,0001000042,false
5300000237,000000000080000114,0001000044,false
5300000238,000000000090000027,0001000022,false
5300000239,000000000010000519,0001000039,false
5300000240,000000000010000522,0001000043,false
5300000241,000000000030000115,0001000001,false
5300000242,000000000010000533,0001000031,false
5300000243,000000000010000535,0001000030,false
5300000244,000000000030000117,0001000015,false
5300000245,000000000080000117,0001000052,false
5300000246,000000000010000539,0001000054,false
5300000247,000000000030000121,0001000023,false
5300000248,000000000080000119,0001000040,false
5300000249,000000000010000544,0001000046,false
5300000250,000000000010000545,0001000026,false
5300000251,000000000030000122,0001000010,false
5300000252,000000000080000120,0001000004,false
5300000253,000000000010000548,0001000017,false
5300000254,000000000010000549,0001000018,false
5300000255,000000000010000557,0001000059,false
5300000256,000000000010000561,0001000026,false
5300000257,000000000030000128,0001000015,false
5300000258,000000000010000566,0001000010,false
5300000259,000000000010000569,0001000011,false
5300000260,000000000010000571,0001000009,false
5300000261,000000000010000574,0001000053,false
5300000262,000000000030000132,0001000047,false
5300000263,000000000010000575,0001000005,false
5300000264,000000000030000133,0001000046,false
5300000265,000000000080000129,0001000008,false
5300000266,000000000010000582,0001000003,false
5300000267,000000000010000587,0001000018,false
5300000268,000000000080000131,0001000032,false
5300000269,000000000090000032,0001000045,false
5300000270,000000000010000593,0001000043,false
5300000271,000000000030000134,0001000007,false
5300000272,000000000030000135,0001000002,false
5300000273,000000000010000594,0001000027,false
5300000274,000000000010000596,0001000042,false
5300000275,000000000010000597,0001000037,false
