Mblnr,Mjahr,Budat,Cpudt,Xblnr
4900000000,2024,2024-09-28T00:00:00,2024-09-28T00:00:00,
4900000001,2024,2024-10-18T00:00:00,2024-10-18T00:00:00,
4900000002,2024,2024-11-08T00:00:00,2024-11-08T00:00:00,
4900000003,2024,2024-12-24T00:00:00,2024-12-24T00:00:00,
4900000004,2024,2024-12-25T00:00:00,2024-12-25T00:00:00,4500000000
4900000005,2025,2025-01-01T00:00:00,2025-01-01T00:00:00,
4900000006,2025,2025-02-08T00:00:00,2025-02-08T00:00:00,
4900000007,2025,2025-03-03T00:00:00,2025-03-03T00:00:00,
4900000008,2025,2025-04-10T00:00:00,2025-04-10T00:00:00,
4900000009,2025,2025-05-09T00:00:00,2025-05-09T00:00:00,
4900000010,2025,2025-06-11T00:00:00,2025-06-11T00:00:00,
4900000011,2025,2025-07-05T00:00:00,2025-07-05T00:00:00,
4900000012,2025,2025-08-06T00:00:00,2025-08-06T00:00:00,
4900000013,2025,2025-08-07T00:00:00,2025-08-07T00:00:00,4500000001
4900000014,2025,2025-09-22T00:00:00,2025-09-22T00:00:00,
4900000015,2025,2025-10-05T00:00:00,2025-10-05T00:00:00,
4900000016,2025,2025-11-09T00:00:00,2025-11-09T00:00:00,
4900000017,2025,2025-12-08T00:00:00,2025-12-08T00:00:00,
4900000018,2026,2026-01-25T00:00:00,2026-01-25T00:00:00,
4900000019,2026,2026-02-21T00:00:00,2026-02-21T00:00:00,
4900000020,2026,2026-03-09T00:00:00,2026-03-09T00:00:00,
4900000021,2026,2026-04-05T00:00:00,2026-04-05T00:00:00,
4900000022,2026,2026-05-12T00:00:00,2026-05-12T00:00:00,4500000002
4900000023,2026,2026-06-23T00:00:00,2026-06-23T00:00:00,
4900000024,2026,2026-07-08T00:00:00,2026-07-08T00:00:00,
4900000025,2026,2026-08-26T00:00:00,2026-08-26T00:00:00,
4900000026,2024,2024-09-12T00:00:00,2024-09-12T00:00:00,
4900000027,2024,2024-10-05T00:00:00,2024-10-05T00:00:00,
4900000028,2024,2024-11-24T00:00:00,2024-11-24T00:00:00,
4900000029,2024,2024-12-07T00:00:00,2024-12-07T00:00:00,4500000004
4900000030,2024,2024-12-18T00:00:00,2024-12-18T00:00:00,
4900000031,2025,2025-01-20T00:00:00,2025-01-20T00:00:00,
4900000032,2025,2025-02-20T00:00:00,2025-02-20T00:00:00,
4900000033,2025,2025-03-19T00:00:00,2025-03-19T00:00:00,
4900000034,2025,2025-04-24T00:00:00,2025-04-24T00:00:00,
4900000035,2025,2025-04-25T00:00:00,2025-04-25T00:00:00,4500000005
4900000036,2025,2025-05-22T00:00:00,2025-05-22T00:00:00,
4900000037,2025,2025-06-29T00:00:00,2025-06-29T00:00:00,
4900000038,2025,2025-07-30T00:00:00,2025-07-30T00:00:00,
4900000039,2025,2025-08-03T00:00:00,2025-08-03T00:00:00,
4900000040,2025,2025-09-20T00:00:00,2025-09-20T00:00:00,4500000006
4900000041,2025,2025-09-21T00:00:00,2025-09-21T00:00:00,
