Matnr,Werks,Lvorm,Dismm,Dispo,Plifz,Webaz,Minbe,Eisbe,Bstmi,Bstma,Mabst
000000000010000000,2000,false,VB,009,58.000,0.000,49.407,7.381,29.417,176.500,264.458
000000000010000000,4000,false,PD,009,58.000,1.000,116.441,22.068,40.667,244.000,272.698
000000000010000001,2000,false,PD,003,61.000,0.000,98.127,17.862,30.000,180.000,214.199
000000000030000000,1000,false,PD,003,52.000,1.000,0.000,0.000,1.000,3.000,0.000
000000000080000000,1000,false,VB,006,58.000,0.000,13.046,5.711,2.875,17.250,20.218
000000000030000001,2000,false,PD,004,32.000,0.000,0.000,0.000,1.167,7.000,0.000
000000000080000001,4000,false,PD,001,10.000,2.000,1.433,1.075,1.000,4.750,5.613
000000000030000002,2000,false,PD,008,34.000,2.000,0.000,0.000,2.167,13.000,0.000
000000000010000002,2000,false,PD,008,13.000,3.000,1.969,1.552,1.000,3.750,2.493
000000000010000003,2000,false,VB,008,29.000,0.000,0.000,0.000,1.000,1.000,0.000
000000000010000004,4000,false,PD,008,49.000,2.000,53.574,9.894,16.792,100.750,103.575
000000000010000005,3000,false,PD,007,59.000,1.000,8.173,4.653,1.208,7.250,12.576
000000000010000005,1000,false,VB,008,59.000,3.000,7.095,4.106,1.000,5.500,7.095
000000000010000006,3000,false,PD,009,28.000,0.000,0.000,0.000,1.000,1.000,0.000
000000000010000007,2000,false,VB,009,20.000,3.000,1.596,1.091,1.000,4.250,3.105
000000000010000007,3000,false,PD,007,20.000,3.000,2.667,1.806,1.000,6.000,8.243
000000000080000002,1000,false,VB,001,21.000,3.000,1.277,0.918,1.208,7.250,10.630
000000000080000002,2000,false,PD,009,21.000,3.000,3.953,2.656,2.625,15.750,19.344
000000000010000008,3000,false,VB,006,44.000,2.000,13.338,3.510,15.250,91.500,83.809
000000000010000008,4000,false,VB,003,44.000,0.000,78.667,17.017,26.625,159.750,110.821
000000000010000009,3000,false,PD,002,18.000,1.000,22.134,5.717,24.292,145.750,110.608
000000000010000010,4000,false,VB,009,83.000,0.000,1.597,1.181,1.000,1.000,3.456
000000000010000011,1000,false,VB,005,237.000,1.000,6.152,1.640,1.250,7.500,19.316
000000000010000011,4000,false,VB,002,237.000,3.000,14.986,3.469,1.417,8.500,27.133
000000000010000012,3000,false,VB,010,58.000,0.000,10.010,6.922,1.000,5.500,10.010
000000000010000013,1000,false,PD,010,94.000,0.000,1.905,1.332,1.000,1.250,4.880
000000000010000014,3000,false,VB,003,41.000,1.000,8.009,4.544,2.458,14.750,15.179
000000000080000003,1000,false,VB,009,121.000,1.000,10.224,5.902,1.958,11.750,41.188
000000000010000015,1000,false,PD,006,83.000,0.000,5.034,3.057,1.000,3.750,6.081
000000000080000004,3000,false,PD,002,32.000,2.000,6.202,3.470,2.083,12.500,16.239
000000000010000016,3000,false,VB,003,38.000,3.000,0.000,0.000,1.000,1.000,0.000
000000000010000016,4000,false,PD,002,38.000,2.000,0.000,0.000,1.000,1.000,0.000
000000000080000005,2000,false,VB,003,14.000,1.000,1.836,1.429,1.542,9.250,8.076
000000000010000017,1000,false,VB,007,12.000,1.000,2.085,1.312,1.750,10.500,8.879
000000000010000018,3000,false,VB,006,106.000,0.000,20.711,10.906,2.458,14.750,37.670
000000000090000000,2000,false,ND,003,37.000,1.000,0.000,0.000,1.000,1.000,1.000
000000000010000019,1000,false,PD,005,33.000,3.000,49.843,16.824,28.417,170.500,173.463
000000000080000006,3000,false,VB,005,9.000,0.000,5.082,4.020,2.000,12.000,10.037
000000000080000006,4000,false,VB,004,9.000,0.000,1.912,1.492,1.167,7.000,6.748
000000000010000020,2000,false,VB,001,51.000,3.000,0.847,0.607,1.000,1.250,2.492
000000000010000020,4000,false,VB,009,51.000,2.000,1.993,1.429,1.000,1.250,3.153
000000000010000021,2000,false,VB,006,60.000,1.000,57.126,6.841,16.542,99.250,130.408
000000000090000001,1000,false,ND,009,24.000,3.000,0.000,0.000,1.000,1.000,1.000
000000000010000022,4000,false,VB,008,60.000,0.000,0.000,0.000,1.000,1.000,0.000
000000000010000023,3000,false,VB,010,116.000,3.000,8.166,5.259,1.000,3.250,8.166
000000000010000024,4000,false,VB,005,122.000,0.000,10.801,6.431,1.792,10.750,21.071
000000000010000024,1000,false,PD,004,122.000,3.000,8.337,5.358,1.000,3.750,8.337
000000000080000007,3000,false,VB,002,50.000,2.000,2.339,1.212,1.000,3.500,4.294
