Matnr,Lvorm,Mtart,Matkl,Bismt,Meins,Mstae,Extwg,Sernp
000000000010000000,false,ERSA,MECH-BRG,ELL132938,EA,,400,
000000000010000001,false,ERSA,MECH-SEAL,,EA,,400,
000000000030000000,false,ERSA,MECH-PUMP,,EA,,100,
000000000080000000,false,ERSA,MECH-BRG,,EA,,200,
000000000030000001,false,ERSA,ELEC-MOTR,,EA,,100,
000000000080000001,false,HIBE,MECH-SEAL,,EA,,400,Z00R
000000000030000002,false,ERSA,HYDR-ASSY,,EA,,100,
000000000010000002,false,HIBE,INST-XMTR,,EA,,,
000000000010000003,false,ERSA,CONV-COMP,,EA,,400,
000000000010000004,false,ERSA,MECH-GBOX,,EA,,400,
000000000010000005,false,ERSA,MECH-BRG,,EA,,200,
000000000010000006,false,ERSA,ELEC-CTRL,,EA,,200,
000000000010000007,false,ERSA,ELEC-CTRL,,EA,,,
000000000080000002,false,ERSA,MECH-BRG,ELL414012,EA,,200,Z00R
000000000010000008,false,ERSA,MILL-LINR,ELL345180,EA,,,
000000000010000009,false,ERSA,ELEC-CTRL,,EA,,200,
000000000010000010,false,ERSA,MECH-GBOX,,EA,,400,
000000000010000011,false,ERSA,ELEC-MOTR,,EA,,,
000000000010000012,false,ERSA,HYDR-ASSY,,EA,,300,
000000000010000013,false,ERSA,INST-XMTR,,EA,,400,
000000000010000014,false,ERSA,HYDR-ASSY,ELL423869,EA,,300,
000000000080000003,false,HIBE,MECH-BRG,ELL571145,EA,,300,
000000000010000015,false,ERSA,MECH-BRG,,EA,,200,
000000000080000004,false,HIBE,ELEC-CTRL,,EA,,,
000000000010000016,false,HIBE,ELEC-MOTR,ELL372933,EA,,,
000000000080000005,false,ERSA,MECH-PUMP,ELL680933,EA,,400,
000000000010000017,false,ERSA,INST-XMTR,ELL321048,EA,,,
000000000010000018,false,ERSA,ELEC-CTRL,ELL108574,EA,,200,
000000000090000000,false,ERSA,INST-XMTR,,EA,01,200,
000000000010000019,false,ERSA,MECH-SEAL,,EA,,,
000000000080000006,false,ERSA,HYDR-ASSY,,EA,,,
000000000010000020,false,HIBE,MECH-PUMP,,EA,,300,
000000000010000021,false,ERSA,MILL-LINR,,EA,,,
000000000090000001,false,HIBE,MILL-LINR,,EA,01,,
000000000010000022,false,ERSA,ELEC-MOTR,,EA,,200,
000000000010000023,false,ERSA,MECH-GBOX,ELL898696,EA,,300,
000000000010000024,false,ERSA,ELEC-CTRL,,EA,,400,
000000000080000007,false,ERSA,ELEC-MOTR,,EA,,200,
000000000080000008,false,HIBE,MECH-BRG,,EA,,,
000000000010000025,false,ERSA,HYDR-ASSY,,EA,,300,
000000000010000026,false,ERSA,HYDR-ASSY,,EA,,300,
000000000010000027,false,HIBE,MECH-PUMP,ELL954815,EA,,,
000000000080000009,false,ERSA,INST-XMTR,ELL664939,EA,,300,0001
000000000010000028,false,ERSA,HYDR-ASSY,,EA,,,
000000000010000029,false,ERSA,ELEC-CTRL,,EA,,300,
000000000010000030,false,HIBE,INST-XMTR,,EA,,300,
000000000010000031,false,ERSA,ELEC-CTRL,,EA,,200,
000000000010000032,false,ERSA,MECH-SEAL,,EA,,200,
000000000010000033,false,ERSA,MECH-SEAL,,EA,,300,
000000000010000034,false,ERSA,MECH-PUMP,,EA,,300,
000000000080000010,false,ERSA,CONV-COMP,,EA,,300,0001
000000000080000011,false,ERSA,INST-XMTR,ELL193035,EA,,400,0001
000000000010000035,false,ERSA,MILL-LINR,,EA,,300,
000000000010000036,false,ERSA,MILL-LINR,,EA,,300,
000000000010000037,false,ERSA,MECH-SEAL,ELL683390,EA,,,
000000000080000012,false,HIBE,ELEC-CTRL,ELL415076,EA,,,
000000000030000003,false,ERSA,MECH-SEAL,,EA,,100,
000000000010000038,false,ERSA,MILL-LINR,,EA,,400,
000000000010000039,false,HIBE,MECH-PUMP,,EA,,300,
000000000010000040,false,ERSA,MECH-BRG,,EA,,400,
000000000010000041,false,ERSA,HYDR-ASSY,,EA,,200,
000000000080000013,false,HIBE,ELEC-MOTR,,EA,,300,
000000000010000042,false,ERSA,MILL-LINR,,EA,,300,
000000000030000004,false,ERSA,INST-XMTR,,EA,,100,
