Matnr,Bwkey,Lbkum,Salk3,Vprsv,Verpr,Stprs,Peinh,Bklas
000000000010000000,2000,151.000,8364362.63,V,55393.13,0.00,1.000,3200
000000000010000000,4000,112.000,6204030.56,V,55393.13,0.00,1.000,3200
000000000010000001,2000,98.000,47450550.42,V,484189.29,0.00,1.000,3200
000000000030000000,1000,4.000,250816.52,V,62704.13,0.00,1.000,3200
000000000080000000,1000,20.000,6161201.40,V,308060.07,0.00,1.000,3200
000000000030000001,2000,5.000,629758.50,V,125951.70,0.00,1.000,3200
000000000080000001,4000,6.000,1558106.94,V,259684.49,0.00,1.000,3200
000000000030000002,2000,0.000,0.00,V,88187.10,0.00,1.000,3200
000000000010000002,2000,1.000,104795.22,V,104795.22,0.00,1.000,3200
000000000010000003,2000,0.000,0.00,V,143913.08,0.00,1.000,3200
000000000010000004,4000,73.000,1070502.66,V,14664.42,0.00,1.000,3200
000000000010000005,3000,13.000,171129.40,V,13163.80,0.00,1.000,3200
000000000010000005,1000,9.000,118474.20,V,13163.80,0.00,1.000,3200
000000000010000006,3000,0.000,0.00,V,74978.65,0.00,1.000,3200
000000000010000007,2000,2.000,98339.08,V,49169.54,0.00,1.000,3200
000000000010000007,3000,1.000,49169.54,V,49169.54,0.00,1.000,3200
000000000080000002,1000,10.000,3411095.40,V,341109.54,0.00,1.000,3200
000000000080000002,2000,2.000,682219.08,V,341109.54,0.00,1.000,3200
000000000010000008,3000,64.000,621525.12,V,9711.33,0.00,1.000,3200
000000000010000008,4000,93.000,903153.69,V,9711.33,0.00,1.000,3200
000000000010000009,3000,69.000,472966.02,V,6854.58,0.00,1.000,3200
000000000010000010,4000,5.000,658679.15,V,131735.83,0.00,1.000,3200
000000000010000011,1000,7.000,2134079.43,V,304868.49,0.00,1.000,3200
000000000010000011,4000,9.000,2743816.41,V,304868.49,0.00,1.000,3200
000000000010000012,3000,0.000,0.00,V,60952.75,0.00,1.000,3200
000000000010000013,1000,5.000,142143.50,V,28428.70,0.00,1.000,3200
000000000010000014,3000,8.000,4276148.96,V,534518.62,0.00,1.000,3200
000000000080000003,1000,26.000,9977075.68,V,383733.68,0.00,1.000,3200
000000000010000015,1000,6.000,1142912.58,V,190485.43,0.00,1.000,3200
000000000080000004,3000,15.000,5094334.65,V,339622.31,0.00,1.000,3200
000000000010000016,3000,0.000,0.00,V,93917.53,0.00,1.000,3200
000000000010000016,4000,0.000,0.00,V,93917.53,0.00,1.000,3200
000000000080000005,2000,8.000,3548856.00,V,443607.00,0.00,1.000,3200
000000000010000017,1000,9.000,86534.37,V,9614.93,0.00,1.000,3200
000000000010000018,3000,23.000,3656944.80,V,158997.60,0.00,1.000,3200
000000000090000000,2000,23.000,1124635.14,V,48897.18,0.00,1.000,3200
000000000010000019,1000,105.000,424236.75,V,4040.35,0.00,1.000,3200
000000000080000006,3000,7.000,1005767.35,V,143681.05,0.00,1.000,3200
000000000080000006,4000,2.000,287362.10,V,143681.05,0.00,1.000,3200
000000000010000020,2000,1.000,22458.71,V,22458.71,0.00,1.000,3200
000000000010000020,4000,3.000,67376.13,V,22458.71,0.00,1.000,3200
000000000010000021,2000,50.000,19289.50,V,385.79,0.00,1.000,3200
000000000090000001,1000,39.000,482856.66,V,12380.94,0.00,1.000,3200
000000000010000022,4000,0.000,0.00,V,153107.36,0.00,1.000,3200
000000000010000023,3000,0.000,0.00,V,109487.05,0.00,1.000,3200
000000000010000024,4000,0.000,0.00,V,116042.46,0.00,1.000,3200
000000000010000024,1000,0.000,0.00,V,116042.46,0.00,1.000,3200
000000000080000007,3000,4.000,1622024.32,V,405506.08,0.00,1.000,3200
000000000080000008,3000,6.000,2444931.00,V,407488.50,0.00,1.000,3200
000000000080000008,2000,18.000,7334793.00,V,407488.50,0.00,1.000,3200
000000000010000025,4000,0.000,0.00,V,3382.78,0.00,1.000,3200
000000000010000026,2000,9.000,1222110.90,V,135790.10,0.00,1.000,3200
000000000010000027,4000,7.000,4893991.69,V,699141.67,0.00,1.000,3200
000000000080000009,3000,8.000,870771.60,V,108846.45,0.00,1.000,3200
000000000010000028,1000,4.000,208485.44,V,52121.36,0.00,1.000,3200
000000000010000029,2000,99.000,2457736.38,V,24825.62,0.00,1.000,3200
000000000010000030,1000,4.000,100235.76,V,25058.94,0.00,1.000,3200
000000000010000031,4000,2.000,281861.26,V,140930.63,0.00,1.000,3200
000000000010000032,3000,3.000,124015.59,V,41338.53,0.00,1.000,3200
000000000010000033,3000,6.000,642920.34,V,107153.39,0.00,1.000,3200
000000000010000034,1000,1.000,462590.67,V,462590.67,0.00,1.000,3200
000000000010000034,4000,17.000,7864041.39,V,462590.67,0.00,1.000,3200
000000000080000010,3000,9.000,397370.07,V,44152.23,0.00,1.000,3200
000000000080000011,3000,13.000,3033674.41,V,233359.57,0.00,1.000,3200
000000000010000035,1000,0.000,0.00,V,18620.99,0.00,1.000,3200
000000000010000035,2000,0.000,0.00,V,18620.99,0.00,1.000,3200
000000000010000036,1000,48.000,235612.80,V,4908.60,0.00,1.000,3200
000000000010000037,3000,32.000,9273987.84,V,289812.12,0.00,1.000,3200
000000000080000012,3000,3.000,1147272.06,V,382424.02,0.00,1.000,3200
000000000030000003,2000,3.000,461721.33,V,153907.11,0.00,1.000,3200
000000000010000038,4000,13.000,344206.46,V,26477.42,0.00,1.000,3200
000000000010000039,4000,118.000,2637685.86,V,22353.27,0.00,1.000,3200
000000000010000040,4000,0.000,0.00,V,443088.23,0.00,1.000,3200
000000000010000041,1000,0.000,0.00,V,732767.47,0.00,1.000,3200
000000000010000041,4000,0.000,0.00,V,732767.47,0.00,1.000,3200
000000000080000013,4000,9.000,628537.05,V,69837.45,0.00,1.000,3200
000000000010000042,4000,42.000,23779611.66,V,566181.23,0.00,1.000,3200
000000000030000004,4000,3.000,199069.89,V,66356.63,0.00,1.000,3200
000000000010000043,4000,0.000,0.00,V,104771.96,0.00,1.000,3200
000000000030000005,2000,3.000,363421.11,V,121140.37,0.00,1.000,3200
000000000030000006,3000,9.000,1559716.47,V,173301.83,0.00,1.000,3200
000000000010000044,3000,9.000,1292605.92,V,143622.88,0.00,1.000,3200
000000000010000044,4000,11.000,1579851.68,V,143622.88,0.00,1.000,3200
000000000080000014,3000,3.000,113887.35,V,37962.45,0.00,1.000,3200
000000000080000014,1000,3.000,113887.35,V,37962.45,0.00,1.000,3200
000000000080000015,1000,1.000,88465.64,V,88465.64,0.00,1.000,3200
000000000030000007,2000,0.000,0.00,V,86968.41,0.00,1.000,3200
000000000010000045,1000,13.000,1838466.24,V,141420.48,0.00,1.000,3200
000000000010000046,4000,0.000,0.00,V,154113.38,0.00,1.000,3200
000000000030000008,1000,0.000,0.00,V,141285.00,0.00,1.000,3200
000000000010000047,2000,0.000,0.00,V,52282.14,0.00,1.000,3200
000000000010000047,4000,0.000,0.00,V,52282.14,0.00,1.000,3200
000000000030000009,2000,5.000,352565.10,V,70513.02,0.00,1.000,3200
000000000010000048,4000,0.000,0.00,V,177214.45,0.00,1.000,3200
000000000010000048,2000,0.000,0.00,V,177214.45,0.00,1.000,3200
000000000010000049,4000,2.000,648886.22,V,324443.11,0.00,1.000,3200
000000000090000002,2000,35.000,4892715.45,V,139791.87,0.00,1.000,3200
000000000080000016,3000,16.000,2500122.24,V,156257.64,0.00,1.000,3200
000000000010000050,1000,0.000,0.00,V,42042.43,0.00,1.000,3200
000000000010000050,4000,0.000,0.00,V,42042.43,0.00,1.000,3200
000000000080000017,2000,5.000,1134643.65,V,226928.73,0.00,1.000,3200
000000000010000051,4000,0.000,0.00,V,155110.11,0.00,1.000,3200
000000000080000018,2000,7.000,351868.30,V,50266.90,0.00,1.000,3200
000000000010000052,1000,0.000,0.00,V,107843.66,0.00,1.000,3200
000000000010000053,2000,0.000,0.00,V,22273.75,0.00,1.000,3200
000000000010000054,1000,5.000,587811.05,V,117562.21,0.00,1.000,3200
000000000010000055,2000,7.000,877397.15,V,125342.45,0.00,1.000,3200
000000000010000055,1000,5.000,626712.25,V,125342.45,0.00,1.000,3200
000000000010000056,3000,3.000,174573.51,V,58191.17,0.00,1.000,3200
000000000030000010,1000,6.000,669870.60,V,111645.10,0.00,1.000,3200
000000000010000057,2000,5.000,29734.05,V,5946.81,0.00,1.000,3200
000000000010000058,1000,11.000,1299209.12,V,118109.92,0.00,1.000,3200
000000000030000011,4000,0.000,0.00,V,95282.33,0.00,1.000,3200
000000000010000059,3000,4.000,378046.28,V,94511.57,0.00,1.000,3200
000000000010000059,2000,19.000,1795719.83,V,94511.57,0.00,1.000,3200
000000000010000060,4000,0.000,0.00,V,119687.13,0.00,1.000,3200
000000000030000012,2000,0.000,0.00,V,21650.34,0.00,1.000,3200
000000000010000061,4000,0.000,0.00,V,616241.38,0.00,1.000,3200
000000000080000019,3000,22.000,9771548.82,V,444161.31,0.00,1.000,3200
000000000080000019,1000,26.000,11548194.06,V,444161.31,0.00,1.000,3200
000000000030000013,3000,2.000,959290.00,V,479645.00,0.00,1.000,3200
000000000010000062,2000,118.000,2799174.76,V,23721.82,0.00,1.000,3200
000000000010000063,2000,0.000,0.00,V,130957.24,0.00,1.000,3200
000000000080000020,1000,14.000,3009731.48,V,214980.82,0.00,1.000,3200
000000000010000064,2000,0.000,0.00,V,153821.56,0.00,1.000,3200
000000000010000065,4000,1.000,129973.42,V,129973.42,0.00,1.000,3200
000000000010000066,2000,94.000,1912389.58,V,20344.57,0.00,1.000,3200
000000000010000067,2000,0.000,0.00,V,171128.20,0.00,1.000,3200
000000000010000068,3000,6.000,197842.80,V,32973.80,0.00,1.000,3200
000000000010000068,2000,19.000,626502.20,V,32973.80,0.00,1.000,3200
000000000010000069,4000,0.000,0.00,V,127039.85,0.00,1.000,3200
000000000010000070,3000,0.000,0.00,V,170378.05,0.00,1.000,3200
000000000010000071,2000,45.000,320210.55,V,7115.79,0.00,1.000,3200
000000000010000072,1000,0.000,0.00,V,178888.49,0.00,1.000,3200
000000000010000073,4000,6.000,98524.38,V,16420.73,0.00,1.000,3200
000000000080000021,4000,3.000,1239589.53,V,413196.51,0.00,1.000,3200
000000000080000021,2000,4.000,1652786.04,V,413196.51,0.00,1.000,3200
000000000010000074,3000,117.000,1082886.48,V,9255.44,0.00,1.000,3200
000000000010000074,1000,81.000,749690.64,V,9255.44,0.00,1.000,3200
000000000010000075,3000,47.000,852428.19,V,18136.77,0.00,1.000,3200
