Ebeln,Ebelp,Zekkn,Vgabe,Gjahr,Belnr,Buzei,Bewtp,Bwart,Budat,Menge,Dmbtr,Shkzg,Cpudt,Matnr,Werks
4500000000,00010,01,1,2024,4900000004,0001,E,101,2024-12-25T00:00:00,220.000,12186488.60,S,2024-12-25T00:00:00,000000000010000000,2000
4500000000,00010,01,2,2024,5100000000,0001,Q,,2025-01-04T00:00:00,220.000,12186488.60,S,2025-01-14T00:00:00,000000000010000000,2000
4500000001,00010,01,1,2025,4900000013,0001,E,101,2025-08-07T00:00:00,219.000,12131095.47,S,2025-08-07T00:00:00,000000000010000000,2000
4500000002,00010,01,1,2026,4900000022,0001,E,101,2026-05-12T00:00:00,244.000,13515923.72,S,2026-05-12T00:00:00,000000000010000000,2000
4500000002,00010,01,2,2026,5100000001,0001,Q,,2026-05-18T00:00:00,244.000,13515923.72,S,2026-05-18T00:00:00,000000000010000000,2000
4500000004,00010,01,1,2024,4900000029,0001,E,101,2024-12-07T00:00:00,244.000,13515923.72,S,2024-12-07T00:00:00,000000000010000000,4000
4500000004,00010,01,2,2024,5100000002,0001,Q,,2024-12-27T00:00:00,244.000,13515923.72,S,2025-01-06T00:00:00,000000000010000000,4000
4500000005,00010,01,1,2025,4900000035,0001,E,101,2025-04-25T00:00:00,168.000,9306045.84,S,2025-04-25T00:00:00,000000000010000000,4000
4500000005,00010,01,2,2025,5100000003,0001,Q,,2025-05-04T00:00:00,168.000,9306045.84,S,2025-05-07T00:00:00,000000000010000000,4000
4500000006,00010,01,1,2025,4900000040,0001,E,101,2025-09-20T00:00:00,175.000,9693797.75,S,2025-09-20T00:00:00,000000000010000000,4000
4500000006,00010,01,2,2025,5100000004,0001,Q,,2025-10-18T00:00:00,175.000,9693797.75,S,2025-10-13T00:00:00,000000000010000000,4000
4500000007,00010,01,1,2026,4900000046,0001,E,101,2026-02-03T00:00:00,104.000,5760885.52,S,2026-02-03T00:00:00,000000000010000000,4000
4500000007,00010,01,2,2026,5100000005,0001,Q,,2026-02-13T00:00:00,104.000,5760885.52,S,2026-02-14T00:00:00,000000000010000000,4000
4500000008,00010,01,1,2026,4900000048,0001,E,101,2026-03-13T00:00:00,265.000,14679179.45,S,2026-03-13T00:00:00,000000000010000000,4000
4500000008,00010,01,2,2026,5100000006,0001,Q,,2026-03-19T00:00:00,265.000,14679179.45,S,2026-04-02T00:00:00,000000000010000000,4000
4500000010,00010,01,1,2024,4900000058,0001,E,101,2024-11-29T00:00:00,143.000,69239068.47,S,2024-11-29T00:00:00,000000000010000001,2000
4500000010,00010,01,2,2024,5100000007,0001,Q,,2024-12-10T00:00:00,143.000,69239068.47,S,2024-12-17T00:00:00,000000000010000001,2000
4500000012,00010,01,1,2025,4900000064,0001,E,101,2025-04-23T00:00:00,155.000,75049339.95,S,2025-04-23T00:00:00,000000000010000001,2000
4500000012,00010,01,2,2025,5100000008,0001,Q,,2025-05-16T00:00:00,155.000,75049339.95,S,2025-05-01T00:00:00,000000000010000001,2000
4500000013,00010,01,1,2025,4900000069,0001,E,101,2025-09-24T00:00:00,142.000,68754879.18,S,2025-09-24T00:00:00,000000000010000001,2000
4500000013,00010,01,2,2025,5100000009,0001,Q,,2025-10-16T00:00:00,142.000,68754879.18,S,2025-10-09T00:00:00,000000000010000001,2000
4500000015,00010,01,1,2026,4900000075,0001,E,101,2026-02-14T00:00:00,150.000,72628393.50,S,2026-02-14T00:00:00,000000000010000001,2000
4500000015,00010,01,2,2026,5100000010,0001,Q,,2026-03-12T00:00:00,150.000,72628393.50,S,2026-02-28T00:00:00,000000000010000001,2000
