Ebeln,Ebelp,Loekz,Txz01,Matnr,Werks,Lgort,Bednr,Menge,Meins,Netpr,Peinh,Netwr,Elikz,Pstyp,Knttp,Plifz,Banfn,Bnfpo
4500000000,00010,,SPARE FOR ML-202,000000000010000000,2000,SP02,,220.000,EA,55393.13,1.000,12186488.60,true,0,,58.000,2000000000,00010
4500000001,00010,,SPARE FOR SC-701,000000000010000000,2000,SP02,,219.000,EA,55393.13,1.000,12131095.47,true,0,,58.000,2000000001,00010
4500000002,00010,,SPARE FOR PU-610,000000000010000000,2000,SP02,,244.000,EA,55393.13,1.000,13515923.72,true,0,,58.000,2000000002,00010
4500000003,00010,,SPARE FOR PU-610,000000000010000000,4000,SP04,,213.000,EA,55393.13,1.000,11798736.69,false,0,,58.000,2000000003,00010
4500000004,00010,,SPARE FOR ML-201,000000000010000000,4000,SP04,,244.000,EA,55393.13,1.000,13515923.72,true,0,,58.000,2000000004,00010
4500000005,00010,,SPARE FOR ML-202,000000000010000000,4000,SP04,,168.000,EA,55393.13,1.000,9306045.84,true,0,,58.000,2000000005,00010
4500000006,00010,,SPARE FOR PU-610,000000000010000000,4000,SP04,,175.000,EA,55393.13,1.000,9693797.75,true,0,,58.000,2000000006,00010
4500000007,00010,,SPARE FOR FL-310,000000000010000000,4000,SP04,,188.000,EA,55393.13,1.000,10413908.44,false,0,,58.000,2000000007,00010
4500000008,00010,,SPARE FOR FL-310,000000000010000000,4000,SP04,,265.000,EA,55393.13,1.000,14679179.45,true,0,,58.000,2000000008,00010
4500000009,00010,,SPARE FOR TH-401,000000000010000000,4000,SP04,,161.000,EA,55393.13,1.000,8918293.93,false,0,,58.000,2000000009,00010
4500000010,00010,,SPARE FOR CV-502,000000000010000001,2000,SP02,,143.000,EA,484189.29,1.000,69239068.47,true,0,,61.000,2000000010,00010
4500000011,00010,,SPARE FOR PU-611,000000000010000001,2000,SP02,,121.000,EA,484189.29,1.000,58586904.09,false,0,,61.000,2000000011,00010
4500000012,00010,,SPARE FOR CR-102,000000000010000001,2000,SP02,,155.000,EA,484189.29,1.000,75049339.95,true,0,,61.000,2000000012,00010
4500000013,00010,,SPARE FOR ML-202,000000000010000001,2000,SP02,,142.000,EA,484189.29,1.000,68754879.18,true,0,,61.000,2000000013,00010
4500000014,00010,,SPARE FOR SC-701,000000000010000001,2000,SP02,,118.000,EA,484189.29,1.000,57134336.22,false,0,,61.000,2000000014,00010
4500000015,00010,,SPARE FOR ML-201,000000000010000001,2000,SP02,,150.000,EA,484189.29,1.000,72628393.50,true,0,,61.000,2000000015,00010
4500000016,00010,,SPARE FOR CV-501,000000000010000001,2000,SP02,,119.000,EA,484189.29,1.000,57618525.51,true,0,,61.000,2000000016,00010
4500000017,00010,,SPARE FOR SC-701,000000000010000001,2000,SP02,,116.000,EA,484189.29,1.000,56165957.64,false,0,,61.000,2000000017,00010
4500000018,00010,,SPARE FOR CV-501,000000000080000000,1000,SP01,,13.000,EA,308060.07,1.000,4004780.91,true,0,,58.000,2000000018,00010
4500000019,00010,,SPARE FOR ML-201,000000000080000000,1000,SP01,,8.000,EA,308060.07,1.000,2464480.56,true,0,,58.000,2000000019,00010
4500000020,00010,,SPARE FOR ML-202,000000000080000000,1000,SP01,,9.000,EA,308060.07,1.000,2772540.63,false,0,,58.000,2000000020,00010
4500000021,00010,,SPARE FOR SC-701,000000000080000000,1000,SP01,,16.000,EA,308060.07,1.000,4928961.12,true,0,,58.000,2000000021,00010
4500000022,00010,,SPARE FOR CR-102,000000000080000000,1000,SP01,,7.000,EA,308060.07,1.000,2156420.49,false,0,,58.000,2000000022,00010
4500000023,00010,,SPARE FOR PU-610,000000000080000000,1000,SP01,,14.000,EA,308060.07,1.000,4312840.98,true,0,,58.000,2000000023,00010
4500000024,00010,,SPARE FOR CV-502,000000000080000000,1000,SP01,,7.000,EA,308060.07,1.000,2156420.49,true,0,,58.000,2000000024,00010
4500000025,00010,,SPARE FOR FA-810,000000000080000000,1000,SP01,,13.000,EA,308060.07,1.000,4004780.91,true,0,,58.000,2000000025,00010
4500000026,00010,,SPARE FOR ML-201,000000000080000001,4000,SP04,,6.000,EA,259684.49,1.000,1558106.94,true,0,,10.000,2000000026,00010
4500000027,00010,,SPARE FOR PU-611,000000000080000001,4000,SP04,,5.000,EA,259684.49,1.000,1298422.45,true,0,,10.000,2000000027,00010
