Ebeln,Bsart,Aedat,Lifnr,Ekorg,Ekgrp,Waers
4500000000,WK,2024-10-29T00:00:00,0001000005,Z100,Z01,ZAR
4500000001,ZDOM,2025-06-14T00:00:00,0001000005,Z100,Z02,ZAR
4500000002,WK,2026-03-19T00:00:00,0001000005,Z100,Z02,ZAR
4500000003,ZDOM,2024-09-19T00:00:00,0001000005,Z100,Z02,ZAR
4500000004,ZDOM,2024-10-11T00:00:00,0001000005,Z100,Z01,ZAR
4500000005,AN,2025-02-28T00:00:00,0001000005,Z100,Z01,ZAR
4500000006,ZDOM,2025-07-07T00:00:00,0001000005,Z100,Z02,ZAR
4500000007,ZDOM,2025-12-03T00:00:00,0001000005,Z100,Z03,ZAR
4500000008,WK,2026-01-15T00:00:00,0001000005,Z100,Z02,ZAR
4500000009,WK,2026-09-07T00:00:00,0001000005,Z100,Z03,ZAR
4500000010,AN,2024-09-29T00:00:00,0001000007,Z100,Z03,ZAR
4500000011,ZDOM,2025-01-07T00:00:00,0001000007,Z100,Z02,ZAR
4500000012,AN,2025-02-23T00:00:00,0001000007,Z100,Z02,ZAR
4500000013,AN,2025-07-25T00:00:00,0001000007,Z100,Z01,ZAR
4500000014,AN,2025-11-10T00:00:00,0001000007,Z100,Z01,ZAR
4500000015,WK,2025-12-18T00:00:00,0001000007,Z100,Z01,ZAR
4500000016,AN,2026-05-09T00:00:00,0001000007,Z100,Z02,ZAR
4500000017,ZDOM,2026-09-07T00:00:00,0001000007,Z100,Z02,ZAR
4500000018,AN,2024-09-06T00:00:00,0001000008,Z100,Z01,ZAR
4500000019,ZDOM,2025-01-09T00:00:00,0001000008,Z100,Z01,ZAR
4500000020,AN,2025-04-29T00:00:00,0001000008,Z100,Z01,ZAR
4500000021,WK,2025-05-12T00:00:00,0001000008,Z100,Z01,ZAR
4500000022,ZDOM,2025-08-20T00:00:00,0001000008,Z100,Z01,ZAR
4500000023,ZDOM,2025-09-16T00:00:00,0001000008,Z100,Z03,ZAR
4500000024,WK,2026-03-10T00:00:00,0001000008,Z100,Z02,ZAR
4500000025,ZDOM,2026-06-04T00:00:00,0001000008,Z100,Z01,ZAR
4500000026,WK,2025-04-21T00:00:00,0001000048,Z100,Z02,ZAR
4500000027,WK,2025-10-30T00:00:00,0001000048,Z100,Z03,ZAR
4500000028,AN,2025-12-25T00:00:00,0001000048,Z100,Z02,ZAR
4500000029,ZDOM,2026-06-21T00:00:00,0001000048,Z100,Z02,ZAR
4500000030,ZDOM,2024-11-22T00:00:00,0001000049,Z100,Z02,ZAR
4500000031,WK,2024-12-29T00:00:00,0001000049,Z100,Z02,ZAR
4500000032,WK,2025-02-21T00:00:00,0001000049,Z100,Z01,ZAR
4500000033,WK,2025-05-28T00:00:00,0001000049,Z100,Z01,ZAR
4500000034,AN,2025-06-27T00:00:00,0001000049,Z100,Z03,ZAR
4500000035,AN,2025-08-25T00:00:00,0001000049,Z100,Z01,ZAR
4500000036,ZDOM,2026-03-15T00:00:00,0001000049,Z100,Z02,ZAR
4500000037,WK,2026-09-07T00:00:00,0001000049,Z100,Z01,ZAR
4500000038,WK,2024-09-17T00:00:00,0001000045,Z100,Z02,ZAR
4500000039,AN,2025-02-24T00:00:00,0001000045,Z100,Z03,ZAR
4500000040,AN,2025-07-11T00:00:00,0001000045,Z100,Z03,ZAR
4500000041,ZDOM,2025-09-12T00:00:00,0001000045,Z100,Z02,ZAR
4500000042,WK,2025-12-17T00:00:00,0001000045,Z100,Z01,ZAR
4500000043,ZDOM,2026-04-24T00:00:00,0001000045,Z100,Z03,ZAR
4500000044,ZDOM,2026-05-26T00:00:00,0001000045,Z100,Z03,ZAR
4500000045,WK,2026-06-21T00:00:00,0001000045,Z100,Z01,ZAR
4500000046,ZDOM,2024-10-05T00:00:00,0001000049,Z100,Z02,ZAR
4500000047,ZDOM,2025-01-01T00:00:00,0001000049,Z100,Z02,ZAR
4500000048,AN,2025-05-14T00:00:00,0001000049,Z100,Z02,ZAR
4500000049,WK,2025-11-18T00:00:00,0001000049,Z100,Z01,ZAR
4500000050,WK,2026-03-18T00:00:00,0001000049,Z100,Z01,ZAR
4500000051,WK,2024-09-14T00:00:00,0001000049,Z100,Z01,ZAR
4500000052,AN,2024-10-19T00:00:00,0001000049,Z100,Z03,ZAR
4500000053,ZDOM,2024-11-23T00:00:00,0001000049,Z100,Z02,ZAR
4500000054,ZDOM,2024-12-28T00:00:00,0001000049,Z100,Z01,ZAR
4500000055,AN,2025-08-24T00:00:00,0001000049,Z100,Z01,ZAR
4500000056,WK,2025-11-30T00:00:00,0001000049,Z100,Z01,ZAR
4500000057,AN,2024-11-14T00:00:00,0001000025,Z100,Z02,ZAR
4500000058,WK,2025-02-13T00:00:00,0001000025,Z100,Z01,ZAR
4500000059,AN,2025-03-27T00:00:00,0001000025,Z100,Z03,ZAR
4500000060,WK,2025-04-29T00:00:00,0001000025,Z100,Z02,ZAR
4500000061,WK,2025-06-24T00:00:00,0001000025,Z100,Z01,ZAR
4500000062,WK,2025-08-20T00:00:00,0001000025,Z100,Z03,ZAR
4500000063,ZDOM,2026-01-23T00:00:00,0001000025,Z100,Z02,ZAR
4500000064,AN,2024-09-22T00:00:00,0001000025,Z100,Z03,ZAR
4500000065,WK,2025-01-21T00:00:00,0001000025,Z100,Z02,ZAR
4500000066,AN,2025-08-24T00:00:00,0001000025,Z100,Z01,ZAR
4500000067,WK,2026-09-07T00:00:00,0001000025,Z100,Z01,ZAR
4500000068,ZDOM,2024-11-06T00:00:00,0001000028,Z100,Z01,ZAR
4500000069,WK,2025-10-21T00:00:00,0001000028,Z100,Z03,ZAR
4500000070,AN,2025-11-27T00:00:00,0001000028,Z100,Z01,ZAR
4500000071,WK,2025-12-15T00:00:00,0001000028,Z100,Z02,ZAR
4500000072,ZDOM,2026-06-22T00:00:00,0001000028,Z100,Z03,ZAR
4500000073,WK,2026-07-31T00:00:00,0001000028,Z100,Z02,ZAR
4500000074,AN,2024-11-30T00:00:00,0001000028,Z100,Z02,ZAR
4500000075,WK,2025-07-14T00:00:00,0001000028,Z100,Z01,ZAR
4500000076,ZDOM,2025-10-24T00:00:00,0001000028,Z100,Z01,ZAR
4500000077,ZDOM,2025-11-18T00:00:00,0001000028,Z100,Z01,ZAR
4500000078,AN,2026-09-03T00:00:00,0001000028,Z100,Z01,ZAR
4500000079,WK,2024-11-23T00:00:00,0001000031,Z100,Z03,ZAR
4500000080,AN,2025-06-04T00:00:00,0001000031,Z100,Z01,ZAR
4500000081,WK,2025-11-29T00:00:00,0001000031,Z100,Z03,ZAR
4500000082,ZDOM,2026-05-15T00:00:00,0001000031,Z100,Z02,ZAR
4500000083,WK,2026-06-26T00:00:00,0001000031,Z100,Z01,ZAR
4500000084,WK,2024-09-23T00:00:00,0001000031,Z100,Z01,ZAR
4500000085,WK,2024-12-05T00:00:00,0001000031,Z100,Z03,ZAR
4500000086,ZDOM,2025-01-31T00:00:00,0001000031,Z100,Z03,ZAR
4500000087,AN,2025-03-10T00:00:00,0001000031,Z100,Z01,ZAR
4500000088,ZDOM,2025-08-01T00:00:00,0001000031,Z100,Z02,ZAR
4500000089,AN,2025-09-12T00:00:00,0001000031,Z100,Z02,ZAR
4500000090,WK,2025-10-08T00:00:00,0001000031,Z100,Z02,ZAR
4500000091,ZDOM,2025-11-21T00:00:00,0001000031,Z100,Z01,ZAR
4500000092,AN,2026-03-08T00:00:00,0001000031,Z100,Z03,ZAR
4500000093,ZDOM,2026-05-16T00:00:00,0001000031,Z100,Z01,ZAR
4500000094,AN,2026-07-10T00:00:00,0001000031,Z100,Z03,ZAR
4500000095,AN,2024-10-03T00:00:00,0001000035,Z100,Z03,ZAR
4500000096,WK,2024-11-27T00:00:00,0001000035,Z100,Z01,ZAR
4500000097,ZDOM,2025-01-08T00:00:00,0001000035,Z100,Z01,ZAR
4500000098,ZDOM,2025-06-13T00:00:00,0001000035,Z100,Z03,ZAR
4500000099,WK,2025-11-20T00:00:00,0001000035,Z100,Z02,ZAR
4500000100,ZDOM,2026-04-02T00:00:00,0001000035,Z100,Z01,ZAR
4500000101,WK,2026-07-10T00:00:00,0001000035,Z100,Z03,ZAR
4500000102,WK,2024-10-01T00:00:00,0001000013,Z100,Z03,ZAR
4500000103,ZDOM,2026-01-09T00:00:00,0001000013,Z100,Z01,ZAR
4500000104,ZDOM,2024-10-02T00:00:00,0001000013,Z100,Z03,ZAR
4500000105,AN,2025-07-17T00:00:00,0001000013,Z100,Z02,ZAR
4500000106,WK,2026-04-07T00:00:00,0001000013,Z100,Z01,ZAR
4500000107,ZDOM,2024-10-04T00:00:00,0001000031,Z100,Z03,ZAR
4500000108,AN,2024-12-07T00:00:00,0001000031,Z100,Z01,ZAR
4500000109,AN,2024-12-21T00:00:00,0001000031,Z100,Z02,ZAR
4500000110,AN,2025-05-12T00:00:00,0001000031,Z100,Z02,ZAR
4500000111,AN,2025-07-12T00:00:00,0001000031,Z100,Z02,ZAR
4500000112,ZDOM,2025-07-09T00:00:00,0001000031,Z100,Z01,ZAR
4500000113,WK,2025-08-22T00:00:00,0001000031,Z100,Z02,ZAR
4500000114,ZDOM,2026-01-11T00:00:00,0001000031,Z100,Z02,ZAR
4500000115,ZDOM,2026-03-04T00:00:00,0001000031,Z100,Z02,ZAR
4500000116,WK,2026-05-02T00:00:00,0001000031,Z100,Z01,ZAR
4500000117,ZDOM,2026-06-05T00:00:00,0001000031,Z100,Z02,ZAR
