Banfn,Bnfpo,Bsart,Loekz,Statu,Frgkz,Frgzu,Ekgrp,Ernam,Afnam,Txz01,Matnr,Werks,Lgort,Bednr,Matkl,Reswk,Menge,Meins,Badat,Lfdat,Preis,Peinh,Flief,Ebeln,Ebelp,Bsmng,Ebakz,Rsnum
2000000000,00010,NB,,B,2,X,Z03,VZIREQ03,VZIREQ04,SPARE FOR ML-202,000000000010000000,2000,SP02,,MECH-BRG,,220.000,EA,2024-10-18T00:00:00,2024-12-15T00:00:00,55393.13,1.000,,4500000000,00010,220.000,true,
2000000001,00010,NB,,B,2,X,Z02,VZIREQ03,VZIREQ05,SPARE FOR SC-701,000000000010000000,2000,SP02,,MECH-BRG,,219.000,EA,2025-06-11T00:00:00,2025-08-08T00:00:00,55393.13,1.000,,4500000001,00010,219.000,true,
2000000002,00010,NB,,B,2,X,Z02,VZIREQ03,VZIREQ01,SPARE FOR PU-610,000000000010000000,2000,SP02,,MECH-BRG,,244.000,EA,2026-03-09T00:00:00,2026-05-06T00:00:00,55393.13,1.000,,4500000002,00010,244.000,true,
2000000003,00010,NB,,B,2,X,Z02,VZIREQ02,VZIREQ04,SPARE FOR PU-610,000000000010000000,4000,SP04,,MECH-BRG,,213.000,EA,2024-09-12T00:00:00,2024-11-09T00:00:00,55393.13,1.000,,4500000003,00010,213.000,true,
2000000004,00010,NB,,B,2,X,Z01,VZIREQ04,VZIREQ03,SPARE FOR ML-201,000000000010000000,4000,SP04,,MECH-BRG,,244.000,EA,2024-10-05T00:00:00,2024-12-02T00:00:00,55393.13,1.000,,4500000004,00010,244.000,true,
2000000005,00010,NB,,B,2,X,Z03,VZIREQ03,VZIREQ04,SPARE FOR ML-202,000000000010000000,4000,SP04,,MECH-BRG,,168.000,EA,2025-02-20T00:00:00,2025-04-19T00:00:00,55393.13,1.000,,4500000005,00010,168.000,true,
2000000006,00010,NB,,B,2,X,Z01,VZIREQ04,VZIREQ02,SPARE FOR PU-610,000000000010000000,4000,SP04,,MECH-BRG,,175.000,EA,2025-06-29T00:00:00,2025-08-26T00:00:00,55393.13,1.000,,4500000006,00010,175.000,true,
2000000007,00010,NB,,B,2,X,Z01,VZIREQ04,VZIREQ05,SPARE FOR FL-310,000000000010000000,4000,SP04,,MECH-BRG,,188.000,EA,2025-11-22T00:00:00,2026-01-19T00:00:00,55393.13,1.000,,4500000007,00010,188.000,true,
2000000008,00010,NB,,B,2,X,Z02,VZIREQ04,VZIREQ05,SPARE FOR FL-310,000000000010000000,4000,SP04,,MECH-BRG,,265.000,EA,2026-01-04T00:00:00,2026-03-03T00:00:00,55393.13,1.000,,4500000008,00010,265.000,true,
2000000009,00010,NB,,B,2,X,Z02,VZIREQ01,VZIREQ01,SPARE FOR TH-401,000000000010000000,4000,SP04,,MECH-BRG,,161.000,EA,2026-09-04T00:00:00,2026-11-01T00:00:00,55393.13,1.000,,4500000009,00010,161.000,true,
2000000010,00010,NB,,B,2,X,Z01,VZIREQ02,VZIREQ02,SPARE FOR CV-502,000000000010000001,2000,SP02,,MECH-SEAL,,143.000,EA,2024-09-25T00:00:00,2024-11-25T00:00:00,484189.29,1.000,,4500000010,00010,143.000,true,
2000000011,00010,NB,,B,2,X,Z03,VZIREQ02,VZIREQ02,SPARE FOR PU-611,000000000010000001,2000,SP02,,MECH-SEAL,,121.000,EA,2025-01-02T00:00:00,2025-03-04T00:00:00,484189.29,1.000,,4500000011,00010,121.000,true,
2000000012,00010,NB,,B,2,X,Z02,VZIREQ01,VZIREQ02,SPARE FOR CR-102,000000000010000001,2000,SP02,,MECH-SEAL,,155.000,EA,2025-02-12T00:00:00,2025-04-14T00:00:00,484189.29,1.000,,4500000012,00010,155.000,true,
