Rsnum,Rspos,Xloek,Kzear,Matnr,Werks,Lgort,Bdter,Bdmng,Meins,Enmng,Enwrt,Banfn,Bnfpo,Aufnr,Bwart,Umwrk,Umlgo,Wempf,Zzaisession
1000000000,0001,false,true,000000000030000000,1000,SP01,2026-03-04T00:00:00,1.000,EA,1.000,62704.13,2000007893,00010,416320664,261,,,VZIREQ05,SESS-000001
1000000001,0001,false,false,000000000030000000,1000,SP01,2025-10-20T00:00:00,4.000,EA,0.000,0.00,2000007894,00010,419753264,261,,,VZIREQ05,SESS-000002
1000000002,0001,false,false,000000000030000001,2000,SP02,2025-12-09T00:00:00,4.000,EA,0.000,0.00,2000007895,00010,422774516,261,,,VZIREQ05,SESS-000003
1000000003,0001,false,false,000000000030000001,2000,SP02,2026-07-12T00:00:00,2.000,EA,1.000,125951.70,2000007896,00010,427438422,261,,,VZIREQ03,SESS-000004
1000000004,0001,false,true,000000000030000002,2000,SP02,2025-12-08T00:00:00,2.000,EA,2.000,176374.20,2000007897,00010,424360371,261,,,VZIREQ03,SESS-000005
1000000005,0001,false,false,000000000030000003,2000,SP02,2026-07-22T00:00:00,3.000,EA,0.000,0.00,2000007898,00010,424758368,261,,,VZIREQ03,SESS-000006
1000000006,0001,false,true,000000000030000003,2000,SP02,2026-05-26T00:00:00,1.000,EA,1.000,153907.11,2000007899,00010,422132197,261,,,VZIREQ01,SESS-000007
1000000007,0001,false,true,000000000030000003,2000,SP02,2025-12-02T00:00:00,4.000,EA,4.000,615628.44,2000007900,00010,428272877,261,,,VZIREQ01,SESS-000008
1000000008,0001,false,false,000000000030000004,4000,SP04,2025-11-09T00:00:00,2.000,EA,1.000,66356.63,2000007901,00010,446969652,261,,,VZIREQ04,SESS-000009
1000000009,0001,false,false,000000000030000004,4000,SP04,2026-03-21T00:00:00,1.000,EA,1.000,66356.63,2000007902,00010,444310058,261,,,VZIREQ05,SESS-000010
1000000010,0001,false,false,000000000030000004,4000,SP04,2025-12-18T00:00:00,2.000,EA,0.000,0.00,2000007903,00010,443212360,261,,,VZIREQ02,SESS-000011
1000000011,0001,false,false,000000000030000005,2000,SP02,2026-06-21T00:00:00,3.000,EA,0.000,0.00,2000007904,00010,424460037,261,,,VZIREQ04,SESS-000012
1000000012,0001,false,false,000000000030000005,2000,SP02,2026-04-09T00:00:00,2.000,EA,0.000,0.00,2000007905,00010,426395043,261,,,VZIREQ05,SESS-000013
1000000013,0001,false,false,000000000030000006,3000,SP03,2026-04-02T00:00:00,3.000,EA,0.000,0.00,2000007906,00010,438964389,261,,,VZIREQ03,SESS-000014
