Matnr,Werks,Lgort,Labst,Insme,Speme,Lgpbe
000000000010000000,2000,SP02,151.000,0.000,0.000,A-20-5
000000000010000000,4000,SP04,112.000,0.000,0.000,C-09-1
000000000010000001,2000,SP02,98.000,0.000,0.000,A-22-2
000000000030000000,1000,SP01,4.000,0.000,0.000,C-23-4
000000000080000000,1000,SP01,20.000,0.000,0.000,D-08-1
000000000030000001,2000,SP02,5.000,0.000,0.000,B-18-3
000000000080000001,4000,SP04,6.000,0.000,0.000,B-17-6
000000000030000002,2000,SP02,0.000,0.000,0.000,C-08-5
000000000010000002,2000,SP02,1.000,0.000,0.000,C-06-5
000000000010000003,2000,SP02,0.000,0.000,0.000,A-08-1
000000000010000004,4000,SP04,73.000,0.000,0.000,E-02-3
000000000010000005,3000,SP03,13.000,0.000,0.000,A-02-2
000000000010000005,1000,SP01,9.000,0.000,0.000,E-01-1
000000000010000006,3000,SP03,0.000,0.000,0.000,C-15-3
000000000010000007,2000,SP02,2.000,0.000,0.000,D-12-2
000000000010000007,3000,SP03,1.000,0.000,0.000,D-21-3
000000000080000002,1000,SP01,10.000,0.000,0.000,E-16-6
000000000080000002,2000,SP02,1.000,1.000,0.000,B-04-3
000000000010000008,3000,SP03,64.000,0.000,0.000,A-14-3
000000000010000008,4000,SP04,93.000,0.000,0.000,B-20-3
000000000010000009,3000,SP03,69.000,0.000,0.000,A-24-4
000000000010000010,4000,SP04,5.000,0.000,0.000,D-01-3
000000000010000011,1000,SP01,7.000,0.000,0.000,D-24-6
000000000010000011,4000,SP04,9.000,0.000,0.000,B-10-4
000000000010000012,3000,SP03,0.000,0.000,0.000,A-08-1
000000000010000013,1000,SP01,5.000,0.000,0.000,D-09-5
000000000010000014,3000,SP03,8.000,0.000,0.000,C-15-2
000000000080000003,1000,SP01,26.000,0.000,0.000,C-19-1
000000000010000015,1000,SP01,6.000,0.000,0.000,B-02-5
000000000080000004,3000,SP03,15.000,0.000,0.000,E-01-4
000000000010000016,3000,SP03,0.000,0.000,0.000,C-12-5
000000000010000016,4000,SP04,0.000,0.000,0.000,D-17-5
000000000080000005,2000,SP02,8.000,0.000,0.000,C-03-6
000000000010000017,1000,SP01,9.000,0.000,0.000,C-12-3
000000000010000018,3000,SP03,23.000,0.000,0.000,C-12-1
000000000090000000,2000,SP02,23.000,0.000,0.000,A-24-1
000000000010000019,1000,SP01,105.000,0.000,0.000,B-02-3
000000000080000006,3000,SP03,7.000,0.000,0.000,B-02-6
000000000080000006,4000,SP04,2.000,0.000,0.000,B-20-6
000000000010000020,2000,SP02,1.000,0.000,0.000,A-23-2
