material_id,period_month,qty_consumed,movement_type,plant
1,2024-09,15,261,Gamsberg
1,2024-10,14,262,Gamsberg
1,2024-11,17,262,Gamsberg
1,2024-12,14,262,Gamsberg
1,2025-01,15,262,Gamsberg
1,2025-02,16,261,Gamsberg
1,2025-03,14,262,Gamsberg
1,2025-04,13,201,Gamsberg
1,2025-05,17,261,Gamsberg
1,2025-06,14,262,Gamsberg
1,2025-07,15,262,Gamsberg
1,2025-08,13,262,Gamsberg
1,2025-09,17,261,Gamsberg
1,2025-10,15,262,Gamsberg
1,2025-11,16,261,Gamsberg
1,2025-12,17,261,Gamsberg
1,2026-01,16,261,Gamsberg
1,2026-03,15,262,Gamsberg
1,2026-04,17,262,Gamsberg
1,2026-05,15,202,Gamsberg
1,2026-06,15,261,Gamsberg
1,2026-07,15,202,Gamsberg
1,2026-08,17,262,Gamsberg
3,2024-09,6,262,Gamsberg
3,2024-10,10,202,Gamsberg
3,2024-11,7,261,Gamsberg
3,2024-12,5,262,Gamsberg
3,2025-01,7,261,Gamsberg
3,2025-03,8,261,Gamsberg
3,2025-04,9,262,Gamsberg
3,2025-06,7,201,Gamsberg
3,2025-07,4,261,Gamsberg
3,2025-08,8,201,Gamsberg
3,2025-11,5,262,Gamsberg
3,2026-01,7,262,Gamsberg
3,2026-02,7,261,Gamsberg
3,2026-03,7,262,Gamsberg
3,2026-08,6,201,Gamsberg
4,2024-09,2,201,BMM
4,2024-10,2,261,BMM
4,2024-11,2,202,BMM
4,2024-12,2,262,BMM
4,2025-01,2,261,BMM
4,2025-02,2,261,BMM
4,2025-03,2,201,BMM
4,2025-04,2,202,BMM
4,2025-05,2,201,BMM
4,2025-06,2,261,BMM
4,2025-07,2,262,BMM
4,2025-08,2,261,BMM
4,2025-09,2,262,BMM
4,2025-10,2,261,BMM
4,2025-11,2,202,BMM
4,2025-12,2,262,BMM
4,2026-01,2,202,BMM
4,2026-02,2,262,BMM
4,2026-04,2,262,BMM
4,2026-05,2,201,BMM
4,2026-06,2,262,BMM
4,2026-07,2,261,BMM
4,2026-08,2,261,BMM
5,2024-09,9,261,Gamsberg
5,2024-11,15,262,Gamsberg
5,2024-12,6,261,Gamsberg
5,2025-01,5,262,Gamsberg
5,2025-03,8,262,Gamsberg
5,2025-04,4,261,Gamsberg
5,2025-05,15,261,Gamsberg
