material_id,plant,unrestricted_stock,blocked_stock,reserved_stock,open_po_qty
1,Gamsberg,14,0,0,21
2,BMM,35,0,0,60
3,Gamsberg,8,0,0,8
4,BMM,261,0,0,4
5,Gamsberg,37,0,0,28
6,BMM,28,0,1,3
7,Gamsberg,34,0,3,6
8,BMM,10,0,0,0
9,Gamsberg,7,0,1,20
10,BMM,30,0,3,0
11,Gamsberg,27,0,3,8
12,BMM,79,0,0,19
13,Gamsberg,17,0,0,22
14,BMM,38,0,0,0
15,Gamsberg,38,1,0,10
16,BMM,31,0,0,0
17,Gamsberg,427,0,1,23
18,BMM,8,0,0,7
19,Gamsberg,23,0,4,26
20,BMM,32,3,1,39
21,Gamsberg,26,1,2,0
22,BMM,23,0,0,7
23,Gamsberg,7,0,1,35
24,BMM,13,0,0,17
25,Gamsberg,334,0,0,4
26,BMM,19,0,0,41
27,Gamsberg,301,0,0,9
28,BMM,6,0,0,14
29,Gamsberg,8,0,0,0
30,BMM,16,0,0,0
31,Gamsberg,14,0,0,0
32,BMM,9,0,4,3
33,Gamsberg,9,3,3,0
34,BMM,6,2,0,0
35,Gamsberg,4,0,0,36
36,BMM,21,0,0,13
37,Gamsberg,4,1,0,39
38,BMM,10,0,0,14
39,Gamsberg,9,0,0,42
40,BMM,38,0,0,18
41,Gamsberg,0,0,0,14
42,BMM,12,0,0,6
43,Gamsberg,10,0,2,34
44,BMM,37,0,0,46
45,Gamsberg,2,0,1,6
46,BMM,8,0,2,8
47,Gamsberg,6,2,0,0
48,BMM,343,2,0,12
49,Gamsberg,37,0,1,0
50,BMM,0,0,0,6
51,Gamsberg,27,3,0,13
52,BMM,14,3,0,11
53,Gamsberg,112,0,0,14
54,BMM,35,0,0,17
55,Gamsberg,423,0,0,6
56,BMM,34,0,0,36
57,Gamsberg,299,0,0,15
58,BMM,26,0,0,12
59,Gamsberg,9,0,0,5
60,BMM,9,0,0,1
61,Gamsberg,210,3,0,20
62,BMM,14,0,0,24
63,Gamsberg,30,0,0,0
64,BMM,4,0,0,23
65,Gamsberg,20,0,0,0
66,BMM,17,0,0,2
67,Gamsberg,14,0,4,7
68,BMM,12,3,0,0
69,Gamsberg,24,0,0,18
70,BMM,6,0,0,17
71,Gamsberg,236,0,0,21
72,BMM,33,0,1,0
73,Gamsberg,5,2,0,4
74,BMM,36,0,0,1
75,Gamsberg,20,0,1,18
76,BMM,16,0,0,6
77,Gamsberg,15,1,0,0
78,BMM,21,0,0,4
79,Gamsberg,35,0,1,12
80,BMM,11,0,0,20
81,Gamsberg,29,0,1,43
82,BMM,13,0,0,0
83,Gamsberg,29,0,0,0
84,BMM,6,1,1,0
85,Gamsberg,28,0,0,18
86,BMM,2,0,3,15
87,Gamsberg,1,0,0,0
88,BMM,12,2,0,38
89,Gamsberg,27,0,0,0
90,BMM,452,0,0,20
91,Gamsberg,430,0,0,18
92,BMM,2,0,0,22
93,Gamsberg,29,0,0,7
94,BMM,20,0,0,6
95,Gamsberg,7,0,0,10
96,BMM,21,0,0,19
97,Gamsberg,5,0,0,25
98,BMM,11,1,0,38
99,Gamsberg,17,2,2,3
100,BMM,36,3,0,15
101,Gamsberg,249,1,3,7
102,BMM,32,0,0,3
103,Gamsberg,15,0,0,2
104,BMM,14,0,2,13
105,Gamsberg,18,0,0,4
106,BMM,36,0,1,0
107,Gamsberg,20,0,0,9
108,BMM,12,0,0,40
109,Gamsberg,37,0,1,9
110,BMM,29,0,0,15
111,Gamsberg,8,2,0,0
112,BMM,27,0,0,19
113,Gamsberg,19,1,1,20
114,BMM,11,0,0,0
115,Gamsberg,173,2,0,34
116,BMM,27,0,0,19
117,Gamsberg,13,0,0,24
118,BMM,23,0,0,51
119,Gamsberg,32,0,0,23
120,BMM,22,0,0,0
121,Gamsberg,36,0,0,66
122,BMM,35,0,0,9
123,Gamsberg,3,2,0,29
124,BMM,38,0,0,24
125,Gamsberg,25,0,0,31
126,BMM,367,0,4,23
127,Gamsberg,20,0,0,5
128,BMM,23,1,3,20
129,Gamsberg,40,0,0,27
130,BMM,30,0,0,6
131,Gamsberg,6,0,0,10
132,BMM,27,0,2,0
133,Gamsberg,21,2,0,0
134,BMM,21,3,0,10
135,Gamsberg,5,0,0,26
136,BMM,19,0,0,4
137,Gamsberg,18,0,0,14
138,BMM,5,0,0,25
139,Gamsberg,25,0,0,23
140,BMM,434,0,1,5
141,Gamsberg,6,2,0,32
142,BMM,9,0,3,16
143,Gamsberg,11,0,0,27
144,BMM,1,2,0,12
145,Gamsberg,16,0,0,19
146,BMM,12,2,0,12
147,Gamsberg,29,0,0,1
148,BMM,16,0,1,11
149,Gamsberg,40,0,0,15
150,BMM,129,0,2,30
151,Gamsberg,32,0,0,13
152,BMM,16,0,0,0
153,Gamsberg,1,0,0,15
154,BMM,10,0,0,8
155,Gamsberg,23,0,1,27
156,BMM,37,0,0,0
157,Gamsberg,40,0,0,29
158,BMM,1,0,0,2
159,Gamsberg,19,0,0,18
