equipment_id,equipment_type,circuit,plant
EQ-CRUS-0001,Cone Crusher,Crushing,Gamsberg
EQ-CRUS-0002,Gyratory Crusher,Crushing,Gamsberg
EQ-CRUS-0003,Jaw Crusher,Crushing,Gamsberg
EQ-CRUS-0004,Cone Crusher,Crushing,Gamsberg
EQ-CRUS-0005,Cone Crusher,Crushing,Gamsberg
EQ-CRUS-0006,Jaw Crusher,Crushing,Gamsberg
EQ-CRUS-0007,Cone Crusher,Crushing,BMM
EQ-CRUS-0008,Gyratory Crusher,Crushing,BMM
EQ-CRUS-0009,Cone Crusher,Crushing,BMM
EQ-CRUS-0010,Jaw Crusher,Crushing,BMM
EQ-CRUS-0011,Cone Crusher,Crushing,BMM
EQ-CRUS-0012,Jaw Crusher,Crushing,BMM
EQ-MILL-0013,SAG Mill,Milling,Gamsberg
EQ-MILL-0014,SAG Mill,Milling,Gamsberg
EQ-MILL-0015,Rod Mill,Milling,Gamsberg
EQ-MILL-0016,Rod Mill,Milling,Gamsberg
EQ-MILL-0017,Ball Mill,Milling,Gamsberg
EQ-MILL-0018,Rod Mill,Milling,Gamsberg
EQ-MILL-0019,Rod Mill,Milling,BMM
EQ-MILL-0020,Ball Mill,Milling,BMM
EQ-MILL-0021,SAG Mill,Milling,BMM
EQ-MILL-0022,Rod Mill,Milling,BMM
EQ-MILL-0023,Rod Mill,Milling,BMM
EQ-MILL-0024,Ball Mill,Milling,BMM
EQ-PUMP-0025,Diaphragm Pump,Pumping,Gamsberg
EQ-PUMP-0026,Diaphragm Pump,Pumping,Gamsberg
EQ-PUMP-0027,Centrifugal Pump,Pumping,Gamsberg
EQ-PUMP-0028,Diaphragm Pump,Pumping,Gamsberg
EQ-PUMP-0029,Diaphragm Pump,Pumping,Gamsberg
EQ-PUMP-0030,Slurry Pump,Pumping,Gamsberg
EQ-PUMP-0031,Slurry Pump,Pumping,BMM
EQ-PUMP-0032,Slurry Pump,Pumping,BMM
EQ-PUMP-0033,Diaphragm Pump,Pumping,BMM
EQ-PUMP-0034,Slurry Pump,Pumping,BMM
EQ-PUMP-0035,Slurry Pump,Pumping,BMM
EQ-PUMP-0036,Centrifugal Pump,Pumping,BMM
EQ-FILT-0037,Pressure Filter,Filtration,Gamsberg
EQ-FILT-0038,Vacuum Filter,Filtration,Gamsberg
EQ-FILT-0039,Pressure Filter,Filtration,Gamsberg
EQ-FILT-0040,Pressure Filter,Filtration,Gamsberg
EQ-FILT-0041,Vacuum Filter,Filtration,Gamsberg
EQ-FILT-0042,Belt Filter,Filtration,Gamsberg
EQ-FILT-0043,Belt Filter,Filtration,BMM
EQ-FILT-0044,Belt Filter,Filtration,BMM
EQ-FILT-0045,Pressure Filter,Filtration,BMM
EQ-FILT-0046,Vacuum Filter,Filtration,BMM
EQ-FILT-0047,Vacuum Filter,Filtration,BMM
EQ-FILT-0048,Belt Filter,Filtration,BMM
