equipment_id,period_month,operating_hours,utilization_pct
EQ-CRUS-0001,2024-09,438.7,60.9
EQ-CRUS-0001,2024-10,390.5,54.2
EQ-CRUS-0001,2024-11,422.9,58.7
EQ-CRUS-0001,2024-12,486.8,67.6
EQ-CRUS-0001,2025-01,485.1,67.4
EQ-CRUS-0001,2025-02,472.1,65.6
EQ-CRUS-0001,2025-03,479.1,66.5
EQ-CRUS-0001,2025-04,386.4,53.7
EQ-CRUS-0001,2025-05,456.8,63.4
EQ-CRUS-0001,2025-06,459.6,63.8
EQ-CRUS-0001,2025-07,418.7,58.1
EQ-CRUS-0001,2025-08,405.2,56.3
EQ-CRUS-0001,2025-09,400.8,55.7
EQ-CRUS-0001,2025-10,462.6,64.2
EQ-CRUS-0001,2025-11,377.5,52.4
EQ-CRUS-0001,2025-12,381.9,53.0
EQ-CRUS-0001,2026-01,421.0,58.5
EQ-CRUS-0001,2026-02,464.0,64.4
EQ-CRUS-0001,2026-03,428.9,59.6
EQ-CRUS-0001,2026-04,418.8,58.2
EQ-CRUS-0001,2026-05,404.4,56.2
EQ-CRUS-0001,2026-06,375.4,52.1
EQ-CRUS-0001,2026-07,440.8,61.2
EQ-CRUS-0001,2026-08,400.8,55.7
EQ-CRUS-0002,2024-09,382.5,53.1
EQ-CRUS-0002,2024-10,462.0,64.2
EQ-CRUS-0002,2024-11,424.9,59.0
EQ-CRUS-0002,2024-12,404.0,56.1
EQ-CRUS-0002,2025-01,406.4,56.4
EQ-CRUS-0002,2025-02,484.8,67.3
EQ-CRUS-0002,2025-03,472.1,65.6
EQ-CRUS-0002,2025-04,428.6,59.5
EQ-CRUS-0002,2025-05,487.3,67.7
EQ-CRUS-0002,2025-06,424.7,59.0
EQ-CRUS-0002,2025-07,446.2,62.0
EQ-CRUS-0002,2025-08,397.1,55.2
EQ-CRUS-0002,2025-09,406.7,56.5
EQ-CRUS-0002,2025-10,425.9,59.1
EQ-CRUS-0002,2025-11,423.6,58.8
EQ-CRUS-0002,2025-12,489.9,68.0
EQ-CRUS-0002,2026-01,418.4,58.1
EQ-CRUS-0002,2026-02,410.4,57.0
EQ-CRUS-0002,2026-03,393.0,54.6
EQ-CRUS-0002,2026-04,387.2,53.8
EQ-CRUS-0002,2026-05,380.3,52.8
EQ-CRUS-0002,2026-06,460.0,63.9
EQ-CRUS-0002,2026-07,456.7,63.4
EQ-CRUS-0002,2026-08,442.6,61.5
EQ-CRUS-0003,2024-09,544.3,75.6
EQ-CRUS-0003,2024-10,544.5,75.6
EQ-CRUS-0003,2024-11,469.3,65.2
EQ-CRUS-0003,2024-12,486.6,67.6
EQ-CRUS-0003,2025-01,483.2,67.1
EQ-CRUS-0003,2025-02,515.3,71.6
EQ-CRUS-0003,2025-03,490.1,68.1
EQ-CRUS-0003,2025-04,526.7,73.1
EQ-CRUS-0003,2025-05,543.2,75.4
EQ-CRUS-0003,2025-06,445.3,61.8
EQ-CRUS-0003,2025-07,528.4,73.4
EQ-CRUS-0003,2025-08,446.7,62.0
EQ-CRUS-0003,2025-09,491.1,68.2
EQ-CRUS-0003,2025-10,492.5,68.4
EQ-CRUS-0003,2025-11,497.2,69.1
EQ-CRUS-0003,2025-12,444.1,61.7
EQ-CRUS-0003,2026-01,470.0,65.3
EQ-CRUS-0003,2026-02,453.5,63.0
EQ-CRUS-0003,2026-03,541.1,75.2
EQ-CRUS-0003,2026-04,448.5,62.3
EQ-CRUS-0003,2026-05,519.1,72.1
EQ-CRUS-0003,2026-06,516.4,71.7
EQ-CRUS-0003,2026-07,449.6,62.5
EQ-CRUS-0003,2026-08,524.2,72.8
EQ-CRUS-0004,2024-09,499.9,69.4
EQ-CRUS-0004,2024-10,517.0,71.8
EQ-CRUS-0004,2024-11,447.9,62.2
EQ-CRUS-0004,2024-12,461.2,64.1
EQ-CRUS-0004,2025-01,494.3,68.6
EQ-CRUS-0004,2025-02,506.5,70.4
EQ-CRUS-0004,2025-03,414.6,57.6
EQ-CRUS-0004,2025-04,522.3,72.5
EQ-CRUS-0004,2025-05,431.5,59.9
EQ-CRUS-0004,2025-06,494.4,68.7
EQ-CRUS-0004,2025-07,515.1,71.5
EQ-CRUS-0004,2025-08,457.3,63.5
EQ-CRUS-0004,2025-09,443.5,61.6
EQ-CRUS-0004,2025-10,443.3,61.6
EQ-CRUS-0004,2025-11,448.9,62.3
EQ-CRUS-0004,2025-12,485.3,67.4
EQ-CRUS-0004,2026-01,436.9,60.7
EQ-CRUS-0004,2026-02,463.4,64.4
EQ-CRUS-0004,2026-03,445.5,61.9
EQ-CRUS-0004,2026-04,450.2,62.5
EQ-CRUS-0004,2026-05,424.8,59.0
EQ-CRUS-0004,2026-06,499.4,69.4
EQ-CRUS-0004,2026-07,482.7,67.0
EQ-CRUS-0004,2026-08,481.6,66.9
EQ-CRUS-0005,2024-09,489.3,68.0
EQ-CRUS-0005,2024-10,475.1,66.0
EQ-CRUS-0005,2024-11,477.6,66.3
EQ-CRUS-0005,2024-12,541.7,75.2
EQ-CRUS-0005,2025-01,569.5,79.1
EQ-CRUS-0005,2025-02,500.9,69.6
EQ-CRUS-0005,2025-03,564.1,78.3
EQ-CRUS-0005,2025-04,485.6,67.4
EQ-CRUS-0005,2025-05,566.1,78.6
EQ-CRUS-0005,2025-06,501.9,69.7
EQ-CRUS-0005,2025-07,478.2,66.4
EQ-CRUS-0005,2025-08,536.6,74.5
EQ-CRUS-0005,2025-09,475.5,66.0
EQ-CRUS-0005,2025-10,481.2,66.8
EQ-CRUS-0005,2025-11,507.5,70.5
EQ-CRUS-0005,2025-12,496.7,69.0
EQ-CRUS-0005,2026-01,515.4,71.6
EQ-CRUS-0005,2026-02,500.4,69.5
EQ-CRUS-0005,2026-03,502.6,69.8
EQ-CRUS-0005,2026-04,531.0,73.8
EQ-CRUS-0005,2026-05,511.0,71.0
EQ-CRUS-0005,2026-06,493.4,68.5
EQ-CRUS-0005,2026-07,517.8,71.9
EQ-CRUS-0005,2026-08,536.6,74.5
EQ-CRUS-0006,2024-09,544.3,75.6
EQ-CRUS-0006,2024-10,557.5,77.4
EQ-CRUS-0006,2024-11,529.1,73.5
EQ-CRUS-0006,2024-12,556.8,77.3
EQ-CRUS-0006,2025-01,541.1,75.2
EQ-CRUS-0006,2025-02,566.9,78.7
EQ-CRUS-0006,2025-03,483.9,67.2
EQ-CRUS-0006,2025-04,546.3,75.9
EQ-CRUS-0006,2025-05,491.9,68.3
EQ-CRUS-0006,2025-06,582.1,80.9
EQ-CRUS-0006,2025-07,548.6,76.2
EQ-CRUS-0006,2025-08,580.0,80.6
EQ-CRUS-0006,2025-09,522.8,72.6
EQ-CRUS-0006,2025-10,495.8,68.9
EQ-CRUS-0006,2025-11,564.3,78.4
EQ-CRUS-0006,2025-12,523.3,72.7
EQ-CRUS-0006,2026-01,536.3,74.5
EQ-CRUS-0006,2026-02,532.8,74.0
EQ-CRUS-0006,2026-03,590.2,82.0
EQ-CRUS-0006,2026-04,542.6,75.4
EQ-CRUS-0006,2026-05,483.4,67.1
EQ-CRUS-0006,2026-06,536.1,74.5
EQ-CRUS-0006,2026-07,554.6,77.0
EQ-CRUS-0006,2026-08,480.3,66.7
EQ-CRUS-0007,2024-09,451.0,62.6
EQ-CRUS-0007,2024-10,475.8,66.1
EQ-CRUS-0007,2024-11,392.3,54.5
EQ-CRUS-0007,2024-12,486.2,67.5
EQ-CRUS-0007,2025-01,486.9,67.6
EQ-CRUS-0007,2025-02,479.4,66.6
EQ-CRUS-0007,2025-03,450.9,62.6
EQ-CRUS-0007,2025-04,415.8,57.8
EQ-CRUS-0007,2025-05,422.4,58.7
EQ-CRUS-0007,2025-06,463.4,64.4
EQ-CRUS-0007,2025-07,495.9,68.9
EQ-CRUS-0007,2025-08,439.0,61.0
EQ-CRUS-0007,2025-09,401.6,55.8
EQ-CRUS-0007,2025-10,490.2,68.1
EQ-CRUS-0007,2025-11,446.1,62.0
EQ-CRUS-0007,2025-12,445.3,61.8
EQ-CRUS-0007,2026-01,486.6,67.6
EQ-CRUS-0007,2026-02,440.6,61.2
EQ-CRUS-0007,2026-03,457.7,63.6
EQ-CRUS-0007,2026-04,404.5,56.2
EQ-CRUS-0007,2026-05,450.4,62.6
EQ-CRUS-0007,2026-06,491.7,68.3
EQ-CRUS-0007,2026-07,400.6,55.6
EQ-CRUS-0007,2026-08,420.1,58.3
EQ-CRUS-0008,2024-09,438.5,60.9
EQ-CRUS-0008,2024-10,365.9,50.8
EQ-CRUS-0008,2024-11,409.8,56.9
EQ-CRUS-0008,2024-12,368.5,51.2
EQ-CRUS-0008,2025-01,440.7,61.2
EQ-CRUS-0008,2025-02,433.9,60.3
EQ-CRUS-0008,2025-03,399.6,55.5
EQ-CRUS-0008,2025-04,405.9,56.4
EQ-CRUS-0008,2025-05,384.8,53.4
EQ-CRUS-0008,2025-06,416.4,57.8
EQ-CRUS-0008,2025-07,396.9,55.1
EQ-CRUS-0008,2025-08,407.6,56.6
EQ-CRUS-0008,2025-09,436.5,60.6
EQ-CRUS-0008,2025-10,385.0,53.5
EQ-CRUS-0008,2025-11,382.1,53.1
EQ-CRUS-0008,2025-12,383.3,53.2
EQ-CRUS-0008,2026-01,384.6,53.4
EQ-CRUS-0008,2026-02,376.3,52.3
EQ-CRUS-0008,2026-03,440.8,61.2
EQ-CRUS-0008,2026-04,359.8,50.0
EQ-CRUS-0008,2026-05,395.4,54.9
EQ-CRUS-0008,2026-06,465.3,64.6
EQ-CRUS-0008,2026-07,414.9,57.6
EQ-CRUS-0008,2026-08,409.2,56.8
EQ-CRUS-0009,2024-09,414.7,57.6
EQ-CRUS-0009,2024-10,448.0,62.2
EQ-CRUS-0009,2024-11,453.5,63.0
EQ-CRUS-0009,2024-12,434.9,60.4
EQ-CRUS-0009,2025-01,515.8,71.6
EQ-CRUS-0009,2025-02,407.7,56.6
EQ-CRUS-0009,2025-03,445.3,61.9
EQ-CRUS-0009,2025-04,498.3,69.2
EQ-CRUS-0009,2025-05,458.9,63.7
EQ-CRUS-0009,2025-06,464.5,64.5
EQ-CRUS-0009,2025-07,446.4,62.0
EQ-CRUS-0009,2025-08,476.5,66.2
EQ-CRUS-0009,2025-09,498.3,69.2
EQ-CRUS-0009,2025-10,465.1,64.6
EQ-CRUS-0009,2025-11,484.9,67.3
EQ-CRUS-0009,2025-12,470.9,65.4
EQ-CRUS-0009,2026-01,469.7,65.2
EQ-CRUS-0009,2026-02,481.8,66.9
EQ-CRUS-0009,2026-03,460.4,63.9
EQ-CRUS-0009,2026-04,421.5,58.5
EQ-CRUS-0009,2026-05,517.9,71.9
EQ-CRUS-0009,2026-06,449.2,62.4
EQ-CRUS-0009,2026-07,436.2,60.6
EQ-CRUS-0009,2026-08,452.2,62.8
EQ-CRUS-0010,2024-09,452.1,62.8
EQ-CRUS-0010,2024-10,366.4,50.9
EQ-CRUS-0010,2024-11,438.8,60.9
EQ-CRUS-0010,2024-12,376.4,52.3
EQ-CRUS-0010,2025-01,426.1,59.2
EQ-CRUS-0010,2025-02,399.9,55.5
EQ-CRUS-0010,2025-03,455.5,63.3
EQ-CRUS-0010,2025-04,414.5,57.6
EQ-CRUS-0010,2025-05,476.2,66.1
EQ-CRUS-0010,2025-06,402.5,55.9
EQ-CRUS-0010,2025-07,428.5,59.5
EQ-CRUS-0010,2025-08,364.2,50.6
EQ-CRUS-0010,2025-09,436.4,60.6
EQ-CRUS-0010,2025-10,438.0,60.8
EQ-CRUS-0010,2025-11,404.8,56.2
EQ-CRUS-0010,2025-12,461.5,64.1
EQ-CRUS-0010,2026-01,403.1,56.0
EQ-CRUS-0010,2026-02,365.5,50.8
EQ-CRUS-0010,2026-03,412.2,57.2
EQ-CRUS-0010,2026-04,428.6,59.5
EQ-CRUS-0010,2026-05,383.3,53.2
EQ-CRUS-0010,2026-06,464.4,64.5
EQ-CRUS-0010,2026-07,421.8,58.6
EQ-CRUS-0010,2026-08,445.7,61.9
EQ-CRUS-0011,2024-09,458.8,63.7
EQ-CRUS-0011,2024-10,464.3,64.5
EQ-CRUS-0011,2024-11,407.9,56.7
EQ-CRUS-0011,2024-12,443.3,61.6
EQ-CRUS-0011,2025-01,371.0,51.5
EQ-CRUS-0011,2025-02,397.3,55.2
EQ-CRUS-0011,2025-03,410.0,56.9
EQ-CRUS-0011,2025-04,451.4,62.7
EQ-CRUS-0011,2025-05,436.2,60.6
EQ-CRUS-0011,2025-06,371.2,51.6
EQ-CRUS-0011,2025-07,458.8,63.7
EQ-CRUS-0011,2025-08,397.1,55.2
EQ-CRUS-0011,2025-09,409.6,56.9
EQ-CRUS-0011,2025-10,417.4,58.0
EQ-CRUS-0011,2025-11,414.0,57.5
EQ-CRUS-0011,2025-12,481.0,66.8
EQ-CRUS-0011,2026-01,482.1,67.0
EQ-CRUS-0011,2026-02,448.4,62.3
EQ-CRUS-0011,2026-03,422.0,58.6
EQ-CRUS-0011,2026-04,380.1,52.8
EQ-CRUS-0011,2026-05,370.4,51.4
EQ-CRUS-0011,2026-06,440.5,61.2
