po_number,material_id,vendor,po_creation_date,expected_delivery_date,goods_receipt_date,ordered_qty,received_qty,po_status
GR-PO-000001,1,Springbok Bearing & Drive Co (Pty) Ltd,2026-02-10,2026-05-08,2026-05-11,19,19,DELIVERED
GR-PO-000002,1,Vaal Valve & Fittings (Pty) Ltd,2025-06-16,2025-09-11,2025-08-27,7,7,DELIVERED
GR-PO-000003,1,Lowveld Electromechanical Ltd (Pty) Ltd,2025-10-11,2026-01-06,2025-12-28,17,17,DELIVERED
GR-PO-000004,1,Northern Cape Industrial Distributors (Pty) Ltd,2024-12-08,2025-03-05,2025-02-16,2,2,DELIVERED
GR-PO-000005,1,Namaqua Seals & Sealing Systems (Pty) Ltd,2024-12-31,2025-03-28,2025-04-03,13,13,DELIVERED
GR-PO-000006,3,Waterberg Bearing & Drive Co (Pty) Ltd,2026-04-08,2026-07-16,2026-07-13,10,10,DELIVERED
GR-PO-000007,3,Kuruman Spares & Components (Pty) Ltd,2024-12-30,2025-04-08,2025-04-12,2,2,DELIVERED
GR-PO-000008,3,Escarpment Seals & Sealing Systems (Pty) Ltd,2025-06-27,2025-10-04,2025-10-22,14,14,DELIVERED
GR-PO-000009,3,Kalahari Bearing & Drive Co (Pty) Ltd,2026-07-05,2026-10-12,2026-10-11,3,3,DELIVERED
GR-PO-000010,3,Karoo Industrial Distributors (Pty) Ltd,2025-01-11,2025-04-20,2025-04-20,12,12,DELIVERED
GR-PO-000011,3,Orange River Electromechanical Ltd (Pty) Ltd,2024-12-23,2025-04-01,2025-04-02,9,9,DELIVERED
GR-PO-000012,4,Orange River Bearing & Drive Co (Pty) Ltd,2025-05-27,2025-07-11,2025-07-02,4,4,DELIVERED
GR-PO-000013,4,Bushveld Engineering Supplies (Pty) Ltd,2026-01-13,2026-02-27,2026-03-02,4,4,DELIVERED
GR-PO-000014,4,Highveld Industrial Supplies (Pty) Ltd,2024-11-30,2025-01-14,2025-01-11,6,6,DELIVERED
GR-PO-000015,4,Springbok Bearing & Drive Co (Pty) Ltd,2025-02-07,2025-03-24,2025-04-01,5,5,DELIVERED
GR-PO-000016,4,Postmasburg Valve & Fittings (Pty) Ltd,2026-01-17,2026-03-03,2026-03-10,13,13,DELIVERED
GR-PO-000017,4,Orange River Bearing & Drive Co (Pty) Ltd,2025-12-01,2026-01-15,2026-01-15,1,1,DELIVERED
GR-PO-000018,4,Lowveld Mining Equipment Traders (Pty) Ltd,2025-01-06,2025-02-20,2025-02-22,12,12,DELIVERED
GR-PO-000019,4,Orange River Electromechanical Ltd (Pty) Ltd,2026-05-21,2026-07-05,2026-06-27,14,14,DELIVERED
GR-PO-000020,5,Upington Valve & Fittings (Pty) Ltd,2026-05-22,2026-09-24,2026-09-27,4,4,DELIVERED
GR-PO-000021,5,Northern Cape Industrial Distributors (Pty) Ltd,2024-12-17,2025-04-21,2025-05-09,1,1,DELIVERED
GR-PO-000022,5,Orange River Bearing & Drive Co (Pty) Ltd,2025-07-13,2025-11-15,2025-10-26,20,20,DELIVERED
GR-PO-000023,5,Kuruman Pump Solutions (Pty) Ltd,2025-12-18,2026-04-22,2026-04-16,16,16,DELIVERED
GR-PO-000024,5,Aggeneys Pump Solutions (Pty) Ltd,2025-12-13,2026-04-17,2026-04-11,4,4,DELIVERED
GR-PO-000025,5,Escarpment Mining Equipment Traders (Pty) Ltd,2025-04-06,2025-08-09,2025-08-20,12,12,DELIVERED
GR-PO-000026,5,Highveld Industrial Supplies (Pty) Ltd,2025-06-19,2025-10-22,2025-10-25,5,5,DELIVERED
GR-PO-000027,6,Waterberg Bearing & Drive Co (Pty) Ltd,2026-02-12,2026-06-14,2026-06-23,1,1,DELIVERED
GR-PO-000028,6,Orange River Bearing & Drive Co (Pty) Ltd,2025-08-31,2025-12-31,2025-12-25,4,4,DELIVERED
GR-PO-000029,6,Upington Mining Equipment Traders (Pty) Ltd,2026-05-31,2026-09-30,2026-09-24,4,4,DELIVERED
GR-PO-000030,6,Kimberley Pump Solutions (Pty) Ltd,2025-09-07,2026-01-07,2026-01-26,15,15,DELIVERED
