id,po_id,material_id,quantity,unit_price,line_total,delivery_date,status
1,1,126,3,4361.29,13083.87,2026-05-19,DELIVERED
2,1,115,8,21584.13,172673.04,2026-05-29,DELIVERED
3,1,200,2,29203.26,58406.52,2026-05-05,OPEN
4,2,68,16,2531.55,40504.8,2026-09-20,DELIVERED
5,2,2,8,154077.04,1232616.32,2026-08-18,DELIVERED
6,2,94,10,7061.96,70619.6,2026-09-11,DELIVERED
7,2,134,16,54556.22,872899.52,2026-08-23,DELIVERED
8,2,87,20,48074.04,961480.8,2026-07-31,DELIVERED
9,2,141,15,8555.29,128329.35,2026-08-19,DELIVERED
10,2,66,7,151133.92,1057937.44,2026-09-11,DELIVERED
11,2,34,13,36963.44,480524.72,2026-09-08,DELIVERED
12,3,49,7,102525.6,717679.2,2026-04-05,DELIVERED
13,3,125,3,15359.17,46077.51,2026-05-15,OPEN
14,3,73,4,62129.81,248519.24,2026-05-16,DELIVERED
15,3,178,17,4147.04,70499.68,2026-04-05,DELIVERED
16,3,151,13,22468.09,292085.17,2026-05-11,OPEN
17,3,170,5,32250.76,161253.8,2026-05-14,OPEN
18,3,161,10,13693.38,136933.8,2026-05-17,OPEN
19,4,135,11,41811.16,459922.76,2026-07-17,DELIVERED
20,4,127,11,47369.18,521060.98,2026-07-14,DELIVERED
21,4,96,11,25496.21,280458.31,2026-06-04,DELIVERED
22,5,24,3,49429.36,148288.08,2026-06-15,OPEN
23,5,28,6,157274.88,943649.28,2026-06-02,OPEN
24,6,191,10,24811.95,248119.5,2026-04-05,DELIVERED
25,6,191,3,30555.73,91667.19,2026-04-15,DELIVERED
26,6,75,19,20725.8,393790.2,2026-05-09,DELIVERED
27,7,191,20,28163.24,563264.8,2026-04-24,OPEN
28,7,175,8,2294.47,18355.76,2026-05-14,OPEN
29,7,179,17,38620.02,656540.34,2026-05-15,OPEN
30,8,143,18,23192.37,417462.66,2026-02-10,OPEN
31,9,62,6,2522.49,15134.94,2026-08-10,DELIVERED
32,10,92,1,62685.78,62685.78,2026-06-05,DELIVERED
33,11,115,8,21756.95,174055.6,2026-05-25,OPEN
34,11,86,14,257072.51,3599015.14,2026-06-03,DELIVERED
35,11,91,16,198.79,3180.64,2026-05-03,DELIVERED
36,12,121,13,42527.9,552862.7,2026-06-26,OPEN
37,12,25,12,958.43,11501.16,2026-06-05,DELIVERED
38,12,80,4,8286.04,33144.16,2026-06-18,OPEN
39,13,214,19,16744.44,318144.36,2026-08-09,DELIVERED
